# Time series at grid cell:  32   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                4.39262705780321E-05   1.41361056674862E-05   3.65070362880266E-05   1.97754598838215E-05   8.96045368545655E-09   1.00000313914806E-16   2.43772994200612E-06   5.35489524475140E-05   6.70700699354897E-04   5.70080591001663E+00   4.10614446260769E-08   3.24395588876680E-09
  2.00000E-02                4.39262705779620E-05   1.41361056643105E-05   3.65070362880201E-05   1.97754598837913E-05   8.96045214676617E-09   1.00000313914806E-16   2.43772994199103E-06   5.35489524397340E-05   6.70700700809227E-04   5.70080590999951E+00   4.10614446386863E-08   3.24395588979201E-09
  3.00000E-02                4.39262705779032E-05   1.41361056611350E-05   3.65070362880135E-05   1.97754598837611E-05   8.96045210581301E-09   1.00000313914806E-16   2.43772994197593E-06   5.35489524332315E-05   6.70700700809464E-04   5.70080590998231E+00   4.10614446607000E-08   3.24395589158170E-09
  4.00000E-02                4.39262705778443E-05   1.41361056579594E-05   3.65070362880070E-05   1.97754598837309E-05   8.96045210624726E-09   1.00000313914806E-16   2.43772994196082E-06   5.35489524267700E-05   6.70700700809465E-04   5.70080590996513E+00   4.10614446830138E-08   3.24395589339578E-09
  5.00000E-02                4.39262705777853E-05   1.41361056547835E-05   3.65070362880004E-05   1.97754598837006E-05   8.96045210799519E-09   1.00000313914806E-16   2.43772994194569E-06   5.35489524203092E-05   6.70700700809465E-04   5.70080590994794E+00   4.10614447053384E-08   3.24395589521070E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978498E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809464E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978202E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00000E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00001E-02                4.39262705777264E-05   1.41361056516075E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276644E-08   3.24395589702573E-09
  5.00002E-02                4.39262705777264E-05   1.41361056516074E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978203E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138480E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276645E-08   3.24395589702574E-09
  5.00003E-02                4.39262705777264E-05   1.41361056516074E-05   3.65070362879939E-05   1.97754598836704E-05   8.96045210978207E-09   1.00000313914806E-16   2.43772994193055E-06   5.35489524138479E-05   6.70700700809486E-04   5.70080590994799E+00   4.10614447276647E-08   3.24395589702575E-09
