# Time series at grid cell:   9   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                3.60685807199123E-05   1.02678917840553E-05   3.56309712820332E-05   1.62303053189712E-05   3.22556480569130E-08   1.00000313914755E-16   6.65152659584709E-07   3.00739714717741E-05   6.70700700034884E-04   5.56155709057679E+00   3.78435365300520E-08   3.00787683860901E-09
  2.00000E-02                3.60685807153482E-05   1.02678917782713E-05   3.56309712815250E-05   1.62303053165548E-05   3.22556414420347E-08   1.00000313914755E-16   6.65152658376492E-07   3.00739714448636E-05   6.70700700808739E-04   5.56155709044822E+00   3.78435365007826E-08   3.00787683625616E-09
  3.00000E-02                3.60685807107873E-05   1.02678917724864E-05   3.56309712810165E-05   1.62303053141368E-05   3.22556408672598E-08   1.00000313914755E-16   6.65152657167489E-07   3.00739714235746E-05   6.70700700809020E-04   5.56155709032711E+00   3.78435365121485E-08   3.00787683722682E-09
  4.00000E-02                3.60685807062235E-05   1.02678917667003E-05   3.56309712805077E-05   1.62303053117172E-05   3.22556408487372E-08   1.00000313914755E-16   6.65152655957700E-07   3.00739714028348E-05   6.70700700809032E-04   5.56155709020673E+00   3.78435365275259E-08   3.00787683852560E-09
  5.00000E-02                3.60685807016567E-05   1.02678917609131E-05   3.56309712799985E-05   1.62303053092961E-05   3.22556408852175E-08   1.00000313914755E-16   6.65152654747125E-07   3.00739713821419E-05   6.70700700809033E-04   5.56155709008636E+00   3.78435365432924E-08   3.00787683985622E-09
  5.00000E-02                3.60685806970869E-05   1.02678917551248E-05   3.56309712794890E-05   1.62303053068734E-05   3.22556409271529E-08   1.00000313914755E-16   6.65152653535761E-07   3.00739713614464E-05   6.70700700809034E-04   5.56155709008669E+00   3.78435365590897E-08   3.00787684118936E-09
  5.00000E-02                3.60685806970869E-05   1.02678917551248E-05   3.56309712794890E-05   1.62303053068734E-05   3.22556409270897E-08   1.00000313914755E-16   6.65152653535761E-07   3.00739713614464E-05   6.70700700809150E-04   5.56155709008669E+00   3.78435365590897E-08   3.00787684118936E-09
  5.00000E-02                3.60685806970869E-05   1.02678917551248E-05   3.56309712794890E-05   1.62303053068734E-05   3.22556409270895E-08   1.00000313914755E-16   6.65152653535761E-07   3.00739713614464E-05   6.70700700809150E-04   5.56155709008669E+00   3.78435365590897E-08   3.00787684118936E-09
  5.00000E-02                3.60685806970869E-05   1.02678917551248E-05   3.56309712794890E-05   1.62303053068734E-05   3.22556409270895E-08   1.00000313914755E-16   6.65152653535761E-07   3.00739713614464E-05   6.70700700809150E-04   5.56155709008669E+00   3.78435365590897E-08   3.00787684118936E-09
  5.00000E-02                3.60685806970869E-05   1.02678917551248E-05   3.56309712794890E-05   1.62303053068734E-05   3.22556409270895E-08   1.00000313914755E-16   6.65152653535761E-07   3.00739713614464E-05   6.70700700809150E-04   5.56155709008669E+00   3.78435365590897E-08   3.00787684118936E-09
  5.00000E-02                3.60685806970869E-05   1.02678917551248E-05   3.56309712794890E-05   1.62303053068734E-05   3.22556409270895E-08   1.00000313914755E-16   6.65152653535761E-07   3.00739713614464E-05   6.70700700809150E-04   5.56155709008669E+00   3.78435365590897E-08   3.00787684118936E-09
  5.00000E-02                3.60685806970869E-05   1.02678917551248E-05   3.56309712794890E-05   1.62303053068734E-05   3.22556409270895E-08   1.00000313914755E-16   6.65152653535761E-07   3.00739713614464E-05   6.70700700809150E-04   5.56155709008669E+00   3.78435365590897E-08   3.00787684118936E-09
