# Time          1.5000E+00
    Distance         pH
  5.0000E-02    5.5076E+00
  1.5000E-01    5.5138E+00
  2.5000E-01    5.5207E+00
  3.5000E-01    5.5276E+00
  4.5000E-01    5.5345E+00
  5.5000E-01    5.5413E+00
  6.5000E-01    5.5480E+00
  7.5000E-01    5.5547E+00
  8.5000E-01    5.5614E+00
  9.5000E-01    5.5679E+00
  1.0500E+00    5.5745E+00
  1.1500E+00    5.5810E+00
  1.2500E+00    5.5874E+00
  1.3500E+00    5.5938E+00
  1.4500E+00    5.6001E+00
  1.5500E+00    5.6064E+00
  1.6500E+00    5.6126E+00
  1.7500E+00    5.6188E+00
  1.8500E+00    5.6249E+00
  1.9500E+00    5.6310E+00
  2.0500E+00    5.6370E+00
  2.1500E+00    5.6430E+00
  2.2500E+00    5.6490E+00
  2.3500E+00    5.6549E+00
  2.4500E+00    5.6607E+00
  2.5500E+00    5.6665E+00
  2.6500E+00    5.6723E+00
  2.7500E+00    5.6781E+00
  2.8500E+00    5.6838E+00
  2.9500E+00    5.6894E+00
  3.0500E+00    5.6951E+00
  3.1500E+00    5.7006E+00
  3.2500E+00    5.7062E+00
  3.3500E+00    5.7117E+00
  3.4500E+00    5.7172E+00
  3.5500E+00    5.7226E+00
  3.6500E+00    5.7280E+00
  3.7500E+00    5.7334E+00
  3.8500E+00    5.7388E+00
  3.9500E+00    5.7441E+00
  4.0500E+00    5.7494E+00
  4.1500E+00    5.7546E+00
  4.2500E+00    5.7598E+00
  4.3500E+00    5.7650E+00
  4.4500E+00    5.7702E+00
  4.5500E+00    5.7753E+00
  4.6500E+00    5.7804E+00
  4.7500E+00    5.7855E+00
  4.8500E+00    5.7905E+00
  4.9500E+00    5.7955E+00
  5.0500E+00    5.8005E+00
  5.1500E+00    5.8055E+00
  5.2500E+00    5.8104E+00
  5.3500E+00    5.8154E+00
  5.4500E+00    5.8203E+00
  5.5500E+00    5.8251E+00
  5.6500E+00    5.8300E+00
  5.7500E+00    5.8348E+00
  5.8500E+00    5.8396E+00
  5.9500E+00    5.8444E+00
  6.0500E+00    5.8491E+00
  6.1500E+00    5.8539E+00
  6.2500E+00    5.8586E+00
  6.3500E+00    5.8633E+00
  6.4500E+00    5.8679E+00
  6.5500E+00    5.8726E+00
  6.6500E+00    5.8772E+00
  6.7500E+00    5.8818E+00
  6.8500E+00    5.8864E+00
  6.9500E+00    5.8910E+00
  7.0500E+00    5.8955E+00
  7.1500E+00    5.9001E+00
  7.2500E+00    5.9046E+00
  7.3500E+00    5.9091E+00
  7.4500E+00    5.9136E+00
  7.5500E+00    5.9180E+00
  7.6500E+00    5.9225E+00
  7.7500E+00    5.9269E+00
  7.8500E+00    5.9313E+00
  7.9500E+00    5.9357E+00
  8.0500E+00    5.9401E+00
  8.1500E+00    5.9445E+00
  8.2500E+00    5.9488E+00
  8.3500E+00    5.9532E+00
  8.4500E+00    5.9575E+00
  8.5500E+00    5.9618E+00
  8.6500E+00    5.9661E+00
  8.7500E+00    5.9704E+00
  8.8500E+00    5.9747E+00
  8.9500E+00    5.9789E+00
  9.0500E+00    5.9832E+00
  9.1500E+00    5.9874E+00
  9.2500E+00    5.9916E+00
  9.3500E+00    5.9958E+00
  9.4500E+00    6.0000E+00
  9.5500E+00    6.0042E+00
  9.6500E+00    6.0084E+00
  9.7500E+00    6.0125E+00
  9.8500E+00    6.0167E+00
  9.9500E+00    6.0208E+00
  1.0050E+01    6.0249E+00
  1.0150E+01    6.0290E+00
  1.0250E+01    6.0331E+00
  1.0350E+01    6.0372E+00
  1.0450E+01    6.0413E+00
  1.0550E+01    6.0454E+00
  1.0650E+01    6.0495E+00
  1.0750E+01    6.0535E+00
  1.0850E+01    6.0576E+00
  1.0950E+01    6.0616E+00
  1.1050E+01    6.0656E+00
  1.1150E+01    6.0696E+00
  1.1250E+01    6.0737E+00
  1.1350E+01    6.0777E+00
  1.1450E+01    6.0816E+00
  1.1550E+01    6.0856E+00
  1.1650E+01    6.0896E+00
  1.1750E+01    6.0936E+00
  1.1850E+01    6.0975E+00
  1.1950E+01    6.1015E+00
  1.2050E+01    6.1054E+00
  1.2150E+01    6.1094E+00
  1.2250E+01    6.1133E+00
  1.2350E+01    6.1172E+00
  1.2450E+01    6.1212E+00
  1.2550E+01    6.1251E+00
  1.2650E+01    6.1290E+00
  1.2750E+01    6.1329E+00
  1.2850E+01    6.1368E+00
  1.2950E+01    6.1407E+00
  1.3050E+01    6.1446E+00
  1.3150E+01    6.1484E+00
  1.3250E+01    6.1523E+00
  1.3350E+01    6.1562E+00
  1.3450E+01    6.1600E+00
  1.3550E+01    6.1639E+00
  1.3650E+01    6.1677E+00
  1.3750E+01    6.1716E+00
  1.3850E+01    6.1754E+00
  1.3950E+01    6.1793E+00
  1.4050E+01    6.1831E+00
  1.4150E+01    6.1869E+00
  1.4250E+01    6.1908E+00
  1.4350E+01    6.1946E+00
  1.4450E+01    6.1984E+00
  1.4550E+01    6.2022E+00
  1.4650E+01    6.2060E+00
  1.4750E+01    6.2098E+00
  1.4850E+01    6.2136E+00
  1.4950E+01    6.2175E+00
  1.5050E+01    6.2213E+00
  1.5150E+01    6.2250E+00
  1.5250E+01    6.2288E+00
  1.5350E+01    6.2326E+00
  1.5450E+01    6.2364E+00
  1.5550E+01    6.2402E+00
  1.5650E+01    6.2440E+00
  1.5750E+01    6.2478E+00
  1.5850E+01    6.2515E+00
  1.5950E+01    6.2553E+00
  1.6050E+01    6.2591E+00
  1.6150E+01    6.2629E+00
  1.6250E+01    6.2666E+00
  1.6350E+01    6.2704E+00
  1.6450E+01    6.2742E+00
  1.6550E+01    6.2780E+00
  1.6650E+01    6.2817E+00
  1.6750E+01    6.2855E+00
  1.6850E+01    6.2893E+00
  1.6950E+01    6.2930E+00
  1.7050E+01    6.2968E+00
  1.7150E+01    6.3006E+00
  1.7250E+01    6.3043E+00
  1.7350E+01    6.3081E+00
  1.7450E+01    6.3118E+00
  1.7550E+01    6.3156E+00
