# Time          5.0000E-02
# Units: Mol/m**3 Porous Medium/s
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.1628107E-14   -4.0116411E-11   -1.6226741E-10   -3.2554254E-11    1.1825231E-10    9.7659206E-12
    1.5000000E-01   -2.0248508E-14   -4.0133457E-11   -1.6260343E-10   -3.2635720E-11    1.1724904E-10    9.6663362E-12
    2.5000000E-01   -1.8865712E-14   -4.0150514E-11   -1.6294015E-10   -3.2717374E-11    1.1738272E-10    9.6623769E-12
    3.5000000E-01   -1.7479802E-14   -4.0167579E-11   -1.6327754E-10   -3.2799206E-11    1.1752837E-10    9.6609516E-12
    4.5000000E-01   -1.6090843E-14   -4.0184650E-11   -1.6361557E-10   -3.2881207E-11    1.1768341E-10    9.6616871E-12
    5.5000000E-01   -1.4698890E-14   -4.0201724E-11   -1.6395418E-10   -3.2963370E-11    1.1784646E-10    9.6643233E-12
    6.5000000E-01   -1.3303990E-14   -4.0218800E-11   -1.6429337E-10   -3.3045688E-11    1.1801635E-10    9.6686355E-12
    7.5000000E-01   -1.1906184E-14   -4.0235874E-11   -1.6463310E-10   -3.3128155E-11    1.1819215E-10    9.6744295E-12
    8.5000000E-01   -1.0505505E-14   -4.0252945E-11   -1.6497336E-10   -3.3210764E-11    1.1837304E-10    9.6815358E-12
    9.5000000E-01   -9.1019839E-15   -4.0270010E-11   -1.6531410E-10   -3.3293511E-11    1.1855838E-10    9.6898068E-12
    1.0500000E+00   -7.6956453E-15   -4.0287067E-11   -1.6565533E-10   -3.3376391E-11    1.1874759E-10    9.6991132E-12
    1.1500000E+00   -6.2865112E-15   -4.0304114E-11   -1.6599702E-10   -3.3459401E-11    1.1894021E-10    9.7093414E-12
    1.2500000E+00   -4.8746005E-15   -4.0321150E-11   -1.6633916E-10   -3.3542537E-11    1.1913584E-10    9.7203915E-12
    1.3500000E+00   -3.4599296E-15   -4.0338171E-11   -1.6668173E-10   -3.3625795E-11    1.1933413E-10    9.7321755E-12
    1.4500000E+00   -2.0425128E-15   -4.0355176E-11   -1.6702472E-10   -3.3709174E-11    1.1953478E-10    9.7446157E-12
    1.5500000E+00   -6.2236224E-16   -4.0372164E-11   -1.6736813E-10   -3.3792670E-11    1.1973755E-10    9.7576432E-12
    1.6500000E+00    0.0000000E+00   -4.0389131E-11   -1.6771195E-10   -3.3876283E-11    1.1994222E-10    9.7711972E-12
    1.7500000E+00    0.0000000E+00   -4.0406076E-11   -1.6805616E-10   -3.3960009E-11    1.2014860E-10    9.7852234E-12
    1.8500000E+00    0.0000000E+00   -4.0422997E-11   -1.6840076E-10   -3.4043847E-11    1.2035653E-10    9.7996740E-12
    1.9500000E+00    0.0000000E+00   -4.0439892E-11   -1.6874574E-10   -3.4127796E-11    1.2056586E-10    9.8145063E-12
    2.0500000E+00    0.0000000E+00   -4.0456759E-11   -1.6909111E-10   -3.4211856E-11    1.2077647E-10    9.8296822E-12
    2.1500000E+00    0.0000000E+00   -4.0473595E-11   -1.6943685E-10   -3.4296024E-11    1.2098824E-10    9.8451679E-12
    2.2500000E+00    0.0000000E+00   -4.0490399E-11   -1.6978296E-10   -3.4380299E-11    1.2120110E-10    9.8609332E-12
    2.3500000E+00    0.0000000E+00   -4.0507168E-11   -1.7012945E-10   -3.4464683E-11    1.2141493E-10    9.8769512E-12
    2.4500000E+00    0.0000000E+00   -4.0523900E-11   -1.7047630E-10   -3.4549173E-11    1.2162968E-10    9.8931978E-12
    2.5500000E+00    0.0000000E+00   -4.0540593E-11   -1.7082351E-10   -3.4633769E-11    1.2184528E-10    9.9096517E-12
    2.6500000E+00    0.0000000E+00   -4.0557244E-11   -1.7117109E-10   -3.4718470E-11    1.2206166E-10    9.9262934E-12
    2.7500000E+00    0.0000000E+00   -4.0573852E-11   -1.7151902E-10   -3.4803277E-11    1.2227877E-10    9.9431059E-12
