# Time          1.7500E+00
# Units: Mol/m**3 Porous Medium/s
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.5254158E-14   -4.0116858E-11   -1.6226741E-10   -3.2554254E-11    7.8047469E-11    6.4461153E-12
    1.5000000E-01   -2.0863069E-14   -4.0133546E-11   -1.6260343E-10   -3.2635720E-11    1.1792999E-10    9.7242994E-12
    2.5000000E-01   -1.9091640E-14   -4.0150549E-11   -1.6294015E-10   -3.2717374E-11    1.1752042E-10    9.6756634E-12
    3.5000000E-01   -1.7668135E-14   -4.0167610E-11   -1.6327754E-10   -3.2799206E-11    1.1760832E-10    9.6693195E-12
    4.5000000E-01   -1.6276538E-14   -4.0184683E-11   -1.6361557E-10   -3.2881207E-11    1.1775049E-10    9.6688061E-12
    5.5000000E-01   -1.4884773E-14   -4.0201761E-11   -1.6395418E-10   -3.2963370E-11    1.1790544E-10    9.6706038E-12
    6.5000000E-01   -1.3490251E-14   -4.0218839E-11   -1.6429337E-10   -3.3045688E-11    1.1806859E-10    9.6742065E-12
    7.5000000E-01   -1.2092829E-14   -4.0235916E-11   -1.6463310E-10   -3.3128155E-11    1.1823856E-10    9.6793846E-12
    8.5000000E-01   -1.0692531E-14   -4.0252990E-11   -1.6497336E-10   -3.3210764E-11    1.1841442E-10    9.6859539E-12
    9.5000000E-01   -9.2893874E-15   -4.0270059E-11   -1.6531410E-10   -3.3293511E-11    1.1859537E-10    9.6937549E-12
    1.0500000E+00   -7.8834229E-15   -4.0287119E-11   -1.6565533E-10   -3.3376391E-11    1.1878076E-10    9.7026487E-12
    1.1500000E+00   -6.4746604E-15   -4.0304170E-11   -1.6599702E-10   -3.3459401E-11    1.1897003E-10    9.7125138E-12
    1.2500000E+00   -5.0631189E-15   -4.0321210E-11   -1.6633916E-10   -3.3542537E-11    1.1916270E-10    9.7232434E-12
    1.3500000E+00   -3.6488152E-15   -4.0338235E-11   -1.6668173E-10   -3.3625795E-11    1.1935839E-10    9.7347439E-12
    1.4500000E+00   -2.2317639E-15   -4.0355245E-11   -1.6702472E-10   -3.3709174E-11    1.1955674E-10    9.7469326E-12
    1.5500000E+00   -8.1197729E-16   -4.0372237E-11   -1.6736813E-10   -3.3792670E-11    1.1975747E-10    9.7597367E-12
    1.6500000E+00    0.0000000E+00   -4.0389209E-11   -1.6771195E-10   -3.3876283E-11    1.1996033E-10    9.7730916E-12
    1.7500000E+00    0.0000000E+00   -4.0406159E-11   -1.6805616E-10   -3.3960009E-11    1.2016509E-10    9.7869404E-12
    1.8500000E+00    0.0000000E+00   -4.0423085E-11   -1.6840076E-10   -3.4043847E-11    1.2037158E-10    9.8012324E-12
    1.9500000E+00    0.0000000E+00   -4.0439986E-11   -1.6874574E-10   -3.4127796E-11    1.2057961E-10    9.8159226E-12
    2.0500000E+00    0.0000000E+00   -4.0456858E-11   -1.6909111E-10   -3.4211856E-11    1.2078906E-10    9.8309712E-12
    2.1500000E+00    0.0000000E+00   -4.0473700E-11   -1.6943685E-10   -3.4296024E-11    1.2099979E-10    9.8463425E-12
    2.2500000E+00    0.0000000E+00   -4.0490510E-11   -1.6978296E-10   -3.4380299E-11    1.2121170E-10    9.8620049E-12
    2.3500000E+00    0.0000000E+00   -4.0507285E-11   -1.7012945E-10   -3.4464683E-11    1.2142469E-10    9.8779303E-12
    2.4500000E+00    0.0000000E+00   -4.0524024E-11   -1.7047630E-10   -3.4549173E-11    1.2163867E-10    9.8940934E-12
    2.5500000E+00    0.0000000E+00   -4.0540724E-11   -1.7082351E-10   -3.4633769E-11    1.2185358E-10    9.9104717E-12
    2.6500000E+00    0.0000000E+00   -4.0557383E-11   -1.7117109E-10   -3.4718470E-11    1.2206933E-10    9.9270452E-12
    2.7500000E+00    0.0000000E+00   -4.0573998E-11   -1.7151902E-10   -3.4803277E-11    1.2228587E-10    9.9437959E-12
    2.8500000E+00    0.0000000E+00   -4.0590567E-11   -1.7186732E-10   -3.4888189E-11    1.2250314E-10    9.9607077E-12
    2.9500000E+00    0.0000000E+00   -4.0607088E-11   -1.7221597E-10   -3.4973206E-11    1.2272111E-10    9.9777661E-12
    3.0500000E+00    0.0000000E+00   -4.0623558E-11   -1.7256499E-10   -3.5058327E-11    1.2293972E-10    9.9949584E-12
    3.1500000E+00    0.0000000E+00   -4.0639975E-11   -1.7291436E-10   -3.5143552E-11    1.2315894E-10    1.0012273E-11
    3.2500000E+00    0.0000000E+00   -4.0656335E-11   -1.7326408E-10   -3.5228882E-11    1.2337873E-10    1.0029699E-11
    3.3500000E+00    0.0000000E+00   -4.0672637E-11   -1.7361416E-10   -3.5314316E-11    1.2359906E-10    1.0047228E-11
    3.4500000E+00    0.0000000E+00   -4.0688877E-11   -1.7396460E-10   -3.5399854E-11    1.2381990E-10    1.0064851E-11
    3.5500000E+00    0.0000000E+00   -4.0705053E-11   -1.7431539E-10   -3.5485495E-11    1.2404123E-10    1.0082560E-11
    3.6500000E+00    0.0000000E+00   -4.0721161E-11   -1.7466654E-10   -3.5571241E-11    1.2426301E-10    1.0100349E-11
    3.7500000E+00    0.0000000E+00   -4.0737199E-11   -1.7501804E-10   -3.5657090E-11    1.2448524E-10    1.0118211E-11
    3.8500000E+00    0.0000000E+00   -4.0753164E-11   -1.7536989E-10   -3.5743043E-11    1.2470788E-10    1.0136142E-11
    3.9500000E+00    0.0000000E+00   -4.0769052E-11   -1.7572210E-10   -3.5829100E-11    1.2493093E-10    1.0154136E-11
    4.0500000E+00    0.0000000E+00   -4.0784861E-11   -1.7607466E-10   -3.5915260E-11    1.2515436E-10    1.0172188E-11
    4.1500000E+00    0.0000000E+00   -4.0800586E-11   -1.7642758E-10   -3.6001524E-11    1.2537815E-10    1.0190294E-11
    4.2500000E+00    0.0000000E+00   -4.0816226E-11   -1.7678085E-10   -3.6087892E-11    1.2560230E-10    1.0208452E-11
    4.3500000E+00    0.0000000E+00   -4.0831775E-11   -1.7713448E-10   -3.6174363E-11    1.2582679E-10    1.0226657E-11
    4.4500000E+00    0.0000000E+00   -4.0847231E-11   -1.7748845E-10   -3.6260938E-11    1.2605161E-10    1.0244906E-11
    4.5500000E+00    0.0000000E+00   -4.0862591E-11   -1.7784279E-10   -3.6347616E-11    1.2627675E-10    1.0263197E-11
    4.6500000E+00    0.0000000E+00   -4.0877849E-11   -1.7819747E-10   -3.6434398E-11    1.2650218E-10    1.0281527E-11
    4.7500000E+00    0.0000000E+00   -4.0893003E-11   -1.7855251E-10   -3.6521284E-11    1.2672792E-10    1.0299893E-11
    4.8500000E+00    0.0000000E+00   -4.0908049E-11   -1.7890790E-10   -3.6608273E-11    1.2695394E-10    1.0318295E-11
    4.9500000E+00    0.0000000E+00   -4.0922982E-11   -1.7926365E-10   -3.6695366E-11    1.2718023E-10    1.0336729E-11
    5.0500000E+00    0.0000000E+00   -4.0937799E-11   -1.7961975E-10   -3.6782562E-11    1.2740680E-10    1.0355195E-11
    5.1500000E+00    0.0000000E+00   -4.0952495E-11   -1.7997620E-10   -3.6869862E-11    1.2763362E-10    1.0373690E-11
    5.2500000E+00    0.0000000E+00   -4.0967066E-11   -1.8033301E-10   -3.6957266E-11    1.2786069E-10    1.0392213E-11
    5.3500000E+00    0.0000000E+00   -4.0981508E-11   -1.8069017E-10   -3.7044773E-11    1.2808801E-10    1.0410763E-11
    5.4500000E+00    0.0000000E+00   -4.0995815E-11   -1.8104769E-10   -3.7132384E-11    1.2831557E-10    1.0429338E-11
    5.5500000E+00    0.0000000E+00   -4.1009985E-11   -1.8140555E-10   -3.7220098E-11    1.2854336E-10    1.0447938E-11
    5.6500000E+00    0.0000000E+00   -4.1024011E-11   -1.8176378E-10   -3.7307916E-11    1.2877137E-10    1.0466561E-11
    5.7500000E+00    0.0000000E+00   -4.1037889E-11   -1.8212235E-10   -3.7395837E-11    1.2899960E-10    1.0485206E-11
    5.8500000E+00    0.0000000E+00   -4.1051614E-11   -1.8248128E-10   -3.7483862E-11    1.2922805E-10    1.0503872E-11
    5.9500000E+00    0.0000000E+00   -4.1065181E-11   -1.8284056E-10   -3.7571990E-11    1.2945670E-10    1.0522559E-11
    6.0500000E+00    0.0000000E+00   -4.1078584E-11   -1.8320020E-10   -3.7660222E-11    1.2968555E-10    1.0541266E-11
    6.1500000E+00    0.0000000E+00   -4.1091819E-11   -1.8356019E-10   -3.7748558E-11    1.2991460E-10    1.0559991E-11
    6.2500000E+00    0.0000000E+00   -4.1104880E-11   -1.8392053E-10   -3.7836997E-11    1.3014384E-10    1.0578735E-11
    6.3500000E+00    0.0000000E+00   -4.1117762E-11   -1.8428123E-10   -3.7925540E-11    1.3037326E-10    1.0597497E-11
    6.4500000E+00    0.0000000E+00   -4.1130458E-11   -1.8464228E-10   -3.8014186E-11    1.3060287E-10    1.0616275E-11
    6.5500000E+00    0.0000000E+00   -4.1142963E-11   -1.8500368E-10   -3.8102936E-11    1.3083265E-10    1.0635069E-11
    6.6500000E+00    0.0000000E+00   -4.1155271E-11   -1.8536544E-10   -3.8191790E-11    1.3106260E-10    1.0653880E-11
    6.7500000E+00    0.0000000E+00   -4.1167376E-11   -1.8572755E-10   -3.8280747E-11    1.3129272E-10    1.0672705E-11
    6.8500000E+00    0.0000000E+00   -4.1179272E-11   -1.8609001E-10   -3.8369807E-11    1.3152299E-10    1.0691546E-11
    6.9500000E+00    0.0000000E+00   -4.1190952E-11   -1.8645283E-10   -3.8458972E-11    1.3175343E-10    1.0710400E-11
    7.0500000E+00    0.0000000E+00   -4.1202410E-11   -1.8681600E-10   -3.8548239E-11    1.3198402E-10    1.0729268E-11
    7.1500000E+00    0.0000000E+00   -4.1213639E-11   -1.8717953E-10   -3.8637611E-11    1.3221475E-10    1.0748149E-11
    7.2500000E+00    0.0000000E+00   -4.1224632E-11   -1.8754341E-10   -3.8727086E-11    1.3244563E-10    1.0767043E-11
    7.3500000E+00    0.0000000E+00   -4.1235382E-11   -1.8790764E-10   -3.8816664E-11    1.3267664E-10    1.0785949E-11
    7.4500000E+00    0.0000000E+00   -4.1245883E-11   -1.8827222E-10   -3.8906346E-11    1.3290779E-10    1.0804867E-11
    7.5500000E+00    0.0000000E+00   -4.1256127E-11   -1.8863716E-10   -3.8996132E-11    1.3313907E-10    1.0823796E-11
    7.6500000E+00    0.0000000E+00   -4.1266106E-11   -1.8900246E-10   -3.9086021E-11    1.3337048E-10    1.0842737E-11
    7.7500000E+00    0.0000000E+00   -4.1275814E-11   -1.8936810E-10   -3.9176014E-11    1.3360200E-10    1.0861687E-11
    7.8500000E+00    0.0000000E+00   -4.1285241E-11   -1.8973410E-10   -3.9266110E-11    1.3383364E-10    1.0880648E-11
    7.9500000E+00    0.0000000E+00   -4.1294381E-11   -1.9010046E-10   -3.9356310E-11    1.3406539E-10    1.0899619E-11
    8.0500000E+00    0.0000000E+00   -4.1303224E-11   -1.9046716E-10   -3.9446613E-11    1.3429724E-10    1.0918599E-11
    8.1500000E+00    0.0000000E+00   -4.1311764E-11   -1.9083422E-10   -3.9537020E-11    1.3452920E-10    1.0937588E-11
    8.2500000E+00    0.0000000E+00   -4.1319990E-11   -1.9120164E-10   -3.9627531E-11    1.3476125E-10    1.0956585E-11
    8.3500000E+00    0.0000000E+00   -4.1327895E-11   -1.9156940E-10   -3.9718145E-11    1.3499340E-10    1.0975590E-11
    8.4500000E+00    0.0000000E+00   -4.1335470E-11   -1.9193752E-10   -3.9808863E-11    1.3522563E-10    1.0994603E-11
    8.5500000E+00    0.0000000E+00   -4.1342706E-11   -1.9230600E-10   -3.9899684E-11    1.3545795E-10    1.1013623E-11
