# Time          5.0000E-02
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.2917467E-01   -4.4385298E+00   -8.6082316E+00   -3.1813600E+01    5.9087864E-03   -1.1181318E-02
    1.5000000E-01   -2.1033549E-01   -4.3860808E+00   -8.5628883E+00   -3.1404094E+01    5.8724656E-03   -1.1229354E-02
    2.5000000E-01   -1.9223868E-01   -4.3352721E+00   -8.5189382E+00   -3.1124519E+01    5.8975513E-03   -1.1214764E-02
    3.5000000E-01   -1.7482754E-01   -4.2860162E+00   -8.4763122E+00   -3.0898795E+01    5.9234805E-03   -1.1198235E-02
    4.5000000E-01   -1.5805147E-01   -4.2382077E+00   -8.4349186E+00   -3.0703253E+01    5.9501228E-03   -1.1180009E-02
    5.5000000E-01   -1.4186523E-01   -4.1917518E+00   -8.3946752E+00   -3.0527349E+01    5.9774098E-03   -1.1160254E-02
    6.5000000E-01   -1.2622820E-01   -4.1465631E+00   -8.3555079E+00   -3.0365436E+01    6.0052857E-03   -1.1139116E-02
    7.5000000E-01   -1.1110377E-01   -4.1025642E+00   -8.3173498E+00   -3.0214120E+01    6.0337047E-03   -1.1116722E-02
    8.5000000E-01   -9.6458839E-02   -4.0596850E+00   -8.2801404E+00   -3.0071195E+01    6.0626293E-03   -1.1093184E-02
    9.5000000E-01   -8.2263401E-02   -4.0178615E+00   -8.2438244E+00   -2.9935135E+01    6.0920288E-03   -1.1068599E-02
    1.0500000E+00   -6.8490150E-02   -3.9770353E+00   -8.2083515E+00   -2.9804840E+01    6.1218777E-03   -1.1043050E-02
    1.1500000E+00   -5.5114179E-02   -3.9371528E+00   -8.1736757E+00   -2.9679484E+01    6.1521552E-03   -1.1016613E-02
    1.2500000E+00   -4.2112710E-02   -3.8981648E+00   -8.1397547E+00   -2.9558433E+01    6.1828442E-03   -1.0989351E-02
    1.3500000E+00   -2.9464858E-02   -3.8600262E+00   -8.1065497E+00   -2.9441182E+01    6.2139305E-03   -1.0961323E-02
    1.4500000E+00   -1.7151425E-02   -3.8226950E+00   -8.0740249E+00   -2.9327328E+01    6.2454028E-03   -1.0932579E-02
    1.5500000E+00   -5.1547308E-03   -3.7861327E+00   -8.0421473E+00   -2.9216536E+01    6.2772518E-03   -1.0903161E-02
    1.6500000E+00    6.5415687E-03   -3.7503033E+00   -8.0108861E+00   -2.9108530E+01    6.3094702E-03   -1.0873109E-02
    1.7500000E+00    1.7952585E-02   -3.7151736E+00   -7.9802130E+00   -2.9003075E+01    6.3420522E-03   -1.0842457E-02
    1.8500000E+00    2.9092309E-02   -3.6807124E+00   -7.9501015E+00   -2.8899970E+01    6.3749933E-03   -1.0811232E-02
    1.9500000E+00    3.9973729E-02   -3.6468910E+00   -7.9205270E+00   -2.8799043E+01    6.4082903E-03   -1.0779462E-02
    2.0500000E+00    5.0608928E-02   -3.6136823E+00   -7.8914665E+00   -2.8700142E+01    6.4419409E-03   -1.0747168E-02
    2.1500000E+00    6.1009162E-02   -3.5810610E+00   -7.8628987E+00   -2.8603136E+01    6.4759438E-03   -1.0714369E-02
    2.2500000E+00    7.1184936E-02   -3.5490035E+00   -7.8348035E+00   -2.8507906E+01    6.5102983E-03   -1.0681083E-02
    2.3500000E+00    8.1146068E-02   -3.5174877E+00   -7.8071619E+00   -2.8414348E+01    6.5450046E-03   -1.0647323E-02
    2.4500000E+00    9.0901745E-02   -3.4864925E+00   -7.7799564E+00   -2.8322370E+01    6.5800633E-03   -1.0613102E-02
    2.5500000E+00    1.0046058E-01   -3.4559983E+00   -7.7531703E+00   -2.8231885E+01    6.6154757E-03   -1.0578430E-02
    2.6500000E+00    1.0983066E-01   -3.4259867E+00   -7.7267880E+00   -2.8142819E+01    6.6512434E-03   -1.0543315E-02
    2.7500000E+00    1.1901958E-01   -3.3964401E+00   -7.7007947E+00   -2.8055100E+01    6.6873687E-03   -1.0507764E-02
    2.8500000E+00    1.2803448E-01   -3.3673421E+00   -7.6751765E+00   -2.7968667E+01    6.7238539E-03   -1.0471784E-02
    2.9500000E+00    1.3688211E-01   -3.3386769E+00   -7.6499202E+00   -2.7883460E+01    6.7607020E-03   -1.0435379E-02
    3.0500000E+00    1.4556881E-01   -3.3104299E+00   -7.6250133E+00   -2.7799425E+01    6.7979163E-03   -1.0398551E-02
    3.1500000E+00    1.5410058E-01   -3.2825870E+00   -7.6004441E+00   -2.7716514E+01    6.8355002E-03   -1.0361304E-02
    3.2500000E+00    1.6248308E-01   -3.2551348E+00   -7.5762014E+00   -2.7634681E+01    6.8734575E-03   -1.0323639E-02
    3.3500000E+00    1.7072169E-01   -3.2280608E+00   -7.5522745E+00   -2.7553881E+01    6.9117924E-03   -1.0285557E-02
    3.4500000E+00    1.7882148E-01   -3.2013530E+00   -7.5286534E+00   -2.7474077E+01    6.9505091E-03   -1.0247057E-02
    3.5500000E+00    1.8678726E-01   -3.1749998E+00   -7.5053285E+00   -2.7395231E+01    6.9896123E-03   -1.0208139E-02
    3.6500000E+00    1.9462361E-01   -3.1489904E+00   -7.4822906E+00   -2.7317308E+01    7.0291067E-03   -1.0168801E-02
    3.7500000E+00    2.0233486E-01   -3.1233144E+00   -7.4595310E+00   -2.7240275E+01    7.0689974E-03   -1.0129041E-02
    3.8500000E+00    2.0992514E-01   -3.0979619E+00   -7.4370414E+00   -2.7164102E+01    7.1092897E-03   -1.0088856E-02
    3.9500000E+00    2.1739837E-01   -3.0729234E+00   -7.4148139E+00   -2.7088761E+01    7.1499889E-03   -1.0048245E-02
    4.0500000E+00    2.2475829E-01   -3.0481899E+00   -7.3928409E+00   -2.7014223E+01    7.1911008E-03   -1.0007202E-02
    4.1500000E+00    2.3200847E-01   -3.0237527E+00   -7.3711151E+00   -2.6940464E+01    7.2326313E-03   -9.9657245E-03
    4.2500000E+00    2.3915229E-01   -2.9996035E+00   -7.3496298E+00   -2.6867458E+01    7.2745864E-03   -9.9238077E-03
