# Time          7.0000E+00
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -3.5199054E-01   -4.7969926E+00   -8.9408466E+00   -3.2491564E+01    5.8948338E-03   -1.1194077E-02
    1.5000000E-01   -4.9971110E-01   -5.2296331E+00   -9.3468084E+00   -3.2884451E+01    5.9265468E-03   -1.1176578E-02
    2.5000000E-01   -5.8511284E-01   -5.4791867E+00   -9.5833242E+00   -3.3094306E+01    5.9995904E-03   -1.1118304E-02
    3.5000000E-01   -5.5795497E-01   -5.4017990E+00   -9.5142454E+00   -3.2866670E+01    6.0608690E-03   -1.1065328E-02
    4.5000000E-01   -4.6570788E-01   -5.1350158E+00   -9.2671778E+00   -3.2376912E+01    6.0803243E-03   -1.1047917E-02
    5.5000000E-01   -3.6668244E-01   -4.8473720E+00   -9.0003426E+00   -3.1848439E+01    6.0791645E-03   -1.1049861E-02
    6.5000000E-01   -2.8495843E-01   -4.6093918E+00   -8.7800198E+00   -3.1387686E+01    6.0768846E-03   -1.1053918E-02
    7.5000000E-01   -2.2405143E-01   -4.4318735E+00   -8.6163717E+00   -3.1018432E+01    6.0813979E-03   -1.1052477E-02
    8.5000000E-01   -1.8039069E-01   -4.3046353E+00   -8.4998818E+00   -3.0729799E+01    6.0935978E-03   -1.1044380E-02
    9.5000000E-01   -1.4898421E-01   -4.2131287E+00   -8.4169281E+00   -3.0501255E+01    6.1120692E-03   -1.1030665E-02
    1.0500000E+00   -1.2544907E-01   -4.1444996E+00   -8.3554542E+00   -3.0313291E+01    6.1351543E-03   -1.1012624E-02
    1.1500000E+00   -1.0659454E-01   -4.0893686E+00   -8.3066426E+00   -3.0151133E+01    6.1614349E-03   -1.0991377E-02
    1.2500000E+00   -9.0383105E-02   -4.0417474E+00   -8.2648487E+00   -3.0005051E+01    6.1898262E-03   -1.0967796E-02
    1.3500000E+00   -7.5648580E-02   -3.9982174E+00   -8.2268418E+00   -2.9869251E+01    6.2195797E-03   -1.0942511E-02
    1.4500000E+00   -6.1782766E-02   -3.9570065E+00   -8.1909435E+00   -2.9740504E+01    6.2502324E-03   -1.0915932E-02
    1.5500000E+00   -4.8490479E-02   -3.9172648E+00   -8.1563484E+00   -2.9617043E+01    6.2815248E-03   -1.0888315E-02
    1.6500000E+00   -3.5633675E-02   -3.8786038E+00   -8.1226898E+00   -2.9497872E+01    6.3133230E-03   -1.0859813E-02
    1.7500000E+00   -2.3146234E-02   -3.8408453E+00   -8.0898007E+00   -2.9382371E+01    6.3455613E-03   -1.0830521E-02
    1.8500000E+00   -1.0992695E-02   -3.8038994E+00   -8.0575990E+00   -2.9270116E+01    6.3782076E-03   -1.0800504E-02
    1.9500000E+00    8.4983452E-04   -3.7677116E+00   -8.0260363E+00   -2.9160784E+01    6.4112454E-03   -1.0769810E-02
