 TITLE = "Isotope ratios" 
    Distance        Li7+            
    5.0000000E-02   -1.0262417E+01
    1.5000000E-01   -1.2336723E+01
    2.5000000E-01   -1.4487457E+01
    3.5000000E-01   -1.5694518E+01
    4.5000000E-01   -1.5991506E+01
    5.5000000E-01   -1.6105302E+01
    6.5000000E-01   -1.6363337E+01
    7.5000000E-01   -1.6809339E+01
    8.5000000E-01   -1.7404638E+01
    9.5000000E-01   -1.8094185E+01
    1.0500000E+00   -1.8824982E+01
    1.1500000E+00   -1.9553581E+01
    1.2500000E+00   -2.0249574E+01
    1.3500000E+00   -2.0895501E+01
    1.4500000E+00   -2.1484116E+01
    1.5500000E+00   -2.2014790E+01
    1.6500000E+00   -2.2490428E+01
    1.7500000E+00   -2.2915431E+01
    1.8500000E+00   -2.3294573E+01
    1.9500000E+00   -2.3632479E+01
    2.0500000E+00   -2.3933425E+01
    2.1500000E+00   -2.4201285E+01
    2.2500000E+00   -2.4439544E+01
    2.3500000E+00   -2.4651326E+01
    2.4500000E+00   -2.4839426E+01
    2.5500000E+00   -2.5006346E+01
    2.6500000E+00   -2.5154324E+01
    2.7500000E+00   -2.5285361E+01
    2.8500000E+00   -2.5401250E+01
    2.9500000E+00   -2.5503590E+01
    3.0500000E+00   -2.5593816E+01
    3.1500000E+00   -2.5673207E+01
    3.2500000E+00   -2.5742910E+01
    3.3500000E+00   -2.5803949E+01
    3.4500000E+00   -2.5857240E+01
    3.5500000E+00   -2.5903603E+01
    3.6500000E+00   -2.5943771E+01
    3.7500000E+00   -2.5978399E+01
    3.8500000E+00   -2.6008073E+01
    3.9500000E+00   -2.6033318E+01
    4.0500000E+00   -2.6054601E+01
    4.1500000E+00   -2.6072342E+01
    4.2500000E+00   -2.6086917E+01
    4.3500000E+00   -2.6098661E+01
    4.4500000E+00   -2.6107872E+01
    4.5500000E+00   -2.6114821E+01
    4.6500000E+00   -2.6119746E+01
    4.7500000E+00   -2.6122863E+01
    4.8500000E+00   -2.6124364E+01
    4.9500000E+00   -2.6124420E+01
    5.0500000E+00   -2.6123185E+01
    5.1500000E+00   -2.6120796E+01
    5.2500000E+00   -2.6117378E+01
    5.3500000E+00   -2.6113039E+01
    5.4500000E+00   -2.6107879E+01
    5.5500000E+00   -2.6101985E+01
    5.6500000E+00   -2.6095437E+01
