 TITLE = "Isotope ratios" 
    Distance        Kaolinite_Li7   
    5.0000000E-02    3.4646804E+00
    1.5000000E-01    3.4002377E+00
    2.5000000E-01    3.3433503E+00
    3.5000000E-01    3.2927163E+00
    4.5000000E-01    3.2477054E+00
    5.5000000E-01    3.2077519E+00
    6.5000000E-01    3.1723476E+00
    7.5000000E-01    3.1410358E+00
    8.5000000E-01    3.1134059E+00
    9.5000000E-01    3.0890890E+00
    1.0500000E+00    3.0677533E+00
    1.1500000E+00    3.0491003E+00
    1.2500000E+00    3.0328618E+00
    1.3500000E+00    3.0187964E+00
    1.4500000E+00    3.0066870E+00
    1.5500000E+00    2.9963383E+00
    1.6500000E+00    2.9875746E+00
    1.7500000E+00    2.9802379E+00
    1.8500000E+00    2.9741859E+00
    1.9500000E+00    2.9692908E+00
    2.0500000E+00    2.9654374E+00
    2.1500000E+00    2.9625221E+00
    2.2500000E+00    2.9604518E+00
    2.3500000E+00    2.9591425E+00
    2.4500000E+00    2.9585188E+00
    2.5500000E+00    2.9585126E+00
    2.6500000E+00    2.9590630E+00
    2.7500000E+00    2.9601148E+00
    2.8500000E+00    2.9616184E+00
    2.9500000E+00    2.9635294E+00
    3.0500000E+00    2.9658075E+00
    3.1500000E+00    2.9684166E+00
    3.2500000E+00    2.9713241E+00
    3.3500000E+00    2.9745009E+00
    3.4500000E+00    2.9779204E+00
    3.5500000E+00    2.9815590E+00
    3.6500000E+00    2.9853952E+00
    3.7500000E+00    2.9894097E+00
    3.8500000E+00    2.9935854E+00
    3.9500000E+00    2.9979064E+00
    4.0500000E+00    3.0023588E+00
    4.1500000E+00    3.0069298E+00
    4.2500000E+00    3.0116081E+00
    4.3500000E+00    3.0163834E+00
    4.4500000E+00    3.0212464E+00
    4.5500000E+00    3.0261888E+00
    4.6500000E+00    3.0312031E+00
    4.7500000E+00    3.0362826E+00
    4.8500000E+00    3.0414210E+00
    4.9500000E+00    3.0466131E+00
    5.0500000E+00    3.0518537E+00
    5.1500000E+00    3.0571386E+00
    5.2500000E+00    3.0624637E+00
    5.3500000E+00    3.0678254E+00
    5.4500000E+00    3.0732205E+00
    5.5500000E+00    3.0786462E+00
    5.6500000E+00    3.0840997E+00
    5.7500000E+00    3.0895788E+00
    5.8500000E+00    3.0950814E+00
