# Time          5.0000E-02
# Units: Mol/kgw
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -6.0684693E-05    3.3421330E-05    8.9504303E-06    3.5335825E-05    1.5043749E-05    5.8627210E-08    1.0000031E-16    7.1874262E-08    3.7141876E-08    2.9808785E-09    2.2155153E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.5000000E-01   -6.1677762E-05    3.3749847E-05    9.1143325E-06    3.5372452E-05    1.5190776E-05    5.4041006E-08    1.0000031E-16    1.4538799E-07    3.7213202E-08    2.9814433E-09    2.3137368E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.5000000E-01   -6.2674403E-05    3.4079045E-05    9.2784569E-06    3.5409155E-05    1.5338171E-05    4.9924415E-08    1.0000031E-16    2.1908553E-07    3.7289839E-08    2.9829584E-09    2.4121860E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.5000000E-01   -6.3674432E-05    3.4408924E-05    9.4428039E-06    3.5445934E-05    1.5485935E-05    4.6214661E-08    1.0000031E-16    2.9296730E-07    3.7371388E-08    2.9853367E-09    2.5108569E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.5000000E-01   -6.4677702E-05    3.4739485E-05    9.6073739E-06    3.5482789E-05    1.5634067E-05    4.2861906E-08    1.0000031E-16    3.6703368E-07    3.7457542E-08    2.9885043E-09    2.6097449E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    5.5000000E-01   -6.5684091E-05    3.5070730E-05    9.7721674E-06    3.5519720E-05    1.5782570E-05    3.9823634E-08    1.0000031E-16    4.4128506E-07    3.7548039E-08    2.9923961E-09    2.7088460E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    6.5000000E-01   -6.6693492E-05    3.5402661E-05    9.9371846E-06    3.5556727E-05    1.5931444E-05    3.7063392E-08    1.0000031E-16    5.1572179E-07    3.7642659E-08    2.9969547E-09    2.8081569E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    7.5000000E-01   -6.7705815E-05    3.5735277E-05    1.0102426E-05    3.5593811E-05    1.6080688E-05    3.4549781E-08    1.0000031E-16    5.9034421E-07    3.7741212E-08    3.0021299E-09    2.9076748E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    8.5000000E-01   -6.8720981E-05    3.6068581E-05    1.0267892E-05    3.5630971E-05    1.6230305E-05    3.2255641E-08    1.0000031E-16    6.6515265E-07    3.7843537E-08    3.0078768E-09    3.0073971E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    9.5000000E-01   -6.9738924E-05    3.6402573E-05    1.0433582E-05    3.5668209E-05    1.6380295E-05    3.0157385E-08    1.0000031E-16    7.4014744E-07    3.7949494E-08    3.0141561E-09    3.1073219E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.0500000E+00   -7.0759585E-05    3.6737254E-05    1.0599498E-05    3.5705523E-05    1.6530658E-05    2.8234448E-08    1.0000031E-16    8.1532887E-07    3.8058964E-08    3.0209328E-09    3.2074473E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.1500000E+00   -7.1782913E-05    3.7072625E-05    1.0765639E-05    3.5742914E-05    1.6681394E-05    2.6468842E-08    1.0000031E-16    8.9069724E-07    3.8171842E-08    3.0281757E-09    3.3077717E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.2500000E+00   -7.2808863E-05    3.7408687E-05    1.0932005E-05    3.5780382E-05    1.6832506E-05    2.4844774E-08    1.0000031E-16    9.6625285E-07    3.8288040E-08    3.0358573E-09    3.4082938E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.3500000E+00   -7.3837397E-05    3.7745442E-05    1.1098598E-05    3.5817927E-05    1.6983992E-05    2.3348339E-08    1.0000031E-16    1.0419960E-06    3.8407476E-08    3.0439530E-09    3.5090124E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.4500000E+00   -7.4868481E-05    3.8082889E-05    1.1265416E-05    3.5855549E-05    1.7135854E-05    2.1967256E-08    1.0000031E-16    1.1179269E-06    3.8530084E-08    3.0524410E-09    3.6099266E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.5500000E+00   -7.5902085E-05    3.8421030E-05    1.1432461E-05    3.5893249E-05    1.7288092E-05    2.0690648E-08    1.0000031E-16    1.1940458E-06    3.8655803E-08    3.0613018E-09    3.7110353E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.6500000E+00   -7.6938182E-05    3.8759865E-05    1.1599732E-05    3.5931026E-05    1.7440706E-05    1.9508855E-08    1.0000031E-16    1.2703531E-06    3.8784580E-08    3.0705181E-09    3.8123382E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.7500000E+00   -7.7976751E-05    3.9099396E-05    1.1767230E-05    3.5968881E-05    1.7593698E-05    1.8413277E-08    1.0000031E-16    1.3468490E-06    3.8916368E-08    3.0800745E-09    3.9138346E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.8500000E+00   -7.9017769E-05    3.9439623E-05    1.1934955E-05    3.6006814E-05    1.7747067E-05    1.7396237E-08    1.0000031E-16    1.4235337E-06    3.9051128E-08    3.0899571E-09    4.0155240E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.9500000E+00   -8.0061219E-05    3.9780547E-05    1.2102907E-05    3.6044824E-05    1.7900815E-05    1.6450871E-08    1.0000031E-16    1.5004074E-06    3.9188821E-08    3.1001535E-09    4.1174059E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.0500000E+00   -8.1107086E-05    4.0122169E-05    1.2271086E-05    3.6082912E-05    1.8054941E-05    1.5571024E-08    1.0000031E-16    1.5774705E-06    3.9329418E-08    3.1106530E-09    4.2194798E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.1500000E+00   -8.2155355E-05    4.0464489E-05    1.2439492E-05    3.6121077E-05    1.8209446E-05    1.4751166E-08    1.0000031E-16    1.6547232E-06    3.9472889E-08    3.1214455E-09    4.3217454E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.2500000E+00   -8.3206015E-05    4.0807509E-05    1.2608127E-05    3.6159321E-05    1.8364331E-05    1.3986318E-08    1.0000031E-16    1.7321657E-06    3.9619210E-08    3.1325223E-09    4.4242024E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.3500000E+00   -8.4259053E-05    4.1151228E-05    1.2776989E-05    3.6197643E-05    1.8519597E-05    1.3271991E-08    1.0000031E-16    1.8097983E-06    3.9768359E-08    3.1438756E-09    4.5268505E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.4500000E+00   -8.5314460E-05    4.1495648E-05    1.2946079E-05    3.6236043E-05    1.8675242E-05    1.2604128E-08    1.0000031E-16    1.8876212E-06    3.9920316E-08    3.1554985E-09    4.6296896E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.5500000E+00   -8.6372228E-05    4.1840770E-05    1.3115398E-05    3.6274521E-05    1.8831269E-05    1.1979057E-08    1.0000031E-16    1.9656346E-06    4.0075064E-08    3.1673846E-09    4.7327193E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.6500000E+00   -8.7432349E-05    4.2186593E-05    1.3284944E-05    3.6313077E-05    1.8987678E-05    1.1393447E-08    1.0000031E-16    2.0438388E-06    4.0232589E-08    3.1795284E-09    4.8359395E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.7500000E+00   -8.8494817E-05    4.2533120E-05    1.3454719E-05    3.6351712E-05    1.9144468E-05    1.0844274E-08    1.0000031E-16    2.1222341E-06    4.0392877E-08    3.1919249E-09    4.9393502E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.8500000E+00   -8.9559625E-05    4.2880350E-05    1.3624723E-05    3.6390425E-05    1.9301641E-05    1.0328787E-08    1.0000031E-16    2.2008205E-06    4.0555915E-08    3.2045696E-09    5.0429512E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.9500000E+00   -9.0626769E-05    4.3228285E-05    1.3794955E-05    3.6429217E-05    1.9459197E-05    9.8444793E-09    1.0000031E-16    2.2795985E-06    4.0721696E-08    3.2174586E-09    5.1467424E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.0500000E+00   -9.1696245E-05    4.3576925E-05    1.3965416E-05    3.6468087E-05    1.9617137E-05    9.3890641E-09    1.0000031E-16    2.3585683E-06    4.0890208E-08    3.2305884E-09    5.2507237E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.1500000E+00   -9.2768047E-05    4.3926271E-05    1.4136106E-05    3.6507036E-05    1.9775460E-05    8.9604521E-09    1.0000031E-16    2.4377299E-06    4.1061445E-08    3.2439559E-09    5.3548952E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.2500000E+00   -9.3842174E-05    4.4276323E-05    1.4307025E-05    3.6546064E-05    1.9934168E-05    8.5567318E-09    1.0000031E-16    2.5170838E-06    4.1235400E-08    3.2575582E-09    5.4592568E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.3500000E+00   -9.4918621E-05    4.4627082E-05    1.4478173E-05    3.6585171E-05    2.0093260E-05    8.1761520E-09    1.0000031E-16    2.5966302E-06    4.1412067E-08    3.2713928E-09    5.5638085E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.4500000E+00   -9.5997387E-05    4.4978550E-05    1.4649550E-05    3.6624356E-05    2.0252738E-05    7.8171064E-09    1.0000031E-16    2.6763692E-06    4.1591442E-08    3.2854577E-09    5.6685503E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.5500000E+00   -9.7078470E-05    4.5330726E-05    1.4821156E-05    3.6663621E-05    2.0412602E-05    7.4781197E-09    1.0000031E-16    2.7563011E-06    4.1773521E-08    3.2997507E-09    5.7734822E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.6500000E+00   -9.8161868E-05    4.5683611E-05    1.4992992E-05    3.6702965E-05    2.0572852E-05    7.1578356E-09    1.0000031E-16    2.8364261E-06    4.1958301E-08    3.3142703E-09    5.8786043E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.7500000E+00   -9.9247579E-05    4.6037207E-05    1.5165058E-05    3.6742388E-05    2.0733489E-05    6.8550054E-09    1.0000031E-16    2.9167445E-06    4.2145778E-08    3.3290148E-09    5.9839165E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.8500000E+00   -1.0033560E-04    4.6391514E-05    1.5337352E-05    3.6781890E-05    2.0894513E-05    6.5684783E-09    1.0000031E-16    2.9972565E-06    4.2335953E-08    3.3439830E-09    6.0894189E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.9500000E+00   -1.0142594E-04    4.6746532E-05    1.5509877E-05    3.6821471E-05    2.1055925E-05    6.2971927E-09    1.0000031E-16    3.0779624E-06    4.2528822E-08    3.3591738E-09    6.1951116E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.0500000E+00   -1.0251858E-04    4.7102262E-05    1.5682631E-05    3.6861132E-05    2.1217725E-05    6.0401681E-09    1.0000031E-16    3.1588623E-06    4.2724386E-08    3.3745861E-09    6.3009945E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.1500000E+00   -1.0361354E-04    4.7458706E-05    1.5855615E-05    3.6900872E-05    2.1379913E-05    5.7964981E-09    1.0000031E-16    3.2399565E-06    4.2922645E-08    3.3902190E-09    6.4070679E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.2500000E+00   -1.0471081E-04    4.7815863E-05    1.6028828E-05    3.6940692E-05    2.1542491E-05    5.5653437E-09    1.0000031E-16    3.3212453E-06    4.3123598E-08    3.4060719E-09    6.5133317E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.3500000E+00   -1.0581038E-04    4.8173734E-05    1.6202271E-05    3.6980592E-05    2.1705458E-05    5.3459280E-09    1.0000031E-16    3.4027289E-06    4.3327246E-08    3.4221440E-09    6.6197860E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.4500000E+00   -1.0691227E-04    4.8532321E-05    1.6375944E-05    3.7020571E-05    2.1868815E-05    5.1375305E-09    1.0000031E-16    3.4844074E-06    4.3533590E-08    3.4384349E-09    6.7264309E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.5500000E+00   -1.0801647E-04    4.8891623E-05    1.6549847E-05    3.7060631E-05    2.2032562E-05    4.9394827E-09    1.0000031E-16    3.5662812E-06    4.3742633E-08    3.4549442E-09    6.8332665E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.6500000E+00   -1.0912298E-04    4.9251643E-05    1.6723980E-05    3.7100770E-05    2.2196701E-05    4.7511634E-09    1.0000031E-16    3.6483505E-06    4.3954375E-08    3.4716714E-09    6.9402928E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.7500000E+00   -1.1023180E-04    4.9612379E-05    1.6898342E-05    3.7140989E-05    2.2361231E-05    4.5719955E-09    1.0000031E-16    3.7306155E-06    4.4168819E-08    3.4886164E-09    7.0475099E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.8500000E+00   -1.1134293E-04    4.9973833E-05    1.7072934E-05    3.7181288E-05    2.2526153E-05    4.4014417E-09    1.0000031E-16    3.8130764E-06    4.4385967E-08    3.5057788E-09    7.1549180E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.9500000E+00   -1.1245638E-04    5.0336006E-05    1.7247756E-05    3.7221667E-05    2.2691467E-05    4.2390019E-09    1.0000031E-16    3.8957335E-06    4.4605822E-08    3.5231587E-09    7.2625171E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    5.0500000E+00   -1.1357213E-04    5.0698899E-05    1.7422808E-05    3.7262126E-05    2.2857174E-05    4.0842097E-09    1.0000031E-16    3.9785870E-06    4.4828387E-08    3.5407558E-09    7.3703073E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    5.1500000E+00   -1.1469021E-04    5.1062512E-05    1.7598089E-05    3.7302666E-05    2.3023274E-05    3.9366305E-09    1.0000031E-16    4.0616371E-06    4.5053666E-08    3.5585702E-09    7.4782887E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    5.2500000E+00   -1.1581060E-04    5.1426845E-05    1.7773600E-05    3.7343286E-05    2.3189768E-05    3.7958585E-09    1.0000031E-16    4.1448841E-06    4.5281662E-08    3.5766019E-09    7.5864614E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    5.3500000E+00   -1.1693331E-04    5.1791900E-05    1.7949340E-05    3.7383987E-05    2.3356657E-05    3.6615144E-09    1.0000031E-16    4.2283283E-06    4.5512378E-08    3.5948510E-09    7.6948254E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
