# Time          1.5000E+00
# Units: Mol/kgw
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -5.9018475E-05    3.2498840E-05    8.7033797E-06    3.4360502E-05    1.4628514E-05    5.9935720E-08    9.7240153E-17    6.9888156E-08    3.6137841E-08    2.9003473E-09    2.1546541E-05    6.5218834E-04    3.1939658E-04    8.0520397E-05
    1.5000000E-01   -6.1550253E-05    3.3685404E-05    9.0949738E-06    3.5312911E-05    1.5161792E-05    5.4228335E-08    9.9834679E-17    1.4323555E-07    3.7150848E-08    2.9765836E-09    2.3073662E-05    6.6958979E-04    3.2791860E-04    8.2668813E-05
    2.5000000E-01   -6.2640193E-05    3.4066642E-05    9.2729079E-06    3.5405168E-05    1.5332611E-05    5.0041877E-08    9.9992075E-17    2.1691930E-07    3.7284547E-08    2.9826697E-09    2.4091177E-05    6.7064544E-04    3.2843559E-04    8.2799146E-05
    3.5000000E-01   -6.3644804E-05    3.4399108E-05    9.4379405E-06    3.5444727E-05    1.5481538E-05    4.6318533E-08    9.9999957E-17    2.9079533E-07    3.7368827E-08    2.9852538E-09    2.5079480E-05    6.7069831E-04    3.2846148E-04    8.2805673E-05
    4.5000000E-01   -6.4648186E-05    3.4729763E-05    9.6025341E-06    3.5481700E-05    1.5629711E-05    4.2955828E-08    1.0000030E-16    3.6485632E-07    3.7454975E-08    2.9884086E-09    2.6068369E-05    6.7070061E-04    3.2846260E-04    8.2805957E-05
    5.5000000E-01   -6.5654493E-05    3.5060993E-05    9.7673222E-06    3.5518634E-05    1.5778205E-05    3.9908848E-08    1.0000031E-16    4.3910231E-07    3.7545354E-08    2.9922798E-09    2.7059322E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    6.5000000E-01   -6.6663807E-05    3.5392903E-05    9.9323330E-06    3.5555639E-05    1.5927067E-05    3.7140897E-08    1.0000031E-16    5.1353363E-07    3.7639857E-08    2.9968192E-09    2.8052370E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    7.5000000E-01   -6.7676046E-05    3.5725499E-05    1.0097568E-05    3.5592721E-05    1.6076301E-05    3.4620438E-08    1.0000031E-16    5.8815062E-07    3.7738297E-08    3.0019765E-09    2.9047489E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    8.5000000E-01   -6.8691130E-05    3.6058783E-05    1.0263027E-05    3.5629879E-05    1.6225907E-05    3.2320196E-08    1.0000031E-16    6.6295363E-07    3.7840514E-08    3.0077068E-09    3.0044653E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    9.5000000E-01   -6.9708993E-05    3.6392755E-05    1.0428711E-05    3.5667114E-05    1.6375886E-05    3.0216486E-08    1.0000031E-16    7.3794297E-07    3.7946367E-08    3.0139707E-09    3.1043842E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.0500000E+00   -7.0729575E-05    3.6727416E-05    1.0594620E-05    3.5704426E-05    1.6526238E-05    2.8288662E-08    1.0000031E-16    8.1311893E-07    3.8055736E-08    3.0207329E-09    3.2045037E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
