# Time          7.0000E+00
# Units: Log10 mol/kgw
    Distance      pH               H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-              Al(OH)2+         AlO2-            AlOH++           HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          KOH(aq)          NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            NaCO3-           NaHCO3(aq)   
    5.0000000E-02    5.5154639E+00   -5.5096009E+00   -4.5998165E+00   -5.1719836E+00   -4.5755451E+00   -4.9464380E+00   -7.4736458E+00   -1.6123755E+01   -7.2711502E+00   -7.5505948E+00   -8.6460375E+00   -4.7776897E+00   -3.3413844E+00   -3.6072704E+00   -4.2057026E+00   -8.1748282E+00   -1.0381333E+01   -7.4899138E+00   -4.3119317E+00   -1.6682818E+01   -9.0219677E+00   -9.0509884E+00   -9.4729912E+00   -1.1040988E+01   -1.4122536E+01   -1.5823259E+01   -9.6394783E+00   -1.2262051E+01   -1.4486224E+01   -9.1245978E+00   -9.3003892E+00   -1.3197758E+01   -8.6151459E+00
    1.5000000E-01    5.5413676E+00   -5.5365263E+00   -4.7739161E+00   -5.3407343E+00   -4.7552874E+00   -5.1205875E+00   -7.4079255E+00   -1.6304165E+01   -7.0478395E+00   -7.7223232E+00   -8.8186813E+00   -4.9287813E+00   -3.5242588E+00   -3.7876810E+00   -4.3861123E+00   -8.0491487E+00   -1.0203846E+01   -7.3933043E+00   -4.4699658E+00   -1.6786347E+01   -8.8693211E+00   -9.2562307E+00   -9.5992427E+00   -1.1388011E+01   -1.4264312E+01   -1.5817750E+01   -9.9918579E+00   -1.2560280E+01   -1.4633357E+01   -9.0997565E+00   -9.4356860E+00   -1.3502930E+01   -8.9451577E+00
    2.5000000E-01    5.5677535E+00   -5.5635444E+00   -4.9003251E+00   -5.4607010E+00   -4.8886774E+00   -5.2470438E+00   -7.3915563E+00   -1.6438397E+01   -6.9355952E+00   -7.8471882E+00   -8.9445359E+00   -5.0289447E+00   -3.6611799E+00   -3.9219125E+00   -4.5203432E+00   -7.9749620E+00   -1.0076887E+01   -7.3474527E+00   -4.5811549E+00   -1.6836349E+01   -8.7680946E+00   -9.4161897E+00   -9.6736740E+00   -1.1640896E+01   -1.4357235E+01   -1.5815895E+01   -1.0251189E+01   -1.2759816E+01   -1.4732726E+01   -9.0740239E+00   -9.5224383E+00   -1.3713490E+01   -9.1814504E+00
    3.5000000E-01    5.5778800E+00   -5.5737667E+00   -4.9196483E+00   -5.4759583E+00   -4.9125256E+00   -5.2663896E+00   -7.4184602E+00   -1.6462799E+01   -6.8508109E+00   -7.8698182E+00   -8.9678273E+00   -5.0331493E+00   -3.6866696E+00   -3.9463148E+00   -4.5447453E+00   -7.9808480E+00   -1.0062520E+01   -7.3637599E+00   -4.5966170E+00   -1.6820695E+01   -8.7637552E+00   -9.4506190E+00   -9.6678509E+00   -1.1680357E+01   -1.4362266E+01   -1.5820654E+01   -1.0294716E+01   -1.2773118E+01   -1.4741824E+01   -9.0639962E+00   -9.5280686E+00   -1.3738051E+01   -9.2160384E+00
    4.5000000E-01    5.5748920E+00   -5.5705636E+00   -4.8717105E+00   -5.4266580E+00   -4.8661317E+00   -5.2184526E+00   -7.4601056E+00   -1.6416596E+01   -6.7724601E+00   -7.8271696E+00   -8.9254694E+00   -4.9810392E+00   -3.6401646E+00   -3.9001119E+00   -4.4985425E+00   -8.0301864E+00   -1.0117835E+01   -7.4094484E+00   -4.5528781E+00   -1.6773675E+01   -8.8163037E+00   -9.4016513E+00   -9.6185069E+00   -1.1585299E+01   -1.4316177E+01   -1.5828474E+01   -1.0201020E+01   -1.2676280E+01   -1.4697096E+01   -9.0667625E+00   -9.4866559E+00   -1.3649583E+01   -9.1248048E+00
    5.5000000E-01    5.5707895E+00   -5.5661968E+00   -4.8164257E+00   -5.3704634E+00   -4.8118861E+00   -5.1631652E+00   -7.5038156E+00   -1.6362480E+01   -6.6978427E+00   -7.7763782E+00   -8.8748701E+00   -4.9231550E+00   -3.5856327E+00   -3.8459953E+00   -4.4444261E+00   -8.0842112E+00   -1.0180064E+01   -7.4585560E+00   -4.5021753E+00   -1.6722905E+01   -8.8747042E+00   -9.3437074E+00   -9.5644518E+00   -1.1475537E+01   -1.4264360E+01   -1.5835964E+01   -1.0092166E+01   -1.2567485E+01   -1.4646187E+01   -9.0705918E+00   -9.4392408E+00   -1.3547970E+01   -9.0193628E+00
    6.5000000E-01    5.5700635E+00   -5.5652773E+00   -4.7775664E+00   -5.3300945E+00   -4.7747566E+00   -5.1243072E+00   -7.5441602E+00   -1.6325566E+01   -6.6287834E+00   -7.7411673E+00   -8.8398975E+00   -4.8792697E+00   -3.5486620E+00   -3.8090812E+00   -4.4075121E+00   -8.1275524E+00   -1.0224858E+01   -7.5005739E+00   -4.4657301E+00   -1.6679671E+01   -8.9189717E+00   -9.3062691E+00   -9.5210921E+00   -1.1398657E+01   -1.4224919E+01   -1.5842298E+01   -1.0016794E+01   -1.2485666E+01   -1.4608254E+01   -9.0711176E+00   -9.4029244E+00   -1.3473591E+01   -8.9444583E+00
    7.5000000E-01    5.5722185E+00   -5.5673124E+00   -4.7537239E+00   -5.3041650E+00   -4.7533275E+00   -5.1004698E+00   -7.5808627E+00   -1.6304438E+01   -6.5662619E+00   -7.7205998E+00   -8.8196246E+00   -4.8482043E+00   -3.5277814E+00   -3.7879539E+00   -4.3863849E+00   -8.1609011E+00   -1.0253896E+01   -7.5357074E+00   -4.4425704E+00   -1.6643800E+01   -8.9502898E+00   -9.2874219E+00   -9.4877475E+00   -1.1351849E+01   -1.4196959E+01   -1.5847742E+01   -9.9720728E+00   -1.2428727E+01   -1.4582381E+01   -9.0688385E+00   -9.3772395E+00   -1.3424558E+01   -8.8977040E+00
    8.5000000E-01    5.5751472E+00   -5.5701421E+00   -4.7342298E+00   -5.2824859E+00   -4.7363899E+00   -5.0809805E+00   -7.6160160E+00   -1.6287822E+01   -6.5094373E+00   -7.7041536E+00   -8.8034786E+00   -4.8211569E+00   -3.5114955E+00   -3.7713380E+00   -4.3697690E+00   -8.1909873E+00   -1.0278125E+01   -7.5684161E+00   -4.4232530E+00   -1.6610485E+01   -8.9775500E+00   -9.2738381E+00   -9.4576686E+00   -1.1313761E+01   -1.4172455E+01   -1.5852682E+01   -9.9361686E+00   -1.2379359E+01   -1.4560061E+01   -9.0658071E+00   -9.3546872E+00   -1.3382920E+01   -8.8590976E+00
    9.5000000E-01    5.5767878E+00   -5.5716480E+00   -4.7089423E+00   -5.2554656E+00   -4.7131543E+00   -5.0556943E+00   -7.6511660E+00   -1.6264847E+01   -6.4564554E+00   -7.6815248E+00   -8.7810928E+00   -4.7899743E+00   -3.4887147E+00   -3.7483624E+00   -4.3467934E+00   -8.2239309E+00   -1.0307788E+01   -7.6025836E+00   -4.3986916E+00   -1.6575462E+01   -9.0089929E+00   -9.2526440E+00   -9.4247056E+00   -1.1264046E+01   -1.4143935E+01   -1.5857336E+01   -9.8881857E+00   -1.2321388E+01   -1.4533273E+01   -9.0640267E+00   -9.3280685E+00   -1.3331570E+01   -8.8095280E+00
