# Time          7.0000E+00
# Units: Mole component in mineral/m^3 porous medium
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -2.3014215E+04    1.4646312E+03    2.1326244E+03    1.6329382E+02    5.4219440E+02    5.8110897E+03    0.0000000E+00    2.7109720E+02    2.8223114E+01    2.2967159E+00    2.6247342E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.5000000E-01   -2.3027645E+04    1.4691834E+03    2.1348429E+03    1.6380134E+02    5.4423111E+02    5.8109313E+03    0.0000000E+00    2.7211556E+02    2.8231533E+01    2.2973252E+00    2.6260755E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.5000000E-01   -2.3041405E+04    1.4737498E+03    2.1370674E+03    1.6431046E+02    5.4627506E+02    5.8108678E+03    0.0000000E+00    2.7313753E+02    2.8240593E+01    2.2979929E+00    2.6274303E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    3.5000000E-01   -2.3055229E+04    1.4783300E+03    2.1392974E+03    1.6482111E+02    5.4832603E+02    5.8108108E+03    0.0000000E+00    2.7416301E+02    2.8249743E+01    2.2986729E+00    2.6287897E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    4.5000000E-01   -2.3069111E+04    1.4829236E+03    2.1415328E+03    1.6533325E+02    5.5038382E+02    5.8107595E+03    0.0000000E+00    2.7519191E+02    2.8258977E+01    2.2993640E+00    2.6301534E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    5.5000000E-01   -2.3083049E+04    1.4875300E+03    2.1437735E+03    1.6584683E+02    5.5244824E+02    5.8107131E+03    0.0000000E+00    2.7622412E+02    2.8268289E+01    2.3000653E+00    2.6315212E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    6.5000000E-01   -2.3097041E+04    1.4921489E+03    2.1460192E+03    1.6636180E+02    5.5451914E+02    5.8106711E+03    0.0000000E+00    2.7725957E+02    2.8277676E+01    2.3007762E+00    2.6328930E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    7.5000000E-01   -2.3111083E+04    1.4967800E+03    2.1482699E+03    1.6687813E+02    5.5659636E+02    5.8106329E+03    0.0000000E+00    2.7829818E+02    2.8287135E+01    2.3014959E+00    2.6342686E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    8.5000000E-01   -2.3125173E+04    1.5014230E+03    2.1505253E+03    1.6739579E+02    5.5867977E+02    5.8105981E+03    0.0000000E+00    2.7933988E+02    2.8296662E+01    2.3022239E+00    2.6356478E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    9.5000000E-01   -2.3139309E+04    1.5060776E+03    2.1527854E+03    1.6791473E+02    5.6076926E+02    5.8105664E+03    0.0000000E+00    2.8038463E+02    2.8306255E+01    2.3029597E+00    2.6370306E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
