# Time          1.0000E-01
# Units: Log10 mol/kgw
    Distance      pH               H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-              Al(OH)2+         AlO2-            AlOH++           HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          KOH(aq)          NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            NaCO3-           NaHCO3(aq)   
    5.0000000E-02    5.5067187E+00   -5.4999974E+00   -4.4740375E+00   -5.0461582E+00   -4.4497858E+00   -4.8206451E+00   -7.5710685E+00   -1.5998000E+01   -7.1414315E+00   -7.4218421E+00   -8.5171969E+00   -4.6525541E+00   -3.2148775E+00   -3.4815151E+00   -4.0799480E+00   -8.2965867E+00   -1.0520582E+01   -7.6002515E+00   -4.1932701E+00   -1.6571582E+01   -9.1533713E+00   -8.9173961E+00   -9.3557009E+00   -1.0791218E+01   -1.4006364E+01   -1.5838524E+01   -9.3897472E+00   -1.2020777E+01   -1.4370090E+01   -9.1324442E+00   -9.1877971E+00   -1.2962958E+01   -8.3725002E+00
    1.5000000E-01    5.5139192E+00   -5.5071927E+00   -4.4717458E+00   -5.0402170E+00   -4.4513089E+00   -4.8183770E+00   -7.6098423E+00   -1.5999975E+01   -6.8364514E+00   -7.4165774E+00   -8.5125252E+00   -4.6355921E+00   -3.2175431E+00   -3.4834901E+00   -4.0819229E+00   -8.3210006E+00   -1.0530594E+01   -7.6318498E+00   -4.1887297E+00   -1.6540197E+01   -9.1705901E+00   -8.9265770E+00   -9.3315330E+00   -1.0787263E+01   -1.3993227E+01   -1.5846256E+01   -9.3894412E+00   -1.1994328E+01   -1.4360603E+01   -9.1252383E+00   -9.1760403E+00   -1.2948930E+01   -8.3656789E+00
    2.5000000E-01    5.5209076E+00   -5.5141618E+00   -4.4675543E+00   -5.0324897E+00   -4.4508820E+00   -4.8142067E+00   -7.6488328E+00   -1.5999998E+01   -6.6587083E+00   -7.4094756E+00   -8.5059468E+00   -4.6175159E+00   -3.2182484E+00   -3.4835137E+00   -4.0819464E+00   -8.3461682E+00   -1.0541785E+01   -7.6639454E+00   -4.1824263E+00   -1.6508063E+01   -9.1887896E+00   -8.9336095E+00   -9.3064481E+00   -1.0779600E+01   -1.3978532E+01   -1.5853296E+01   -9.3853139E+00   -1.1965092E+01   -1.4349444E+01   -9.1182296E+00   -9.1626880E+00   -1.2931467E+01   -8.3552245E+00
    3.5000000E-01    5.5278357E+00   -5.5210704E+00   -4.4633718E+00   -5.0248655E+00   -4.4504314E+00   -4.8100433E+00   -7.6869737E+00   -1.5999998E+01   -6.5326732E+00   -7.4024043E+00   -8.4993395E+00   -4.6001042E+00   -3.2189343E+00   -3.4835140E+00   -4.0819466E+00   -8.3706085E+00   -1.0552369E+01   -7.6952528E+00   -4.1761637E+00   -1.6476714E+01   -9.2063224E+00   -8.9405584E+00   -9.2820879E+00   -1.0772017E+01   -1.3964001E+01   -1.5859738E+01   -9.3811728E+00   -1.1936591E+01   -1.4338354E+01   -9.1112811E+00   -9.1494364E+00   -1.2914115E+01   -8.3448203E+00
    4.5000000E-01    5.5347057E+00   -5.5279209E+00   -4.4592205E+00   -5.0173626E+00   -4.4499801E+00   -4.8059089E+00   -7.7243028E+00   -1.5999998E+01   -6.4348883E+00   -7.3953879E+00   -8.4927351E+00   -4.5833276E+00   -3.2196241E+00   -3.4835140E+00   -4.0819465E+00   -8.3943532E+00   -1.0562374E+01   -7.7258065E+00   -4.1699628E+00   -1.6446115E+01   -9.2232176E+00   -8.9474491E+00   -9.2584206E+00   -1.0764556E+01   -1.3949648E+01   -1.5865633E+01   -9.3770626E+00   -1.1908813E+01   -1.4327353E+01   -9.1043905E+00   -9.1363044E+00   -1.2896913E+01   -8.3345092E+00
    5.5000000E-01    5.5415183E+00   -5.5347139E+00   -4.4551001E+00   -5.0099772E+00   -4.4495283E+00   -4.8018033E+00   -7.7608668E+00   -1.5999998E+01   -6.3549427E+00   -7.3884282E+00   -8.4861414E+00   -4.5671408E+00   -3.2203180E+00   -3.4835140E+00   -4.0819464E+00   -8.4174481E+00   -1.0571844E+01   -7.7556528E+00   -4.1638236E+00   -1.6416221E+01   -9.2395206E+00   -8.9542823E+00   -9.2354007E+00   -1.0757212E+01   -1.3935471E+01   -1.5871023E+01   -9.3729833E+00   -1.1881714E+01   -1.4316441E+01   -9.0975574E+00   -9.1232915E+00   -1.2879861E+01   -8.3242905E+00
    6.5000000E-01    5.5482738E+00   -5.5414499E+00   -4.4510100E+00   -5.0027055E+00   -4.4490761E+00   -4.7977260E+00   -7.7967081E+00   -1.5999998E+01   -6.2872948E+00   -7.3815261E+00   -8.4795652E+00   -4.5515033E+00   -3.2210158E+00   -3.4835140E+00   -4.0819464E+00   -8.4399344E+00   -1.0580819E+01   -7.7848334E+00   -4.1577452E+00   -1.6386990E+01   -9.2552719E+00   -8.9610586E+00   -9.2129870E+00   -1.0749981E+01   -1.3921465E+01   -1.5875949E+01   -9.3689344E+00   -1.1855251E+01   -1.4305616E+01   -9.0907812E+00   -9.1103963E+00   -1.2862957E+01   -8.3141631E+00
    7.5000000E-01    5.5549731E+00   -5.5481295E+00   -4.4469497E+00   -4.9955439E+00   -4.4486234E+00   -4.7936767E+00   -7.8318654E+00   -1.5999998E+01   -6.2286411E+00   -7.3746826E+00   -8.4730120E+00   -4.5363785E+00   -3.2217175E+00   -3.4835140E+00   -4.0819463E+00   -8.4618494E+00   -1.0589336E+01   -7.8133864E+00   -4.1517270E+00   -1.6358384E+01   -9.2705083E+00   -8.9677786E+00   -9.1911424E+00   -1.0742861E+01   -1.3907625E+01   -1.5880447E+01   -9.3649153E+00   -1.1829387E+01   -1.4294877E+01   -9.0840614E+00   -9.0976177E+00   -1.2846200E+01   -8.3041258E+00
    8.5000000E-01    5.5616166E+00   -5.5547534E+00   -4.4429188E+00   -4.9884889E+00   -4.4481702E+00   -4.7896548E+00   -7.8663738E+00   -1.5999998E+01   -6.1768532E+00   -7.3678979E+00   -8.4664862E+00   -4.5217333E+00   -3.2224230E+00   -3.4835140E+00   -4.0819462E+00   -8.4832271E+00   -1.0597426E+01   -7.8413463E+00   -4.1457684E+00   -1.6330370E+01   -9.2852631E+00   -8.9744429E+00   -9.1698330E+00   -1.0735848E+01   -1.3893947E+01   -1.5884547E+01   -9.3609257E+00   -1.1804088E+01   -1.4284223E+01   -9.0773972E+00   -9.0849541E+00   -1.2829588E+01   -8.2941774E+00
    9.5000000E-01    5.5682053E+00   -5.5613225E+00   -4.4389167E+00   -4.9815374E+00   -4.4477165E+00   -4.7856599E+00   -7.9002659E+00   -1.5999998E+01   -6.1304787E+00   -7.3611721E+00   -8.4599918E+00   -4.5075376E+00   -3.2231324E+00   -3.4835140E+00   -4.0819462E+00   -8.5040983E+00   -1.0605120E+01   -7.8687447E+00   -4.1398685E+00   -1.6302914E+01   -9.2995663E+00   -8.9810524E+00   -9.1490280E+00   -1.0728938E+01   -1.3880428E+01   -1.5888281E+01   -9.3569650E+00   -1.1779322E+01   -1.4273653E+01   -9.0707880E+00   -9.0724042E+00   -1.2813118E+01   -8.2843167E+00
