# Time          1.0000E-01
# Units: Bars
    Distance        CO2(g)           O2(g)           
    5.0000000E-02    1.0031354E-02    1.8083045E-01
    1.5000000E-01    9.9699734E-03    1.8000998E-01
    2.5000000E-01    9.9537983E-03    1.8000024E-01
    3.5000000E-01    9.9380923E-03    1.8000020E-01
    4.5000000E-01    9.9223225E-03    1.8000025E-01
    5.5000000E-01    9.9064858E-03    1.8000030E-01
    6.5000000E-01    9.8905841E-03    1.8000035E-01
    7.5000000E-01    9.8746191E-03    1.8000040E-01
    8.5000000E-01    9.8585925E-03    1.8000045E-01
    9.5000000E-01    9.8425056E-03    1.8000050E-01
    1.0500000E+00    9.8263597E-03    1.8000055E-01
    1.1500000E+00    9.8101561E-03    1.8000060E-01
    1.2500000E+00    9.7938956E-03    1.8000066E-01
    1.3500000E+00    9.7775795E-03    1.8000071E-01
    1.4500000E+00    9.7612084E-03    1.8000076E-01
    1.5500000E+00    9.7447833E-03    1.8000081E-01
    1.6500000E+00    9.7283049E-03    1.8000086E-01
    1.7500000E+00    9.7117738E-03    1.8000092E-01
    1.8500000E+00    9.6951909E-03    1.8000097E-01
    1.9500000E+00    9.6785566E-03    1.8000102E-01
    2.0500000E+00    9.6618714E-03    1.8000108E-01
    2.1500000E+00    9.6451361E-03    1.8000113E-01
    2.2500000E+00    9.6283510E-03    1.8000118E-01
    2.3500000E+00    9.6115165E-03    1.8000124E-01
    2.4500000E+00    9.5946332E-03    1.8000129E-01
    2.5500000E+00    9.5777014E-03    1.8000134E-01
    2.6500000E+00    9.5607216E-03    1.8000140E-01
    2.7500000E+00    9.5436940E-03    1.8000145E-01
    2.8500000E+00    9.5266190E-03    1.8000151E-01
    2.9500000E+00    9.5094969E-03    1.8000156E-01
    3.0500000E+00    9.4923281E-03    1.8000162E-01
    3.1500000E+00    9.4751128E-03    1.8000167E-01
    3.2500000E+00    9.4578513E-03    1.8000173E-01
    3.3500000E+00    9.4405438E-03    1.8000178E-01
    3.4500000E+00    9.4231906E-03    1.8000184E-01
    3.5500000E+00    9.4057919E-03    1.8000189E-01
    3.6500000E+00    9.3883480E-03    1.8000195E-01
    3.7500000E+00    9.3708589E-03    1.8000200E-01
    3.8500000E+00    9.3533251E-03    1.8000206E-01
    3.9500000E+00    9.3357465E-03    1.8000211E-01
    4.0500000E+00    9.3181234E-03    1.8000217E-01
    4.1500000E+00    9.3004560E-03    1.8000223E-01
    4.2500000E+00    9.2827445E-03    1.8000228E-01
    4.3500000E+00    9.2649889E-03    1.8000234E-01
    4.4500000E+00    9.2471894E-03    1.8000240E-01
    4.5500000E+00    9.2293462E-03    1.8000245E-01
    4.6500000E+00    9.2114594E-03    1.8000251E-01
    4.7500000E+00    9.1935292E-03    1.8000257E-01
    4.8500000E+00    9.1755555E-03    1.8000262E-01
    4.9500000E+00    9.1575387E-03    1.8000268E-01
    5.0500000E+00    9.1394786E-03    1.8000274E-01
    5.1500000E+00    9.1213756E-03    1.8000280E-01
    5.2500000E+00    9.1032296E-03    1.8000285E-01
    5.3500000E+00    9.0850408E-03    1.8000291E-01
    5.4500000E+00    9.0668093E-03    1.8000297E-01
    5.5500000E+00    9.0485351E-03    1.8000303E-01
    5.6500000E+00    9.0302183E-03    1.8000309E-01
    5.7500000E+00    9.0118590E-03    1.8000315E-01
    5.8500000E+00    8.9934573E-03    1.8000320E-01
    5.9500000E+00    8.9750132E-03    1.8000326E-01
    6.0500000E+00    8.9565269E-03    1.8000332E-01
    6.1500000E+00    8.9379983E-03    1.8000338E-01
    6.2500000E+00    8.9194276E-03    1.8000344E-01
    6.3500000E+00    8.9008147E-03    1.8000350E-01
    6.4500000E+00    8.8821599E-03    1.8000356E-01
    6.5500000E+00    8.8634630E-03    1.8000362E-01
    6.6500000E+00    8.8447242E-03    1.8000368E-01
    6.7500000E+00    8.8259435E-03    1.8000374E-01
    6.8500000E+00    8.8071210E-03    1.8000380E-01
    6.9500000E+00    8.7882567E-03    1.8000386E-01
    7.0500000E+00    8.7693507E-03    1.8000392E-01
    7.1500000E+00    8.7504029E-03    1.8000398E-01
    7.2500000E+00    8.7314134E-03    1.8000404E-01
    7.3500000E+00    8.7123823E-03    1.8000410E-01
