# Time          3.5000E+00
# Units: Bars
    Distance        CO2(g)           O2(g)           
    5.0000000E-02    2.1459748E-02    3.8576373E-01
    1.5000000E-01    1.0238971E-02    1.8516154E-01
    2.5000000E-01    9.9419210E-03    1.8012354E-01
    3.5000000E-01    9.9194183E-03    1.8000324E-01
    4.5000000E-01    9.9034059E-03    1.8000038E-01
    5.5000000E-01    9.8874879E-03    1.8000036E-01
    6.5000000E-01    9.8715107E-03    1.8000041E-01
    7.5000000E-01    9.8554722E-03    1.8000046E-01
    8.5000000E-01    9.8393737E-03    1.8000051E-01
    9.5000000E-01    9.8232165E-03    1.8000056E-01
    1.0500000E+00    9.8070017E-03    1.8000061E-01
    1.1500000E+00    9.7907304E-03    1.8000067E-01
    1.2500000E+00    9.7744034E-03    1.8000072E-01
    1.3500000E+00    9.7580218E-03    1.8000077E-01
    1.4500000E+00    9.7415862E-03    1.8000082E-01
    1.5500000E+00    9.7250974E-03    1.8000087E-01
    1.6500000E+00    9.7085562E-03    1.8000093E-01
    1.7500000E+00    9.6919632E-03    1.8000098E-01
    1.8500000E+00    9.6753189E-03    1.8000103E-01
    1.9500000E+00    9.6586240E-03    1.8000109E-01
    2.0500000E+00    9.6418789E-03    1.8000114E-01
    2.1500000E+00    9.6250841E-03    1.8000119E-01
    2.2500000E+00    9.6082400E-03    1.8000125E-01
    2.3500000E+00    9.5913472E-03    1.8000130E-01
    2.4500000E+00    9.5744060E-03    1.8000135E-01
    2.5500000E+00    9.5574168E-03    1.8000141E-01
    2.6500000E+00    9.5403800E-03    1.8000146E-01
    2.7500000E+00    9.5232957E-03    1.8000152E-01
    2.8500000E+00    9.5061645E-03    1.8000157E-01
    2.9500000E+00    9.4889866E-03    1.8000163E-01
    3.0500000E+00    9.4717622E-03    1.8000168E-01
    3.1500000E+00    9.4544917E-03    1.8000174E-01
    3.2500000E+00    9.4371753E-03    1.8000179E-01
    3.3500000E+00    9.4198132E-03    1.8000185E-01
    3.4500000E+00    9.4024056E-03    1.8000190E-01
    3.5500000E+00    9.3849529E-03    1.8000196E-01
    3.6500000E+00    9.3674551E-03    1.8000201E-01
    3.7500000E+00    9.3499124E-03    1.8000207E-01
    3.8500000E+00    9.3323252E-03    1.8000213E-01
    3.9500000E+00    9.3146934E-03    1.8000218E-01
    4.0500000E+00    9.2970174E-03    1.8000224E-01
    4.1500000E+00    9.2792972E-03    1.8000229E-01
    4.2500000E+00    9.2615330E-03    1.8000235E-01
    4.3500000E+00    9.2437250E-03    1.8000241E-01
    4.4500000E+00    9.2258733E-03    1.8000246E-01
    4.5500000E+00    9.2079780E-03    1.8000252E-01
    4.6500000E+00    9.1900392E-03    1.8000258E-01
    4.7500000E+00    9.1720571E-03    1.8000264E-01
    4.8500000E+00    9.1540318E-03    1.8000269E-01
    4.9500000E+00    9.1359634E-03    1.8000275E-01
    5.0500000E+00    9.1178519E-03    1.8000281E-01
    5.1500000E+00    9.0996976E-03    1.8000287E-01
    5.2500000E+00    9.0815004E-03    1.8000292E-01
    5.3500000E+00    9.0632605E-03    1.8000298E-01
    5.4500000E+00    9.0449779E-03    1.8000304E-01
    5.5500000E+00    9.0266528E-03    1.8000310E-01
    5.6500000E+00    9.0082853E-03    1.8000316E-01
    5.7500000E+00    8.9898752E-03    1.8000322E-01
    5.8500000E+00    8.9714229E-03    1.8000327E-01
    5.9500000E+00    8.9529283E-03    1.8000333E-01
    6.0500000E+00    8.9343915E-03    1.8000339E-01
    6.1500000E+00    8.9158125E-03    1.8000345E-01
    6.2500000E+00    8.8971915E-03    1.8000351E-01
    6.3500000E+00    8.8785284E-03    1.8000357E-01
    6.4500000E+00    8.8598233E-03    1.8000363E-01
    6.5500000E+00    8.8410763E-03    1.8000369E-01
