# Time series at grid cell: 137   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                8.46773943590383E-05   3.32980225133703E-05   4.10504369749288E-05   3.86286800035888E-05   4.38270061377098E-10   1.00000313914820E-16   1.18643400018886E-05   1.73643912540953E-04   6.70700697755990E-04   6.16813253249758E+00   1.60565620529689E-07   1.27378216945132E-08
  2.00000E-02                8.46774423155533E-05   3.32980441581317E-05   4.10504423216709E-05   3.86287025812643E-05   4.38269131977343E-10   1.00000313914820E-16   1.18643512907284E-05   1.73644052066437E-04   6.70700700809665E-04   6.16813296644584E+00   1.60565753711464E-07   1.27378322736066E-08
  3.00000E-02                8.46775368130345E-05   3.32980868089328E-05   4.10504528573261E-05   3.86287470701308E-05   4.38267364302606E-10   1.00000313914820E-16   1.18643735351677E-05   1.73644326998824E-04   6.70700700809874E-04   6.16813381931503E+00   1.60566016142196E-07   1.27378531193934E-08
  4.00000E-02                8.46776764776068E-05   3.32981498456641E-05   4.10504684287223E-05   3.86288128233673E-05   4.38264755862560E-10   1.00000313914820E-16   1.18644064117954E-05   1.73644733341168E-04   6.70700700810208E-04   6.16813507873811E+00   1.60566404006178E-07   1.27378839287775E-08
  5.00000E-02                8.46778599760028E-05   3.32982326665812E-05   4.10504888872119E-05   3.86288992132593E-05   4.38261331497753E-10   1.00000313914820E-16   1.18644496067542E-05   1.73645267214471E-04   6.70700700810653E-04   6.16813673271289E+00   1.60566913600241E-07   1.27379244076020E-08
  6.00000E-02                8.46780860143270E-05   3.32983346877034E-05   4.10505140885370E-05   3.86290056306315E-05   4.38257115321727E-10   1.00000313914820E-16   1.18645028154560E-05   1.73645924854274E-04   6.70700700811202E-04   6.16813876959122E+00   1.60567541330652E-07   1.27379742704029E-08
  7.00000E-02                8.46783533364700E-05   3.32984553420711E-05   4.10505438926884E-05   3.86291314840936E-05   4.38252130749069E-10   1.00000313914820E-16   1.18645657421410E-05   1.73646702605528E-04   6.70700700809591E-04   6.16814117806862E+00   1.60568283708152E-07   1.27380332400148E-08
  8.00000E-02                8.46786607245317E-05   3.32985940800397E-05   4.10505781638201E-05   3.86292762002629E-05   4.38246400489753E-10   1.00000313914820E-16   1.18646381002257E-05   1.73647596925715E-04   6.70700700809591E-04   6.16814394717409E+00   1.60569137351129E-07   1.27381010478238E-08
  9.00000E-02                8.46790069955871E-05   3.32987503676790E-05   4.10506167700720E-05   3.86294392222100E-05   4.38239946605014E-10   1.00000313914820E-16   1.18647196111992E-05   1.73648604372839E-04   6.70700700809591E-04   6.16814706626032E+00   1.60570098973870E-07   1.27381774328331E-08
  1.00000E-01                8.46793910019328E-05   3.32989236869715E-05   4.10506595834851E-05   3.86296200095935E-05   4.38232790504577E-10   1.00000313914820E-16   1.18648100048910E-05   1.73649721607736E-04   6.70700700809592E-04   6.16815052499411E+00   1.60571165388930E-07   1.27382621418519E-08
