# Time series at grid cell:  71   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                5.81089087330725E-05   2.09716953739374E-05   3.80882787656979E-05   2.62545125365491E-05   2.05887927900980E-09   1.00000313914785E-16   5.67725626837143E-06   9.56783546602198E-05   6.70700698710919E-04   5.89584159071508E+00   9.17172826992695E-08   7.27185150451184E-09
  2.00000E-02                5.81089510793122E-05   2.09717155263026E-05   3.80882834869408E-05   2.62545320206190E-05   2.05887200149544E-09   1.00000313914785E-16   5.67726601041111E-06   9.56784799304962E-05   6.70700700809426E-04   5.89584210239150E+00   9.17173841903040E-08   7.27185955629622E-09
  3.00000E-02                5.81090345218143E-05   2.09717552373208E-05   3.80882927900599E-05   2.62545704135884E-05   2.05885808523463E-09   1.00000313914785E-16   5.67728520690948E-06   9.56787267757396E-05   6.70700700809642E-04   5.89584310840586E+00   9.17175841708291E-08   7.27187542172547E-09
  4.00000E-02                5.81091578474220E-05   2.09718139292969E-05   3.80883065398005E-05   2.62546271572536E-05   2.05883754837512E-09   1.00000313914785E-16   5.67731357876391E-06   9.56790916063962E-05   6.70700700809986E-04   5.89584459416366E+00   9.17178797342727E-08   7.27189887020882E-09
  5.00000E-02                5.81093198788289E-05   2.09718910419658E-05   3.80883246049035E-05   2.62547017099015E-05   2.05881058661425E-09   1.00000313914785E-16   5.67735085511711E-06   9.56795709397251E-05   6.70700700810447E-04   5.89584654550048E+00   9.17182680584949E-08   7.27192967785093E-09
  6.00000E-02                5.81095194734968E-05   2.09719860316040E-05   3.80883468579857E-05   2.62547935458186E-05   2.05877738995244E-09   1.00000313914785E-16   5.67739677311156E-06   9.56801613958290E-05   6.70700700811014E-04   5.89584894866938E+00   9.17187464047613E-08   7.27196762737342E-09
  7.00000E-02                5.81097555221474E-05   2.09720983702404E-05   3.80883731754169E-05   2.62549021545929E-05   2.05873814294722E-09   1.00000313914785E-16   5.67745107739333E-06   9.56808596920676E-05   6.70700700809349E-04   5.89585179032860E+00   9.17193121135324E-08   7.27201250778078E-09
  8.00000E-02                5.81100269495294E-05   2.09722275462885E-05   3.80884034372413E-05   2.62550270414816E-05   2.05869302452024E-09   1.00000313914785E-16   5.67751352083767E-06   9.56816626494771E-05   6.70700700809351E-04   5.89585505752970E+00   9.17199626084700E-08   7.27206411467869E-09
  9.00000E-02                5.81103327110212E-05   2.09723730625620E-05   3.80884375270245E-05   2.62551677258271E-05   2.05864220859603E-09   1.00000313914785E-16   5.67758386301043E-06   9.56825671770007E-05   6.70700700809351E-04   5.89585873770592E+00   9.17206953852903E-08   7.27212224938909E-09
  1.00000E-01                5.81106717931795E-05   2.09725344367616E-05   3.80884753317761E-05   2.62553237413223E-05   2.05858586395520E-09   1.00000313914785E-16   5.67766187075804E-06   9.56835702766178E-05   6.70700700809351E-04   5.89586281866097E+00   9.17215080149128E-08   7.27218671920029E-09
  1.00000E-01                5.81106717931795E-05   2.09725344367615E-05   3.80884753317761E-05   2.62553237413223E-05   2.05858586395523E-09   1.00000313914785E-16   5.67766187075804E-06   9.56835702766178E-05   6.70700700809351E-04   5.89586280076927E+00   9.17215080149128E-08   7.27218671920029E-09
  1.00000E-01                5.81106717931795E-05   2.09725344367615E-05   3.80884753317761E-05   2.62553237413223E-05   2.05858586393050E-09   1.00000313914785E-16   5.67766187075804E-06   9.56835702766179E-05   6.70700700810275E-04   5.89586280076780E+00   9.17215080149128E-08   7.27218671920029E-09
  1.00000E-01                5.81106717931795E-05   2.09725344367615E-05   3.80884753317761E-05   2.62553237413223E-05   2.05858586395519E-09   1.00000313914785E-16   5.67766187075804E-06   9.56835702766178E-05   6.70700700809351E-04   5.89586280076780E+00   9.17215080149128E-08   7.27218671920029E-09
  1.00000E-01                5.81106717931795E-05   2.09725344367615E-05   3.80884753317761E-05   2.62553237413223E-05   2.05858586395519E-09   1.00000313914785E-16   5.67766187075804E-06   9.56835702766178E-05   6.70700700809351E-04   5.89586280076780E+00   9.17215080149128E-08   7.27218671920029E-09
  1.00000E-01                5.81106717931795E-05   2.09725344367615E-05   3.80884753317761E-05   2.62553237413223E-05   2.05858586395519E-09   1.00000313914785E-16   5.67766187075804E-06   9.56835702766178E-05   6.70700700809351E-04   5.89586280076780E+00   9.17215080149128E-08   7.27218671920029E-09
  1.00000E-01                5.81106717931795E-05   2.09725344367615E-05   3.80884753317761E-05   2.62553237413223E-05   2.05858586395519E-09   1.00000313914785E-16   5.67766187075804E-06   9.56835702766178E-05   6.70700700809351E-04   5.89586280076780E+00   9.17215080149128E-08   7.27218671920029E-09
  1.00000E-01                5.81106717931795E-05   2.09725344367615E-05   3.80884753317761E-05   2.62553237413223E-05   2.05858586395519E-09   1.00000313914785E-16   5.67766187075804E-06   9.56835702766178E-05   6.70700700809351E-04   5.89586280076780E+00   9.17215080149128E-08   7.27218671920029E-09
  1.00000E-01                5.81106717931795E-05   2.09725344367615E-05   3.80884753317761E-05   2.62553237413223E-05   2.05858586395519E-09   1.00000313914785E-16   5.67766187075804E-06   9.56835702766178E-05   6.70700700809351E-04   5.89586280076780E+00   9.17215080149128E-08   7.27218671920029E-09
  1.00000E-01                5.81106717931795E-05   2.09725344367615E-05   3.80884753317761E-05   2.62553237413223E-05   2.05858586395519E-09   1.00000313914785E-16   5.67766187075804E-06   9.56835702766178E-05   6.70700700809351E-04   5.89586280076780E+00   9.17215080149128E-08   7.27218671920029E-09
  1.00000E-01                5.81106717931795E-05   2.09725344367615E-05   3.80884753317761E-05   2.62553237413223E-05   2.05858586395519E-09   1.00000313914785E-16   5.67766187075804E-06   9.56835702766178E-05   6.70700700809351E-04   5.89586280076780E+00   9.17215080149128E-08   7.27218671920029E-09
  1.00000E-01                5.81106717931795E-05   2.09725344367615E-05   3.80884753317761E-05   2.62553237413223E-05   2.05858586395519E-09   1.00000313914785E-16   5.67766187075804E-06   9.56835702766178E-05   6.70700700809351E-04   5.89586280076780E+00   9.17215080149128E-08   7.27218671920029E-09
  1.00000E-01                5.81106717931795E-05   2.09725344367615E-05   3.80884753317761E-05   2.62553237413223E-05   2.05858586395519E-09   1.00000313914785E-16   5.67766187075804E-06   9.56835702766178E-05   6.70700700809351E-04   5.89586280076780E+00   9.17215080149128E-08   7.27218671920029E-09
  1.00000E-01                5.81106717931795E-05   2.09725344367615E-05   3.80884753317761E-05   2.62553237413223E-05   2.05858586395519E-09   1.00000313914785E-16   5.67766187075804E-06   9.56835702766178E-05   6.70700700809351E-04   5.89586280076780E+00   9.17215080149128E-08   7.27218671920029E-09
  1.00000E-01                5.81106717931795E-05   2.09725344367615E-05   3.80884753317761E-05   2.62553237413223E-05   2.05858586395519E-09   1.00000313914785E-16   5.67766187075804E-06   9.56835702766178E-05   6.70700700809351E-04   5.89586280076780E+00   9.17215080149128E-08   7.27218671920029E-09
  1.00000E-01                5.81106717931795E-05   2.09725344367615E-05   3.80884753317761E-05   2.62553237413223E-05   2.05858586395519E-09   1.00000313914785E-16   5.67766187075804E-06   9.56835702766178E-05   6.70700700809351E-04   5.89586280076780E+00   9.17215080149128E-08   7.27218671920029E-09
  1.00000E-01                5.81106717931795E-05   2.09725344367615E-05   3.80884753317761E-05   2.62553237413223E-05   2.05858586395519E-09   1.00000313914785E-16   5.67766187075805E-06   9.56835702766178E-05   6.70700700809351E-04   5.89586280076780E+00   9.17215080149128E-08   7.27218671920029E-09
  1.00000E-01                5.81106717931795E-05   2.09725344367616E-05   3.80884753317761E-05   2.62553237413223E-05   2.05858586395518E-09   1.00000313914785E-16   5.67766187075806E-06   9.56835702766180E-05   6.70700700809351E-04   5.89586280076780E+00   9.17215080149128E-08   7.27218671920029E-09
  1.00000E-01                5.81106717931796E-05   2.09725344367616E-05   3.80884753317761E-05   2.62553237413224E-05   2.05858586395518E-09   1.00000313914785E-16   5.67766187075808E-06   9.56835702766183E-05   6.70700700809351E-04   5.89586280076780E+00   9.17215080149131E-08   7.27218671920032E-09
  1.00000E-01                5.81106717931799E-05   2.09725344367617E-05   3.80884753317761E-05   2.62553237413225E-05   2.05858586395518E-09   1.00000313914785E-16   5.67766187075812E-06   9.56835702766188E-05   6.70700700809351E-04   5.89586280076781E+00   9.17215080149134E-08   7.27218671920035E-09
  1.00000E-01                5.81106717931803E-05   2.09725344367619E-05   3.80884753317761E-05   2.62553237413226E-05   2.05858586395518E-09   1.00000313914785E-16   5.67766187075821E-06   9.56835702766200E-05   6.70700700809351E-04   5.89586280076782E+00   9.17215080149144E-08   7.27218671920042E-09
  1.00000E-01                5.81106717931810E-05   2.09725344367623E-05   3.80884753317762E-05   2.62553237413230E-05   2.05858586395516E-09   1.00000313914785E-16   5.67766187075839E-06   9.56835702766222E-05   6.70700700809351E-04   5.89586280076784E+00   9.17215080149163E-08   7.27218671920058E-09
  1.00000E-01                5.81106717931825E-05   2.09725344367630E-05   3.80884753317764E-05   2.62553237413237E-05   2.05858586395514E-09   1.00000313914785E-16   5.67766187075874E-06   9.56835702766268E-05   6.70700700809351E-04   5.89586280076787E+00   9.17215080149199E-08   7.27218671920086E-09
  1.00000E-01                5.81106717931856E-05   2.09725344367645E-05   3.80884753317767E-05   2.62553237413251E-05   2.05858586395509E-09   1.00000313914785E-16   5.67766187075945E-06   9.56835702766360E-05   6.70700700809351E-04   5.89586280076795E+00   9.17215080149274E-08   7.27218671920146E-09
  1.00000E-01                5.81106717931918E-05   2.09725344367674E-05   3.80884753317774E-05   2.62553237413280E-05   2.05858586395500E-09   1.00000313914785E-16   5.67766187076087E-06   9.56835702766542E-05   6.70700700809351E-04   5.89586280076810E+00   9.17215080149421E-08   7.27218671920262E-09
  1.00000E-01                5.81106717932041E-05   2.09725344367733E-05   3.80884753317788E-05   2.62553237413336E-05   2.05858586395480E-09   1.00000313914785E-16   5.67766187076370E-06   9.56835702766908E-05   6.70700700809352E-04   5.89586280076839E+00   9.17215080149717E-08   7.27218671920497E-09
  1.00000E-01                5.81106717932288E-05   2.09725344367850E-05   3.80884753317815E-05   2.62553237413450E-05   2.05858586395439E-09   1.00000313914785E-16   5.67766187076938E-06   9.56835702767637E-05   6.70700700809352E-04   5.89586280076899E+00   9.17215080150307E-08   7.27218671920967E-09
  1.00000E-01                5.81106717932782E-05   2.09725344368085E-05   3.80884753317870E-05   2.62553237413677E-05   2.05858586395361E-09   1.00000313914785E-16   5.67766187078073E-06   9.56835702769095E-05   6.70700700809353E-04   5.89586280077018E+00   9.17215080151490E-08   7.27218671921905E-09
  1.00000E-01                5.81106717933768E-05   2.09725344368554E-05   3.80884753317981E-05   2.62553237414131E-05   2.05858586395202E-09   1.00000313914785E-16   5.67766187080342E-06   9.56835702772014E-05   6.70700700809354E-04   5.89586280077256E+00   9.17215080153856E-08   7.27218671923781E-09
  1.00000E-01                5.81106717935740E-05   2.09725344369493E-05   3.80884753318200E-05   2.62553237415038E-05   2.05858586394888E-09   1.00000313914785E-16   5.67766187084881E-06   9.56835702777850E-05   6.70700700809357E-04   5.89586280077731E+00   9.17215080158584E-08   7.27218671927532E-09
  1.00000E-01                5.81106717939686E-05   2.09725344371371E-05   3.80884753318640E-05   2.62553237416853E-05   2.05858586394254E-09   1.00000313914785E-16   5.67766187093958E-06   9.56835702789523E-05   6.70700700809364E-04   5.89586280078683E+00   9.17215080168044E-08   7.27218671935037E-09
  1.00000E-01                5.81106717947577E-05   2.09725344375126E-05   3.80884753319520E-05   2.62553237420484E-05   2.05858586392987E-09   1.00000313914785E-16   5.67766187112112E-06   9.56835702812869E-05   6.70700700809378E-04   5.89586280080586E+00   9.17215080186963E-08   7.27218671950048E-09
  1.00000E-01                5.81106717963359E-05   2.09725344382637E-05   3.80884753321280E-05   2.62553237427746E-05   2.05858586390437E-09   1.00000313914785E-16   5.67766187148420E-06   9.56835702859559E-05   6.70700700809403E-04   5.89586280084392E+00   9.17215080224802E-08   7.27218671980067E-09
  1.00000E-01                5.81106717994924E-05   2.09725344397660E-05   3.80884753324799E-05   2.62553237442269E-05   2.05858586385294E-09   1.00000313914785E-16   5.67766187221036E-06   9.56835702952941E-05   6.70700700809456E-04   5.89586280092004E+00   9.17215080300480E-08   7.27218672040105E-09
  1.00001E-01                5.81106718058054E-05   2.09725344427704E-05   3.80884753331837E-05   2.62553237471316E-05   2.05858586374822E-09   1.00000313914785E-16   5.67766187366268E-06   9.56835703139705E-05   6.70700700809561E-04   5.89586280107227E+00   9.17215080451832E-08   7.27218672160180E-09
  1.00001E-01                5.81106718184312E-05   2.09725344487792E-05   3.80884753345914E-05   2.62553237529409E-05   2.05858586353143E-09   1.00000313914785E-16   5.67766187656732E-06   9.56835703513232E-05   6.70700700809770E-04   5.89586280137675E+00   9.17215080754537E-08   7.27218672400334E-09
  1.00003E-01                5.81106718436830E-05   2.09725344607969E-05   3.80884753374068E-05   2.62553237645595E-05   2.05858586306862E-09   1.00000313914785E-16   5.67766188237664E-06   9.56835704260288E-05   6.70700700810190E-04   5.89586280198570E+00   9.17215081359946E-08   7.27218672880640E-09
  1.00005E-01                5.81106719951959E-05   2.09725345329041E-05   3.80884753542992E-05   2.62553238342724E-05   2.05858585958982E-09   1.00000313914785E-16   5.67766191723305E-06   9.56835708742679E-05   6.70700700809351E-04   5.89586280320361E+00   9.17215084992408E-08   7.27218675762478E-09
  1.00011E-01                5.81106721972185E-05   2.09725346290495E-05   3.80884753768230E-05   2.62553239272253E-05   2.05858585294259E-09   1.00000313914785E-16   5.67766196370953E-06   9.56835714719341E-05   6.70700700809350E-04   5.89586280563948E+00   9.17215089835698E-08   7.27218679604931E-09
  1.00022E-01                5.81106726012827E-05   2.09725348213495E-05   3.80884754218727E-05   2.62553241131399E-05   2.05858583366615E-09   1.00000313914785E-16   5.67766205666682E-06   9.56835726673163E-05   6.70700700809350E-04   5.89586281051140E+00   9.17215099522354E-08   7.27218687289890E-09
  1.00044E-01                5.81106734094864E-05   2.09725352059853E-05   3.80884755119805E-05   2.62553244850037E-05   2.05858577594702E-09   1.00000313914785E-16   5.67766224259874E-06   9.56835750582846E-05   6.70700700809350E-04   5.89586282025602E+00   9.17215118896275E-08   7.27218702660263E-09
  1.00087E-01                5.81106750261955E-05   2.09725359754003E-05   3.80884756922296E-05   2.62553252288702E-05   2.05858560928698E-09   1.00000313914785E-16   5.67766261453195E-06   9.56835798410620E-05   6.70700700809351E-04   5.89586283974855E+00   9.17215157648143E-08   7.27218733404127E-09
  1.00174E-01                5.81106782608195E-05   2.09725375148044E-05   3.80884760528625E-05   2.62553267171578E-05   2.05858517313655E-09   1.00000313914785E-16   5.67766335867580E-06   9.56835894100815E-05   6.70700700809351E-04   5.89586287874742E+00   9.17215235174362E-08   7.27218794909548E-09
  1.00348E-01                5.81106847348903E-05   2.09725405959077E-05   3.80884767746658E-05   2.62553296959521E-05   2.05858416268119E-09   1.00000313914785E-16   5.67766484807301E-06   9.56836085622500E-05   6.70700700809353E-04   5.89586295680241E+00   9.17215390333772E-08   7.27218918005064E-09
  1.00696E-01                5.81106977023151E-05   2.09725467672920E-05   3.80884782204223E-05   2.62553356624129E-05   2.05858202817879E-09   1.00000313914785E-16   5.67766783130374E-06   9.56836469235238E-05   6.70700700809358E-04   5.89586311314432E+00   9.17215701107782E-08   7.27219164557059E-09
  1.01392E-01                5.81107237142374E-05   2.09725591467419E-05   3.80884811205281E-05   2.62553476307959E-05   2.05857769700555E-09   1.00000313914785E-16   5.67767381549658E-06   9.56837238740314E-05   6.70700700809379E-04   5.89586342675790E+00   9.17216324499634E-08   7.27219659123780E-09
