# Time          1.0000E-01
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.2719486E-01   -4.4377800E+00   -8.6083828E+00   -3.1807346E+01    6.2079367E-03   -8.5793522E-03
    1.5000000E-01   -2.1023286E-01   -4.3909766E+00   -8.5683008E+00   -3.1407047E+01    5.9401184E-03   -8.8551772E-03
    2.5000000E-01   -1.9215655E-01   -4.3402517E+00   -8.5244138E+00   -3.1127615E+01    5.9659130E-03   -8.8364484E-03
    3.5000000E-01   -1.7474475E-01   -4.2910175E+00   -8.4817931E+00   -3.0901774E+01    5.9917306E-03   -8.8168948E-03
    4.5000000E-01   -1.5796795E-01   -4.2432299E+00   -8.4404044E+00   -3.0706052E+01    6.0182567E-03   -8.7959295E-03
    5.5000000E-01   -1.4178107E-01   -4.1967948E+00   -8.4001660E+00   -3.0529938E+01    6.0454352E-03   -8.7736938E-03
    6.5000000E-01   -1.2614348E-01   -4.1516267E+00   -8.3610037E+00   -3.0367802E+01    6.0732107E-03   -8.7503171E-03
    7.5000000E-01   -1.1101856E-01   -4.1076482E+00   -8.3228508E+00   -3.0216256E+01    6.1015379E-03   -8.7259092E-03
    8.5000000E-01   -9.6373212E-02   -4.0647890E+00   -8.2856465E+00   -3.0073097E+01    6.1303793E-03   -8.7005640E-03
    9.5000000E-01   -8.2177402E-02   -4.0229853E+00   -8.2493355E+00   -2.9936803E+01    6.1597038E-03   -8.6743617E-03
    1.0500000E+00   -6.8403824E-02   -3.9821785E+00   -8.2138677E+00   -2.9806274E+01    6.1894857E-03   -8.6473710E-03
    1.1500000E+00   -5.5027565E-02   -3.9423151E+00   -8.1791968E+00   -2.9680687E+01    6.2197036E-03   -8.6196509E-03
    1.2500000E+00   -4.2025842E-02   -3.9033460E+00   -8.1452807E+00   -2.9559405E+01    6.2503400E-03   -8.5912521E-03
    1.3500000E+00   -2.9377765E-02   -3.8652258E+00   -8.1120805E+00   -2.9441927E+01    6.2813803E-03   -8.5622181E-03
    1.4500000E+00   -1.7064133E-02   -3.8279128E+00   -8.0795604E+00   -2.9327848E+01    6.3128126E-03   -8.5325863E-03
    1.5500000E+00   -5.0672624E-03   -3.7913683E+00   -8.0476873E+00   -2.9216835E+01    6.3446271E-03   -8.5023891E-03
