# Time          7.0000E+00
# Units: Mol/kgw
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -2.0023747E-04    1.1054944E-04    2.9610340E-05    1.1686309E-04    4.9760925E-05    2.1135604E-08    3.3071595E-16    2.4220184E-07    1.2361211E-07    9.9219063E-09    7.3158055E-05    2.2181072E-03    1.0862749E-03    2.7385168E-04
    1.5000000E-01   -6.9914808E-05    3.7764757E-05    1.0374117E-05    3.8861882E-05    1.6995929E-05    4.1904255E-08    1.0962336E-16    3.3104962E-07    4.3429178E-08    3.4733929E-09    2.7651728E-05    7.3524236E-04    3.6007067E-04    9.0774403E-05
    2.5000000E-01   -6.5383563E-05    3.5012016E-05    9.7204059E-06    3.5608128E-05    1.5756136E-05    4.0676781E-08    1.0030071E-16    4.0568831E-07    4.0672770E-08    3.2488092E-09    2.6680330E-05    6.7271548E-04    3.2944935E-04    8.3054716E-05
    3.5000000E-01   -6.6218568E-05    3.5246922E-05    9.8596455E-06    3.5541921E-05    1.5861304E-05    3.7871234E-08    1.0000841E-16    4.8004896E-07    4.1218522E-08    3.2897806E-09    2.7611119E-05    6.7075497E-04    3.2848922E-04    8.2812668E-05
    4.5000000E-01   -6.7225509E-05    3.5576601E-05    1.0024082E-05    3.5576184E-05    1.6009196E-05    3.5274217E-08    1.0000052E-16    5.5458293E-07    4.1873091E-08    3.3396961E-09    2.8603873E-05    6.7070206E-04    3.2846331E-04    8.2806136E-05
    5.5000000E-01   -6.8239894E-05    3.5909512E-05    1.0189418E-05    3.5613238E-05    1.6158606E-05    3.2905670E-08    1.0000032E-16    6.2930259E-07    4.2535212E-08    3.3903991E-09    2.9600303E-05    6.7070073E-04    3.2846266E-04    8.2805972E-05
    6.5000000E-01   -6.9257197E-05    3.6243175E-05    1.0354996E-05    3.5650437E-05    1.6308417E-05    3.0741681E-08    1.0000031E-16    7.0420853E-07    4.3202011E-08    3.4416396E-09    3.0598806E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    7.5000000E-01   -7.0277244E-05    3.6577528E-05    1.0520800E-05    3.5687715E-05    1.6458602E-05    2.8760539E-08    1.0000031E-16    7.7930105E-07    4.3873307E-08    3.4933859E-09    3.1599324E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    8.5000000E-01   -7.1299977E-05    3.6912572E-05    1.0686829E-05    3.5725069E-05    1.6609161E-05    2.6943265E-08    1.0000031E-16    8.5458045E-07    4.4548999E-08    3.5456150E-09    3.2601839E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    9.5000000E-01   -7.2325351E-05    3.7248306E-05    1.0853083E-05    3.5762501E-05    1.6760094E-05    2.5273226E-08    1.0000031E-16    9.3004701E-07    4.5229002E-08    3.5983065E-09    3.3606336E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.0500000E+00   -7.3353324E-05    3.7584732E-05    1.1019563E-05    3.5800009E-05    1.6911402E-05    2.3735800E-08    1.0000031E-16    1.0057010E-06    4.5913242E-08    3.6514426E-09    3.4612804E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.1500000E+00   -7.4383860E-05    3.7921851E-05    1.1186269E-05    3.5837595E-05    1.7063085E-05    2.2318089E-08    1.0000031E-16    1.0815427E-06    4.6601653E-08    3.7050076E-09    3.5621231E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.2500000E+00   -7.5416927E-05    3.8259663E-05    1.1353202E-05    3.5875258E-05    1.7215145E-05    2.1008689E-08    1.0000031E-16    1.1575724E-06    4.7294179E-08    3.7589875E-09    3.6631608E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.3500000E+00   -7.6452499E-05    3.8598170E-05    1.1520361E-05    3.5912999E-05    1.7367581E-05    1.9797483E-08    1.0000031E-16    1.2337903E-06    4.7990772E-08    3.8133699E-09    3.7643927E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.4500000E+00   -7.7490550E-05    3.8937371E-05    1.1687747E-05    3.5950817E-05    1.7520393E-05    1.8675477E-08    1.0000031E-16    1.3101967E-06    4.8691387E-08    3.8681439E-09    3.8658183E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.5500000E+00   -7.8531060E-05    3.9277269E-05    1.1855359E-05    3.5988713E-05    1.7673584E-05    1.7634652E-08    1.0000031E-16    1.3867919E-06    4.9395986E-08    3.9232997E-09    3.9674371E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.6500000E+00   -7.9574009E-05    3.9617863E-05    1.2023199E-05    3.6026686E-05    1.7827152E-05    1.6667844E-08    1.0000031E-16    1.4635760E-06    5.0104537E-08    3.9788286E-09    4.0692488E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.7500000E+00   -8.0619381E-05    3.9959155E-05    1.2191266E-05    3.6064737E-05    1.7981099E-05    1.5768639E-08    1.0000031E-16    1.5405494E-06    5.0817010E-08    4.0347228E-09    4.1712527E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.8500000E+00   -8.1667161E-05    4.0301145E-05    1.2359561E-05    3.6102866E-05    1.8135424E-05    1.4931280E-08    1.0000031E-16    1.6177122E-06    5.1533379E-08    4.0909754E-09    4.2734485E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.9500000E+00   -8.2717336E-05    4.0643834E-05    1.2528083E-05    3.6141073E-05    1.8290130E-05    1.4150588E-08    1.0000031E-16    1.6950648E-06    5.2253621E-08    4.1475804E-09    4.3758358E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.0500000E+00   -8.3769894E-05    4.0987222E-05    1.2696833E-05    3.6179358E-05    1.8445215E-05    1.3421899E-08    1.0000031E-16    1.7726073E-06    5.2977718E-08    4.2045321E-09    4.4784143E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.1500000E+00   -8.4824826E-05    4.1331311E-05    1.2865811E-05    3.6217721E-05    1.8600680E-05    1.2741001E-08    1.0000031E-16    1.8503401E-06    5.3705652E-08    4.2618258E-09    4.5811839E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.2500000E+00   -8.5882122E-05    4.1676101E-05    1.3035017E-05    3.6256162E-05    1.8756527E-05    1.2104085E-08    1.0000031E-16    1.9282633E-06    5.4437408E-08    4.3194569E-09    4.6841442E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.3500000E+00   -8.6941774E-05    4.2021593E-05    1.3204451E-05    3.6294681E-05    1.8912754E-05    1.1507701E-08    1.0000031E-16    2.0063771E-06    5.5172973E-08    4.3774216E-09    4.7872952E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.4500000E+00   -8.8003776E-05    4.2367787E-05    1.3374114E-05    3.6333279E-05    1.9069364E-05    1.0948716E-08    1.0000031E-16    2.0846819E-06    5.5912336E-08    4.4357164E-09    4.8906366E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.5500000E+00   -8.9068122E-05    4.2714685E-05    1.3544005E-05    3.6371955E-05    1.9226356E-05    1.0424285E-08    1.0000031E-16    2.1631779E-06    5.6655488E-08    4.4943381E-09    4.9941684E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.6500000E+00   -9.0134805E-05    4.3062287E-05    1.3714125E-05    3.6410710E-05    1.9383730E-05    9.9318166E-09    1.0000031E-16    2.2418652E-06    5.7402419E-08    4.5532839E-09    5.0978905E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.7500000E+00   -9.1203822E-05    4.3410594E-05    1.3884474E-05    3.6449543E-05    1.9541488E-05    9.4689484E-09    1.0000031E-16    2.3207442E-06    5.8153123E-08    4.6125514E-09    5.2018028E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.8500000E+00   -9.2275169E-05    4.3759606E-05    1.4055051E-05    3.6488455E-05    1.9699630E-05    9.0335240E-09    1.0000031E-16    2.3998150E-06    5.8907594E-08    4.6721384E-09    5.3059053E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.9500000E+00   -9.3348841E-05    4.4109325E-05    1.4225858E-05    3.6527445E-05    1.9858156E-05    8.6235714E-09    1.0000031E-16    2.4790779E-06    5.9665827E-08    4.7320427E-09    5.4101979E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.0500000E+00   -9.4424836E-05    4.4459750E-05    1.4396894E-05    3.6566515E-05    2.0017066E-05    8.2372857E-09    1.0000031E-16    2.5585331E-06    6.0427819E-08    4.7922628E-09    5.5146807E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.1500000E+00   -9.5503151E-05    4.4810883E-05    1.4568159E-05    3.6605663E-05    2.0176362E-05    7.8730121E-09    1.0000031E-16    2.6381809E-06    6.1193567E-08    4.8527969E-09    5.6193535E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.2500000E+00   -9.6583784E-05    4.5162724E-05    1.4739653E-05    3.6644890E-05    2.0336043E-05    7.5292320E-09    1.0000031E-16    2.7180215E-06    6.1963068E-08    4.9136438E-09    5.7242165E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.3500000E+00   -9.7666733E-05    4.5515275E-05    1.4911377E-05    3.6684197E-05    2.0496110E-05    7.2045498E-09    1.0000031E-16    2.7980552E-06    6.2736321E-08    4.9748022E-09    5.8292697E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.4500000E+00   -9.8751997E-05    4.5868535E-05    1.5083330E-05    3.6723582E-05    2.0656564E-05    6.8976818E-09    1.0000031E-16    2.8782820E-06    6.3513325E-08    5.0362711E-09    5.9345130E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.5500000E+00   -9.9839574E-05    4.6222506E-05    1.5255513E-05    3.6763047E-05    2.0817405E-05    6.6074453E-09    1.0000031E-16    2.9587024E-06    6.4294079E-08    5.0980495E-09    6.0399465E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.6500000E+00   -1.0092946E-04    4.6577188E-05    1.5427926E-05    3.6802591E-05    2.0978633E-05    6.3327501E-09    1.0000031E-16    3.0393166E-06    6.5078585E-08    5.1601365E-09    6.1455703E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.7500000E+00   -1.0202167E-04    4.6932582E-05    1.5600568E-05    3.6842214E-05    2.1140249E-05    6.0725899E-09    1.0000031E-16    3.1201246E-06    6.5866842E-08    5.2225316E-09    6.2513845E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
