# Time          2.0000E+00
# Units: Weight % Mineral
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02    3.7668337E+01    2.4568238E+01    2.0425390E+01    5.7685740E+00    1.0695997E+01    8.7346505E-01
    1.5000000E-01    3.7648661E+01    2.4571236E+01    2.0478169E+01    5.7872184E+00    1.0645425E+01    8.6929022E-01
    2.5000000E-01    3.7628726E+01    2.4574077E+01    2.0530940E+01    5.8058771E+00    1.0595228E+01    8.6515154E-01
    3.5000000E-01    3.7608738E+01    2.4576894E+01    2.0583807E+01    5.8245792E+00    1.0544969E+01    8.6101235E-01
    4.5000000E-01    3.7588701E+01    2.4579690E+01    2.0636765E+01    5.8433229E+00    1.0494649E+01    8.5687225E-01
    5.5000000E-01    3.7568619E+01    2.4582464E+01    2.0689809E+01    5.8621067E+00    1.0444270E+01    8.5273092E-01
    6.5000000E-01    3.7548495E+01    2.4585218E+01    2.0742935E+01    5.8809292E+00    1.0393835E+01    8.4858811E-01
    7.5000000E-01    3.7528332E+01    2.4587952E+01    2.0796140E+01    5.8997891E+00    1.0343344E+01    8.4444363E-01
    8.5000000E-01    3.7508132E+01    2.4590667E+01    2.0849420E+01    5.9186851E+00    1.0292799E+01    8.4029729E-01
    9.5000000E-01    3.7487898E+01    2.4593363E+01    2.0902772E+01    5.9376162E+00    1.0242202E+01    8.3614895E-01
    1.0500000E+00    3.7467630E+01    2.4596041E+01    2.0956194E+01    5.9565815E+00    1.0191554E+01    8.3199849E-01
    1.1500000E+00    3.7447332E+01    2.4598702E+01    2.1009684E+01    5.9755801E+00    1.0140857E+01    8.2784582E-01
    1.2500000E+00    3.7427004E+01    2.4601344E+01    2.1063238E+01    5.9946112E+00    1.0090112E+01    8.2369083E-01
    1.3500000E+00    3.7406648E+01    2.4603970E+01    2.1116855E+01    6.0136742E+00    1.0039319E+01    8.1953346E-01
    1.4500000E+00    3.7386265E+01    2.4606579E+01    2.1170533E+01    6.0327684E+00    9.9884809E+00    8.1537363E-01
    1.5500000E+00    3.7365856E+01    2.4609171E+01    2.1224272E+01    6.0518934E+00    9.9375970E+00    8.1121129E-01
    1.6500000E+00    3.7345421E+01    2.4611746E+01    2.1278069E+01    6.0710487E+00    9.8866687E+00    8.0704638E-01
    1.7500000E+00    3.7324963E+01    2.4614305E+01    2.1331923E+01    6.0902338E+00    9.8356966E+00    8.0287885E-01
    1.8500000E+00    3.7304481E+01    2.4616847E+01    2.1385833E+01    6.1094484E+00    9.7846812E+00    7.9870867E-01
    1.9500000E+00    3.7283977E+01    2.4619373E+01    2.1439799E+01    6.1286922E+00    9.7336231E+00    7.9453578E-01
    2.0500000E+00    3.7263450E+01    2.4621883E+01    2.1493819E+01    6.1479648E+00    9.6825228E+00    7.9036015E-01
    2.1500000E+00    3.7242902E+01    2.4624376E+01    2.1547894E+01    6.1672661E+00    9.6313808E+00    7.8618175E-01
    2.2500000E+00    3.7222332E+01    2.4626853E+01    2.1602021E+01    6.1865959E+00    9.5801973E+00    7.8200055E-01
    2.3500000E+00    3.7201741E+01    2.4629314E+01    2.1656201E+01    6.2059539E+00    9.5289726E+00    7.7781652E-01
    2.4500000E+00    3.7181131E+01    2.4631759E+01    2.1710434E+01    6.2253400E+00    9.4777072E+00    7.7362964E-01
    2.5500000E+00    3.7160499E+01    2.4634188E+01    2.1764718E+01    6.2447540E+00    9.4264012E+00    7.6943987E-01
    2.6500000E+00    3.7139849E+01    2.4636600E+01    2.1819054E+01    6.2641958E+00    9.3750548E+00    7.6524721E-01
    2.7500000E+00    3.7119178E+01    2.4638996E+01    2.1873440E+01    6.2836653E+00    9.3236684E+00    7.6105163E-01
