# Time          2.0000E+00
# Units: M^2 mineral/m^3 porous medium
    Distance        Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02    4.9999986E+01    2.7575658E+02    6.8455940E+02    2.0412208E+02    2.3017087E+05    1.8758658E+04
    1.5000000E-01    4.9999988E+01    2.7587508E+02    6.8597695E+02    2.0463288E+02    2.2952479E+05    1.8705358E+04
    2.5000000E-01    4.9999989E+01    2.7599378E+02    6.8739748E+02    2.0514487E+02    2.2888357E+05    1.8652531E+04
    3.5000000E-01    4.9999991E+01    2.7611266E+02    6.8882083E+02    2.0565797E+02    2.2824008E+05    1.8599583E+04
    4.5000000E-01    4.9999992E+01    2.7623171E+02    6.9024684E+02    2.0617213E+02    2.2759432E+05    1.8546506E+04
    5.5000000E-01    4.9999993E+01    2.7635093E+02    6.9167537E+02    2.0668731E+02    2.2694628E+05    1.8493293E+04
    6.5000000E-01    4.9999994E+01    2.7647030E+02    6.9310630E+02    2.0720346E+02    2.2629596E+05    1.8439939E+04
    7.5000000E-01    4.9999996E+01    2.7658982E+02    6.9453953E+02    2.0772054E+02    2.2564336E+05    1.8386438E+04
    8.5000000E-01    4.9999996E+01    2.7670947E+02    6.9597494E+02    2.0823851E+02    2.2498847E+05    1.8332787E+04
    9.5000000E-01    4.9999997E+01    2.7682926E+02    6.9741246E+02    2.0875735E+02    2.2433130E+05    1.8278981E+04
    1.0500000E+00    4.9999998E+01    2.7694918E+02    6.9885199E+02    2.0927703E+02    2.2367183E+05    1.8225017E+04
    1.1500000E+00    4.9999999E+01    2.7706922E+02    7.0029348E+02    2.0979752E+02    2.2301008E+05    1.8170893E+04
    1.2500000E+00    4.9999999E+01    2.7718938E+02    7.0173686E+02    2.1031880E+02    2.2234603E+05    1.8116604E+04
    1.3500000E+00    5.0000000E+01    2.7730965E+02    7.0318207E+02    2.1084084E+02    2.2167968E+05    1.8062149E+04
    1.4500000E+00    5.0000000E+01    2.7743003E+02    7.0462907E+02    2.1136365E+02    2.2101103E+05    1.8007524E+04
    1.5500000E+00    5.0000000E+01    2.7755052E+02    7.0607781E+02    2.1188719E+02    2.2034006E+05    1.7952728E+04
    1.6500000E+00    5.0000000E+01    2.7767112E+02    7.0752826E+02    2.1241145E+02    2.1966678E+05    1.7897758E+04
    1.7500000E+00    5.0000000E+01    2.7779181E+02    7.0898038E+02    2.1293643E+02    2.1899116E+05    1.7842612E+04
    1.8500000E+00    5.0000000E+01    2.7791260E+02    7.1043415E+02    2.1346212E+02    2.1831321E+05    1.7787288E+04
    1.9500000E+00    5.0000000E+01    2.7803349E+02    7.1188955E+02    2.1398850E+02    2.1763291E+05    1.7731784E+04
    2.0500000E+00    5.0000000E+01    2.7815448E+02    7.1334654E+02    2.1451556E+02    2.1695025E+05    1.7676098E+04
    2.1500000E+00    5.0000000E+01    2.7827555E+02    7.1480513E+02    2.1504331E+02    2.1626522E+05    1.7620228E+04
    2.2500000E+00    5.0000000E+01    2.7839672E+02    7.1626528E+02    2.1557174E+02    2.1557780E+05    1.7564172E+04
    2.3500000E+00    5.0000000E+01    2.7851798E+02    7.1772699E+02    2.1610084E+02    2.1488798E+05    1.7507929E+04
    2.4500000E+00    5.0000000E+01    2.7863932E+02    7.1919025E+02    2.1663061E+02    2.1419576E+05    1.7451496E+04
    2.5500000E+00    5.0000000E+01    2.7876075E+02    7.2065504E+02    2.1716105E+02    2.1350110E+05    1.7394871E+04
    2.6500000E+00    5.0000000E+01    2.7888227E+02    7.2212136E+02    2.1769214E+02    2.1280401E+05    1.7338054E+04
    2.7500000E+00    5.0000000E+01    2.7900387E+02    7.2358921E+02    2.1822390E+02    2.1210446E+05    1.7281042E+04
    2.8500000E+00    5.0000000E+01    2.7912555E+02    7.2505857E+02    2.1875632E+02    2.1140244E+05    1.7223833E+04
    2.9500000E+00    5.0000000E+01    2.7924732E+02    7.2652945E+02    2.1928939E+02    2.1069793E+05    1.7166426E+04
    3.0500000E+00    5.0000000E+01    2.7936917E+02    7.2800183E+02    2.1982312E+02    2.0999092E+05    1.7108819E+04
    3.1500000E+00    5.0000000E+01    2.7949110E+02    7.2947572E+02    2.2035750E+02    2.0928139E+05    1.7051011E+04
    3.2500000E+00    5.0000000E+01    2.7961311E+02    7.3095111E+02    2.2089253E+02    2.0856933E+05    1.6992999E+04
    3.3500000E+00    5.0000000E+01    2.7973519E+02    7.3242800E+02    2.2142822E+02    2.0785471E+05    1.6934783E+04
    3.4500000E+00    5.0000000E+01    2.7985736E+02    7.3390639E+02    2.2196456E+02    2.0713753E+05    1.6876360E+04
    3.5500000E+00    5.0000000E+01    2.7997960E+02    7.3538628E+02    2.2250155E+02    2.0641775E+05    1.6817729E+04
    3.6500000E+00    5.0000000E+01    2.8010192E+02    7.3686767E+02    2.2303920E+02    2.0569537E+05    1.6758888E+04
    3.7500000E+00    5.0000000E+01    2.8022431E+02    7.3835055E+02    2.2357749E+02    2.0497037E+05    1.6699835E+04
    3.8500000E+00    5.0000000E+01    2.8034678E+02    7.3983493E+02    2.2411643E+02    2.0424274E+05    1.6640570E+04
    3.9500000E+00    5.0000000E+01    2.8046932E+02    7.4132080E+02    2.2465603E+02    2.0351244E+05    1.6581089E+04
    4.0500000E+00    5.0000000E+01    2.8059194E+02    7.4280816E+02    2.2519627E+02    2.0277947E+05    1.6521392E+04
