# Time          2.0000E+00
# Units: Log10 mol/kgw
    Distance      pH               H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-              Al(OH)2+         AlO2-            AlOH++           HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          KOH(aq)          NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            NaCO3-           NaHCO3(aq)   
    5.0000000E-02    5.4854048E+00   -5.4740884E+00   -3.9918005E+00   -4.5637184E+00   -3.9675332E+00   -4.3382958E+00   -7.9518216E+00   -1.5515758E+01   -6.6480256E+00   -6.9430240E+00   -8.0384902E+00   -4.1708062E+00   -2.7311086E+00   -2.9992739E+00   -3.5977113E+00   -8.7565648E+00   -1.1023188E+01   -8.0243463E+00   -3.7258946E+00   -1.6112853E+01   -9.6395840E+00   -8.4188265E+00   -8.8903464E+00   -9.8364640E+00   -1.3550219E+01   -1.5868694E+01   -8.4351353E+00   -1.1082987E+01   -1.3914088E+01   -9.1488473E+00   -8.7271663E+00   -1.2039540E+01   -7.4326891E+00
    1.5000000E-01    5.5094476E+00   -5.5008971E+00   -4.2480915E+00   -4.8131996E+00   -4.2311521E+00   -4.5947064E+00   -7.8182102E+00   -1.5780241E+01   -6.4480309E+00   -7.1922728E+00   -8.2887176E+00   -4.3993857E+00   -2.9975665E+00   -3.2637563E+00   -3.8621905E+00   -8.5528486E+00   -1.0771386E+01   -7.8534928E+00   -3.9712925E+00   -1.6305229E+01   -9.4088420E+00   -8.7043252E+00   -9.0978660E+00   -1.0344404E+01   -1.3772634E+01   -1.5867244E+01   -8.9499260E+00   -1.1540858E+01   -1.4143353E+01   -9.1277807E+00   -8.9573412E+00   -1.2514230E+01   -7.9284390E+00
    2.5000000E-01    5.5352370E+00   -5.5281159E+00   -4.4135702E+00   -4.9702880E+00   -4.4058820E+00   -4.7602668E+00   -7.7740935E+00   -1.5956092E+01   -6.3554715E+00   -7.3490934E+00   -8.4466139E+00   -4.5325879E+00   -3.1758072E+00   -3.4396073E+00   -4.0380401E+00   -8.4457623E+00   -1.0612721E+01   -7.7766944E+00   -4.1252602E+00   -1.6392899E+01   -9.2744497E+00   -8.9044316E+00   -9.2067953E+00   -1.0674288E+01   -1.3902400E+01   -1.5871035E+01   -9.2882156E+00   -1.1812244E+01   -1.4281526E+01   -9.1035053E+00   -9.0900180E+00   -1.2806381E+01   -8.2448628E+00
    3.5000000E-01    5.5475443E+00   -5.5406848E+00   -4.4462318E+00   -4.9981064E+00   -4.4440515E+00   -4.7929578E+00   -7.7983079E+00   -1.5994943E+01   -6.2866906E+00   -7.3771283E+00   -8.4751848E+00   -4.5474804E+00   -3.2158888E+00   -3.4784587E+00   -4.0768912E+00   -8.4432769E+00   -1.0585621E+01   -7.7873351E+00   -4.1533103E+00   -1.6384277E+01   -9.2593813E+00   -8.9553117E+00   -9.2096562E+00   -1.0740402E+01   -1.3917633E+01   -1.5876047E+01   -9.3591761E+00   -1.1847217E+01   -1.4301604E+01   -9.0914734E+00   -9.1065797E+00   -1.2854511E+01   -8.3050249E+00
    4.5000000E-01    5.5549890E+00   -5.5481422E+00   -4.4464946E+00   -4.9950350E+00   -4.4481908E+00   -4.7932335E+00   -7.8324791E+00   -1.5999569E+01   -6.2280276E+00   -7.3743589E+00   -8.4727291E+00   -4.5358324E+00   -3.2212898E+00   -3.4830843E+00   -4.0815166E+00   -8.4624571E+00   -1.0589911E+01   -7.8139999E+00   -4.1512800E+00   -1.6357793E+01   -9.2711035E+00   -8.9673683E+00   -9.1905769E+00   -1.0741929E+01   -1.3907103E+01   -1.5880574E+01   -9.3640375E+00   -1.1828374E+01   -1.4294409E+01   -9.0840420E+00   -9.0971445E+00   -1.2845286E+01   -8.3032306E+00
    5.5000000E-01    5.5617018E+00   -5.5548381E+00   -4.4428342E+00   -4.9883296E+00   -4.4481342E+00   -4.7895821E+00   -7.8669205E+00   -1.5999969E+01   -6.1763012E+00   -7.3679197E+00   -8.4665469E+00   -4.5214839E+00   -3.2224024E+00   -3.4834842E+00   -4.0819165E+00   -8.4836074E+00   -1.0597636E+01   -7.8418102E+00   -4.1456621E+00   -1.6329948E+01   -9.2855587E+00   -8.9744988E+00   -9.1694979E+00   -1.0735660E+01   -1.3893703E+01   -1.5884674E+01   -9.3608124E+00   -1.1803669E+01   -1.4284054E+01   -9.0773116E+00   -9.0847611E+00   -1.2829312E+01   -8.2939876E+00
    6.5000000E-01    5.5682950E+00   -5.5614119E+00   -4.4388582E+00   -4.9814040E+00   -4.4477083E+00   -4.7856132E+00   -7.9008017E+00   -1.5999997E+01   -6.1299805E+00   -7.3612168E+00   -8.4600712E+00   -4.5073146E+00   -3.2231404E+00   -3.4835122E+00   -4.0819444E+00   -8.5044570E+00   -1.0605299E+01   -7.8691923E+00   -4.1397864E+00   -1.6302511E+01   -9.2998356E+00   -8.9811406E+00   -9.1487150E+00   -1.0728803E+01   -1.3880205E+01   -1.5888402E+01   -9.3569054E+00   -1.1778951E+01   -1.4273505E+01   -9.0706980E+00   -9.0722315E+00   -1.2812888E+01   -8.2841768E+00
    7.5000000E-01    5.5748291E+00   -5.5679264E+00   -4.4348865E+00   -4.9745561E+00   -4.4472559E+00   -4.7816467E+00   -7.9340990E+00   -1.5999998E+01   -6.0880284E+00   -7.3545503E+00   -8.4536077E+00   -4.4935488E+00   -3.2238553E+00   -3.4835139E+00   -4.0819460E+00   -8.5248424E+00   -1.0612617E+01   -7.8960504E+00   -4.1339465E+00   -1.6275594E+01   -9.3137075E+00   -8.9876972E+00   -9.1283943E+00   -1.0721998E+01   -1.3866844E+01   -1.5891789E+01   -9.3529766E+00   -1.1754700E+01   -1.4263020E+01   -9.0641432E+00   -9.0597961E+00   -1.2796562E+01   -8.2744063E+00
    8.5000000E-01    5.5813096E+00   -5.5743873E+00   -4.4309412E+00   -4.9678041E+00   -4.4468014E+00   -4.7777049E+00   -7.9668375E+00   -1.5999998E+01   -6.0496832E+00   -7.3479411E+00   -8.4471803E+00   -4.4801787E+00   -3.2245723E+00   -3.4835140E+00   -4.0819461E+00   -8.5447764E+00   -1.0619589E+01   -7.9224035E+00   -4.1281623E+00   -1.6249181E+01   -9.3271817E+00   -8.9941987E+00   -9.1085231E+00   -1.0715288E+01   -1.3853632E+01   -1.5894858E+01   -9.3490729E+00   -1.1730925E+01   -1.4252615E+01   -9.0576420E+00   -9.0474699E+00   -1.2780373E+01   -8.2647181E+00
    9.5000000E-01    5.5877376E+00   -5.5807956E+00   -4.4270234E+00   -4.9611465E+00   -4.4463464E+00   -4.7737888E+00   -7.9990424E+00   -1.5999998E+01   -6.0143665E+00   -7.3413902E+00   -8.4407923E+00   -4.4671828E+00   -3.2252929E+00   -3.4835140E+00   -4.0819460E+00   -8.5642820E+00   -1.0626239E+01   -7.9482756E+00   -4.1224343E+00   -1.6223246E+01   -9.3402799E+00   -9.0006475E+00   -9.0890785E+00   -1.0708672E+01   -1.3840567E+01   -1.5897631E+01   -9.3451964E+00   -1.1707604E+01   -1.4242290E+01   -9.0511933E+00   -9.0352524E+00   -1.2764320E+01   -8.2551135E+00
