# Time series at grid cell:   6   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                3.59107712899781E-05   1.01900447787922E-05   3.56133784253451E-05   1.61591704179494E-05   3.28971187676322E-08   1.00000318789424E-16   6.29584845912105E-07   2.96040741081951E-05   6.70700733503481E-04   5.55844673156617E+00   4.25376985409296E-08   3.39058940945338E-09
  2.00000E-02                3.59120304877869E-05   1.01906712091417E-05   3.56135188224110E-05   1.61597349305528E-05   3.28885702822543E-08   1.00000318812560E-16   6.29867100490162E-07   2.96078450406979E-05   6.70700733658654E-04   5.55847181797805E+00   4.25401852763321E-08   3.39077973365239E-09
  3.00000E-02                3.59132896855307E-05   1.01912976394573E-05   3.56136592195026E-05   1.61602994431179E-05   3.28800247857140E-08   1.00000318835801E-16   6.30149355041309E-07   2.96116159758870E-05   6.70700733814527E-04   5.55849690338164E+00   4.25426720276326E-08   3.39097006174417E-09
  4.00000E-02                3.59145488832097E-05   1.01919240697388E-05   3.56137996166202E-05   1.61608639556448E-05   3.28714822704386E-08   1.00000318859146E-16   6.30431609565546E-07   2.96153869137547E-05   6.70700733971104E-04   5.55852198779195E+00   4.25451587947849E-08   3.39116039372374E-09
  5.00000E-02                3.59158080808240E-05   1.01925504999865E-05   3.56139400137638E-05   1.61614284681336E-05   3.28629427344825E-08   1.00000318882597E-16   6.30713864062872E-07   2.96191578542992E-05   6.70700734128387E-04   5.55854707120903E+00   4.25476455777781E-08   3.39135072958907E-09
  5.00010E-02                3.59158082065274E-05   1.01925505625219E-05   3.56139400277795E-05   1.61614285244879E-05   3.28629419226349E-08   1.00000318882599E-16   6.30713892239817E-07   2.96191582307860E-05   6.70700734128407E-04   5.55854700229798E+00   4.25476458262831E-08   3.39135074861079E-09
  5.00030E-02                3.59158084579341E-05   1.01925506875926E-05   3.56139400558106E-05   1.61614286371963E-05   3.28629402987924E-08   1.00000318882604E-16   6.30713948593713E-07   2.96191589837594E-05   6.70700734128434E-04   5.55854700729925E+00   4.25476463232924E-08   3.39135078665415E-09
  5.00070E-02                3.59158089607477E-05   1.01925509377342E-05   3.56139401118729E-05   1.61614288626133E-05   3.28629370505017E-08   1.00000318882614E-16   6.30714061301511E-07   2.96191604897057E-05   6.70700734128497E-04   5.55854701733186E+00   4.25476473173071E-08   3.39135086274058E-09
  5.00150E-02                3.59158099663748E-05   1.01925514380172E-05   3.56139402239977E-05   1.61614293134473E-05   3.28629305514870E-08   1.00000318882632E-16   6.30714286717122E-07   2.96191635015959E-05   6.70700734128622E-04   5.55854703739704E+00   4.25476493053211E-08   3.39135101491215E-09
  5.00309E-02                3.59158119776289E-05   1.01925524385833E-05   3.56139404482471E-05   1.61614302151152E-05   3.28629175438629E-08   1.00000318882670E-16   6.30714737548401E-07   2.96191695253669E-05   6.70700734128874E-04   5.55854707752725E+00   4.25476532812893E-08   3.39135131925043E-09
  5.00629E-02                3.59158160001373E-05   1.01925544397156E-05   3.56139408967459E-05   1.61614320184511E-05   3.28628914913121E-08   1.00000318882744E-16   6.30715639211204E-07   2.96191815728725E-05   6.70700734129378E-04   5.55854715778711E+00   4.25476612329927E-08   3.39135192790790E-09
  5.01268E-02                3.59158240451544E-05   1.01925584419805E-05   3.56139417937436E-05   1.61614356251230E-05   3.28628392451452E-08   1.00000318882894E-16   6.30717442537777E-07   2.96192056677459E-05   6.70700734130386E-04   5.55854731830467E+00   4.25476771355183E-08   3.39135314515066E-09
  5.02546E-02                3.59158401351901E-05   1.01925664465115E-05   3.56139435877390E-05   1.61614428384674E-05   3.28627342469577E-08   1.00000318883194E-16   6.30721049194783E-07   2.96192538570001E-05   6.70700734132408E-04   5.55854763933205E+00   4.25477089374102E-08   3.39135557937745E-09
  5.05101E-02                3.59158723152668E-05   1.01925824555781E-05   3.56139471757299E-05   1.61614572651586E-05   3.28625226068330E-08   1.00000318883794E-16   6.30728262524246E-07   2.96193502339197E-05   6.70700734136481E-04   5.55854828136160E+00   4.25477725309312E-08   3.39136044699076E-09
  5.10212E-02                3.59159366754417E-05   1.01926144737302E-05   3.56139543517120E-05   1.61614861185505E-05   3.28620948297112E-08   1.00000318884993E-16   6.30742689244972E-07   2.96195429834851E-05   6.70700734144731E-04   5.55854956535107E+00   4.25478996899140E-08   3.39137017992211E-09
  5.20435E-02                3.59160653958772E-05   1.01926785101093E-05   3.56139687036776E-05   1.61615438253727E-05   3.28612299328318E-08   1.00000318887393E-16   6.30771542933620E-07   2.96199284741850E-05   6.70700734161655E-04   5.55855213318152E+00   4.25481539496930E-08   3.39138964103698E-09
  5.40880E-02                3.59163228370916E-05   1.01928065831679E-05   3.56139974076141E-05   1.61616592391699E-05   3.28594870668398E-08   1.00000318892196E-16   6.30829251299643E-07   2.96206994462144E-05   6.70700734197191E-04   5.55855726861371E+00   4.25486623884278E-08   3.39142855673593E-09
  5.81769E-02                3.59168377172024E-05   1.01930627272678E-05   3.56140548154627E-05   1.61618900657278E-05   3.28559904759362E-08   1.00000318901820E-16   6.30944661427914E-07   2.96222413543732E-05   6.70700734257312E-04   5.55856753918545E+00   4.25496791906851E-08   3.39150638246194E-09
  6.63548E-02                3.59178674792268E-05   1.01935750170542E-05   3.56141696312005E-05   1.61623517196423E-05   3.28489934547849E-08   1.00000318921139E-16   6.31175486945912E-07   2.96253251866085E-05   6.70700734386886E-04   5.55858807975082E+00   4.25517127748157E-08   3.39166203391889E-09
  7.63548E-02                3.59191266766713E-05   1.01942014472127E-05   3.56143100284136E-05   1.61629162320309E-05   3.28404522365189E-08   1.00000318944869E-16   6.31457741372316E-07   2.96290961246523E-05   6.70700734546043E-04   5.55861317342828E+00   4.25541995399512E-08   3.39185237513084E-09
  8.63548E-02                3.59203858740517E-05   1.01948278773373E-05   3.56144504256532E-05   1.61634807443816E-05   3.28319225692797E-08   1.00000318968706E-16   6.31739995771809E-07   2.96328670739643E-05   6.70700734705917E-04   5.55863825322402E+00   4.25566863745257E-08   3.39204272462040E-09
  9.63548E-02                3.59216450713681E-05   1.01954543074282E-05   3.56145908229197E-05   1.61640452566945E-05   3.28233967316091E-08   1.00000318992651E-16   6.32022250144391E-07   2.96366380268057E-05   6.70700734866511E-04   5.55866333203646E+00   4.25591732302634E-08   3.39223307842679E-09
  1.00000E-01                3.59221040679617E-05   1.01956826507337E-05   3.56146419998655E-05   1.61642510300262E-05   3.28203115873783E-08   1.00000319001393E-16   6.32125136158963E-07   2.96380126192196E-05   6.70700734925146E-04   5.55867242833967E+00   4.25600798683291E-08   3.39230247721834E-09
  1.07290E-01                3.59230220611150E-05   1.01961393373268E-05   3.56147443537713E-05   1.61646625766697E-05   3.28140902825463E-08   1.00000319018935E-16   6.32330908173811E-07   2.96407617527520E-05   6.70700735042800E-04   5.55869073656678E+00   4.25618928240082E-08   3.39244124988934E-09
