# Time          1.0000E-01
    Distance         pH
  5.0000E-02    5.4841E+00
  1.5000E-01    5.5265E+00
  2.5000E-01    5.5383E+00
  3.5000E-01    5.5453E+00
  4.5000E-01    5.5520E+00
  5.5000E-01    5.5587E+00
  6.5000E-01    5.5653E+00
  7.5000E-01    5.5718E+00
  8.5000E-01    5.5783E+00
  9.5000E-01    5.5848E+00
  1.0500E+00    5.5912E+00
  1.1500E+00    5.5975E+00
  1.2500E+00    5.6038E+00
  1.3500E+00    5.6101E+00
  1.4500E+00    5.6163E+00
  1.5500E+00    5.6224E+00
  1.6500E+00    5.6286E+00
  1.7500E+00    5.6346E+00
  1.8500E+00    5.6406E+00
  1.9500E+00    5.6466E+00
  2.0500E+00    5.6525E+00
  2.1500E+00    5.6584E+00
  2.2500E+00    5.6642E+00
  2.3500E+00    5.6700E+00
  2.4500E+00    5.6758E+00
  2.5500E+00    5.6815E+00
  2.6500E+00    5.6872E+00
  2.7500E+00    5.6929E+00
  2.8500E+00    5.6985E+00
  2.9500E+00    5.7040E+00
  3.0500E+00    5.7096E+00
  3.1500E+00    5.7150E+00
  3.2500E+00    5.7205E+00
  3.3500E+00    5.7259E+00
  3.4500E+00    5.7313E+00
  3.5500E+00    5.7367E+00
  3.6500E+00    5.7420E+00
  3.7500E+00    5.7473E+00
  3.8500E+00    5.7526E+00
  3.9500E+00    5.7578E+00
  4.0500E+00    5.7630E+00
  4.1500E+00    5.7682E+00
  4.2500E+00    5.7733E+00
  4.3500E+00    5.7784E+00
  4.4500E+00    5.7835E+00
  4.5500E+00    5.7886E+00
  4.6500E+00    5.7936E+00
  4.7500E+00    5.7986E+00
  4.8500E+00    5.8036E+00
  4.9500E+00    5.8086E+00
  5.0500E+00    5.8135E+00
  5.1500E+00    5.8184E+00
  5.2500E+00    5.8233E+00
  5.3500E+00    5.8281E+00
  5.4500E+00    5.8330E+00
  5.5500E+00    5.8378E+00
  5.6500E+00    5.8426E+00
  5.7500E+00    5.8473E+00
  5.8500E+00    5.8521E+00
  5.9500E+00    5.8568E+00
  6.0500E+00    5.8615E+00
  6.1500E+00    5.8662E+00
  6.2500E+00    5.8708E+00
  6.3500E+00    5.8755E+00
  6.4500E+00    5.8801E+00
  6.5500E+00    5.8847E+00
  6.6500E+00    5.8893E+00
  6.7500E+00    5.8938E+00
  6.8500E+00    5.8984E+00
  6.9500E+00    5.9029E+00
  7.0500E+00    5.9074E+00
  7.1500E+00    5.9119E+00
  7.2500E+00    5.9164E+00
  7.3500E+00    5.9208E+00
  7.4500E+00    5.9253E+00
  7.5500E+00    5.9297E+00
  7.6500E+00    5.9341E+00
  7.7500E+00    5.9385E+00
  7.8500E+00    5.9429E+00
  7.9500E+00    5.9472E+00
  8.0500E+00    5.9516E+00
  8.1500E+00    5.9559E+00
  8.2500E+00    5.9602E+00
  8.3500E+00    5.9646E+00
  8.4500E+00    5.9688E+00
  8.5500E+00    5.9731E+00
  8.6500E+00    5.9774E+00
  8.7500E+00    5.9816E+00
  8.8500E+00    5.9859E+00
  8.9500E+00    5.9901E+00
  9.0500E+00    5.9943E+00
  9.1500E+00    5.9985E+00
  9.2500E+00    6.0027E+00
  9.3500E+00    6.0069E+00
  9.4500E+00    6.0110E+00
  9.5500E+00    6.0152E+00
  9.6500E+00    6.0193E+00
  9.7500E+00    6.0235E+00
  9.8500E+00    6.0276E+00
  9.9500E+00    6.0317E+00
  1.0050E+01    6.0358E+00
  1.0150E+01    6.0399E+00
  1.0250E+01    6.0440E+00
  1.0350E+01    6.0480E+00
  1.0450E+01    6.0521E+00
  1.0550E+01    6.0561E+00
  1.0650E+01    6.0602E+00
  1.0750E+01    6.0642E+00
  1.0850E+01    6.0682E+00
  1.0950E+01    6.0722E+00
  1.1050E+01    6.0763E+00
  1.1150E+01    6.0803E+00
  1.1250E+01    6.0842E+00
  1.1350E+01    6.0882E+00
  1.1450E+01    6.0922E+00
  1.1550E+01    6.0962E+00
  1.1650E+01    6.1001E+00
  1.1750E+01    6.1041E+00
  1.1850E+01    6.1080E+00
  1.1950E+01    6.1120E+00
  1.2050E+01    6.1159E+00
  1.2150E+01    6.1198E+00
  1.2250E+01    6.1237E+00
  1.2350E+01    6.1276E+00
  1.2450E+01    6.1316E+00
  1.2550E+01    6.1355E+00
  1.2650E+01    6.1393E+00
  1.2750E+01    6.1432E+00
  1.2850E+01    6.1471E+00
  1.2950E+01    6.1510E+00
  1.3050E+01    6.1549E+00
  1.3150E+01    6.1587E+00
  1.3250E+01    6.1626E+00
  1.3350E+01    6.1664E+00
  1.3450E+01    6.1703E+00
  1.3550E+01    6.1741E+00
  1.3650E+01    6.1780E+00
  1.3750E+01    6.1818E+00
  1.3850E+01    6.1857E+00
  1.3950E+01    6.1895E+00
  1.4050E+01    6.1933E+00
  1.4150E+01    6.1971E+00
  1.4250E+01    6.2010E+00
  1.4350E+01    6.2048E+00
  1.4450E+01    6.2086E+00
  1.4550E+01    6.2124E+00
  1.4650E+01    6.2162E+00
  1.4750E+01    6.2200E+00
  1.4850E+01    6.2238E+00
  1.4950E+01    6.2276E+00
  1.5050E+01    6.2314E+00
  1.5150E+01    6.2352E+00
  1.5250E+01    6.2390E+00
  1.5350E+01    6.2427E+00
  1.5450E+01    6.2465E+00
  1.5550E+01    6.2503E+00
  1.5650E+01    6.2541E+00
  1.5750E+01    6.2579E+00
  1.5850E+01    6.2616E+00
  1.5950E+01    6.2654E+00
  1.6050E+01    6.2692E+00
  1.6150E+01    6.2730E+00
  1.6250E+01    6.2767E+00
  1.6350E+01    6.2805E+00
  1.6450E+01    6.2843E+00
  1.6550E+01    6.2880E+00
  1.6650E+01    6.2918E+00
  1.6750E+01    6.2956E+00
  1.6850E+01    6.2993E+00
  1.6950E+01    6.3031E+00
  1.7050E+01    6.3069E+00
  1.7150E+01    6.3106E+00
  1.7250E+01    6.3144E+00
  1.7350E+01    6.3182E+00
  1.7450E+01    6.3219E+00
  1.7550E+01    6.3257E+00
  1.7650E+01    6.3295E+00
  1.7750E+01    6.3332E+00
  1.7850E+01    6.3370E+00
  1.7950E+01    6.3408E+00
  1.8050E+01    6.3445E+00
  1.8150E+01    6.3483E+00
  1.8250E+01    6.3521E+00
  1.8350E+01    6.3559E+00
  1.8450E+01    6.3596E+00
  1.8550E+01    6.3634E+00
  1.8650E+01    6.3672E+00
  1.8750E+01    6.3710E+00
  1.8850E+01    6.3747E+00
  1.8950E+01    6.3785E+00
  1.9050E+01    6.3823E+00
  1.9150E+01    6.3861E+00
  1.9250E+01    6.3899E+00
  1.9350E+01    6.3937E+00
  1.9450E+01    6.3975E+00
  1.9550E+01    6.4013E+00
  1.9650E+01    6.4051E+00
  1.9750E+01    6.4089E+00
  1.9850E+01    6.4129E+00
  1.9950E+01    6.4584E+00
