# Time          2.5000E+00
    Distance         pH
  5.0000E-02    5.4941E+00
  1.5000E-01    5.4996E+00
  2.5000E-01    5.5168E+00
  3.5000E-01    5.5360E+00
  4.5000E-01    5.5495E+00
  5.5000E-01    5.5583E+00
  6.5000E-01    5.5654E+00
  7.5000E-01    5.5720E+00
  8.5000E-01    5.5785E+00
  9.5000E-01    5.5850E+00
  1.0500E+00    5.5914E+00
  1.1500E+00    5.5977E+00
  1.2500E+00    5.6040E+00
  1.3500E+00    5.6103E+00
  1.4500E+00    5.6165E+00
  1.5500E+00    5.6226E+00
  1.6500E+00    5.6287E+00
  1.7500E+00    5.6348E+00
  1.8500E+00    5.6408E+00
  1.9500E+00    5.6468E+00
  2.0500E+00    5.6527E+00
  2.1500E+00    5.6586E+00
  2.2500E+00    5.6644E+00
  2.3500E+00    5.6702E+00
  2.4500E+00    5.6760E+00
  2.5500E+00    5.6817E+00
  2.6500E+00    5.6874E+00
  2.7500E+00    5.6930E+00
  2.8500E+00    5.6986E+00
  2.9500E+00    5.7042E+00
  3.0500E+00    5.7097E+00
  3.1500E+00    5.7152E+00
  3.2500E+00    5.7207E+00
  3.3500E+00    5.7261E+00
  3.4500E+00    5.7315E+00
  3.5500E+00    5.7368E+00
  3.6500E+00    5.7422E+00
  3.7500E+00    5.7475E+00
  3.8500E+00    5.7527E+00
  3.9500E+00    5.7580E+00
  4.0500E+00    5.7632E+00
  4.1500E+00    5.7683E+00
  4.2500E+00    5.7735E+00
  4.3500E+00    5.7786E+00
  4.4500E+00    5.7837E+00
  4.5500E+00    5.7887E+00
  4.6500E+00    5.7938E+00
  4.7500E+00    5.7988E+00
  4.8500E+00    5.8038E+00
  4.9500E+00    5.8087E+00
  5.0500E+00    5.8136E+00
  5.1500E+00    5.8185E+00
  5.2500E+00    5.8234E+00
  5.3500E+00    5.8283E+00
  5.4500E+00    5.8331E+00
  5.5500E+00    5.8379E+00
  5.6500E+00    5.8427E+00
  5.7500E+00    5.8475E+00
  5.8500E+00    5.8522E+00
  5.9500E+00    5.8569E+00
  6.0500E+00    5.8616E+00
  6.1500E+00    5.8663E+00
  6.2500E+00    5.8710E+00
  6.3500E+00    5.8756E+00
  6.4500E+00    5.8802E+00
  6.5500E+00    5.8848E+00
  6.6500E+00    5.8894E+00
  6.7500E+00    5.8940E+00
  6.8500E+00    5.8985E+00
  6.9500E+00    5.9030E+00
  7.0500E+00    5.9075E+00
  7.1500E+00    5.9120E+00
  7.2500E+00    5.9165E+00
  7.3500E+00    5.9210E+00
