# Time          1.0000E-01
# Units: Mol/m**3 Porous Medium/s
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02    0.0000000E+00   -4.0066128E-11   -1.6226742E-10   -3.2554258E-11    1.3135639E-10    1.0849459E-11
    1.5000000E-01   -1.3779778E-14   -4.0130387E-11   -1.6260344E-10   -3.2635724E-11    1.1695263E-10    9.6248662E-12
    2.5000000E-01   -1.5216274E-14   -4.0147950E-11   -1.6294017E-10   -3.2717377E-11    1.1710775E-10    9.6253206E-12
    3.5000000E-01   -1.3911923E-14   -4.0164990E-11   -1.6327755E-10   -3.2799209E-11    1.1728196E-10    9.6319930E-12
    4.5000000E-01   -1.2517512E-14   -4.0182016E-11   -1.6361557E-10   -3.2881210E-11    1.1745630E-10    9.6396229E-12
    5.5000000E-01   -1.1117843E-14   -4.0199043E-11   -1.6395419E-10   -3.2963372E-11    1.1763566E-10    9.6483760E-12
    6.5000000E-01   -9.7152597E-15   -4.0216068E-11   -1.6429338E-10   -3.3045690E-11    1.1781953E-10    9.6581245E-12
    7.5000000E-01   -8.3098483E-15   -4.0233089E-11   -1.6463311E-10   -3.3128156E-11    1.1800736E-10    9.6687504E-12
    8.5000000E-01   -6.9016329E-15   -4.0250103E-11   -1.6497336E-10   -3.3210765E-11    1.1819869E-10    9.6801517E-12
    9.5000000E-01   -5.4906337E-15   -4.0267109E-11   -1.6531411E-10   -3.3293512E-11    1.1839309E-10    9.6922397E-12
    1.0500000E+00   -4.0768680E-15   -4.0284103E-11   -1.6565533E-10   -3.3376392E-11    1.1859023E-10    9.7049376E-12
    1.1500000E+00   -2.6603509E-15   -4.0301085E-11   -1.6599702E-10   -3.3459402E-11    1.1878981E-10    9.7181784E-12
    1.2500000E+00   -1.2410953E-15   -4.0318051E-11   -1.6633916E-10   -3.3542537E-11    1.1899157E-10    9.7319035E-12
    1.3500000E+00    0.0000000E+00   -4.0335000E-11   -1.6668173E-10   -3.3625796E-11    1.1919528E-10    9.7460617E-12
    1.4500000E+00    0.0000000E+00   -4.0351929E-11   -1.6702473E-10   -3.3709175E-11    1.1940075E-10    9.7606079E-12
    1.5500000E+00    0.0000000E+00   -4.0368836E-11   -1.6736813E-10   -3.3792671E-11    1.1960782E-10    9.7755025E-12
    1.6500000E+00    0.0000000E+00   -4.0385720E-11   -1.6771195E-10   -3.3876283E-11    1.1981633E-10    9.7907108E-12
    1.7500000E+00    0.0000000E+00   -4.0402578E-11   -1.6805616E-10   -3.3960009E-11    1.2002616E-10    9.8062019E-12
    1.8500000E+00    0.0000000E+00   -4.0419408E-11   -1.6840076E-10   -3.4043847E-11    1.2023719E-10    9.8219486E-12
    1.9500000E+00    0.0000000E+00   -4.0436207E-11   -1.6874574E-10   -3.4127797E-11    1.2044931E-10    9.8379268E-12
    2.0500000E+00    0.0000000E+00   -4.0452974E-11   -1.6909111E-10   -3.4211856E-11    1.2066245E-10    9.8541151E-12
    2.1500000E+00    0.0000000E+00   -4.0469706E-11   -1.6943685E-10   -3.4296024E-11    1.2087652E-10    9.8704944E-12
    2.2500000E+00    0.0000000E+00   -4.0486401E-11   -1.6978296E-10   -3.4380300E-11    1.2109145E-10    9.8870477E-12
    2.3500000E+00    0.0000000E+00   -4.0503057E-11   -1.7012945E-10   -3.4464683E-11    1.2130719E-10    9.9037600E-12
    2.4500000E+00    0.0000000E+00   -4.0519672E-11   -1.7047629E-10   -3.4549173E-11    1.2152366E-10    9.9206176E-12
    2.5500000E+00    0.0000000E+00   -4.0536242E-11   -1.7082351E-10   -3.4633769E-11    1.2174083E-10    9.9376086E-12
    2.6500000E+00    0.0000000E+00   -4.0552766E-11   -1.7117108E-10   -3.4718470E-11    1.2195865E-10    9.9547220E-12
    2.7500000E+00    0.0000000E+00   -4.0569242E-11   -1.7151902E-10   -3.4803277E-11    1.2217708E-10    9.9719481E-12
    2.8500000E+00    0.0000000E+00   -4.0585666E-11   -1.7186732E-10   -3.4888189E-11    1.2239608E-10    9.9892781E-12
    2.9500000E+00    0.0000000E+00   -4.0602035E-11   -1.7221597E-10   -3.4973206E-11    1.2261562E-10    1.0006704E-11
    3.0500000E+00    0.0000000E+00   -4.0618349E-11   -1.7256498E-10   -3.5058327E-11    1.2283567E-10    1.0024219E-11
    3.1500000E+00    0.0000000E+00   -4.0634603E-11   -1.7291435E-10   -3.5143552E-11    1.2305621E-10    1.0041817E-11
    3.2500000E+00    0.0000000E+00   -4.0650795E-11   -1.7326408E-10   -3.5228882E-11    1.2327720E-10    1.0059491E-11
    3.3500000E+00    0.0000000E+00   -4.0666921E-11   -1.7361416E-10   -3.5314316E-11    1.2349863E-10    1.0077237E-11
    3.4500000E+00    0.0000000E+00   -4.0682980E-11   -1.7396460E-10   -3.5399854E-11    1.2372048E-10    1.0095050E-11
    3.5500000E+00    0.0000000E+00   -4.0698968E-11   -1.7431539E-10   -3.5485495E-11    1.2394272E-10    1.0112924E-11
    3.6500000E+00    0.0000000E+00   -4.0714882E-11   -1.7466653E-10   -3.5571241E-11    1.2416535E-10    1.0130858E-11
    3.7500000E+00    0.0000000E+00   -4.0730719E-11   -1.7501803E-10   -3.5657090E-11    1.2438834E-10    1.0148846E-11
    3.8500000E+00    0.0000000E+00   -4.0746476E-11   -1.7536989E-10   -3.5743043E-11    1.2461168E-10    1.0166886E-11
    3.9500000E+00    0.0000000E+00   -4.0762149E-11   -1.7572210E-10   -3.5829100E-11    1.2483536E-10    1.0184974E-11
    4.0500000E+00    0.0000000E+00   -4.0777735E-11   -1.7607466E-10   -3.5915260E-11    1.2505937E-10    1.0203108E-11
    4.1500000E+00    0.0000000E+00   -4.0793231E-11   -1.7642758E-10   -3.6001524E-11    1.2528369E-10    1.0221285E-11
    4.2500000E+00    0.0000000E+00   -4.0808632E-11   -1.7678085E-10   -3.6087892E-11    1.2550831E-10    1.0239504E-11
    4.3500000E+00    0.0000000E+00   -4.0823936E-11   -1.7713447E-10   -3.6174363E-11    1.2573322E-10    1.0257761E-11
    4.4500000E+00    0.0000000E+00   -4.0839139E-11   -1.7748845E-10   -3.6260938E-11    1.2595841E-10    1.0276055E-11
    4.5500000E+00    0.0000000E+00   -4.0854236E-11   -1.7784278E-10   -3.6347616E-11    1.2618388E-10    1.0294385E-11
    4.6500000E+00    0.0000000E+00   -4.0869225E-11   -1.7819747E-10   -3.6434398E-11    1.2640962E-10    1.0312748E-11
    4.7500000E+00    0.0000000E+00   -4.0884100E-11   -1.7855251E-10   -3.6521284E-11    1.2663561E-10    1.0331142E-11
    4.8500000E+00    0.0000000E+00   -4.0898858E-11   -1.7890790E-10   -3.6608273E-11    1.2686186E-10    1.0349568E-11
    4.9500000E+00    0.0000000E+00   -4.0913494E-11   -1.7926365E-10   -3.6695366E-11    1.2708835E-10    1.0368022E-11
    5.0500000E+00    0.0000000E+00   -4.0928005E-11   -1.7961975E-10   -3.6782562E-11    1.2731507E-10    1.0386505E-11
    5.1500000E+00    0.0000000E+00   -4.0942386E-11   -1.7997620E-10   -3.6869862E-11    1.2754203E-10    1.0405014E-11
    5.2500000E+00    0.0000000E+00   -4.0956632E-11   -1.8033301E-10   -3.6957266E-11    1.2776921E-10    1.0423549E-11
    5.3500000E+00    0.0000000E+00   -4.0970739E-11   -1.8069017E-10   -3.7044773E-11    1.2799661E-10    1.0442108E-11
    5.4500000E+00    0.0000000E+00   -4.0984702E-11   -1.8104768E-10   -3.7132384E-11    1.2822422E-10    1.0460691E-11
    5.5500000E+00    0.0000000E+00   -4.0998516E-11   -1.8140555E-10   -3.7220098E-11    1.2845204E-10    1.0479297E-11
    5.6500000E+00    0.0000000E+00   -4.1012177E-11   -1.8176377E-10   -3.7307916E-11    1.2868006E-10    1.0497925E-11
    5.7500000E+00    0.0000000E+00   -4.1025678E-11   -1.8212235E-10   -3.7395837E-11    1.2890827E-10    1.0516575E-11
    5.8500000E+00    0.0000000E+00   -4.1039016E-11   -1.8248128E-10   -3.7483862E-11    1.2913668E-10    1.0535244E-11
    5.9500000E+00    0.0000000E+00   -4.1052184E-11   -1.8284056E-10   -3.7571990E-11    1.2936528E-10    1.0553934E-11
    6.0500000E+00    0.0000000E+00   -4.1065177E-11   -1.8320020E-10   -3.7660222E-11    1.2959406E-10    1.0572642E-11
    6.1500000E+00    0.0000000E+00   -4.1077990E-11   -1.8356018E-10   -3.7748558E-11    1.2982302E-10    1.0591369E-11
    6.2500000E+00    0.0000000E+00   -4.1090617E-11   -1.8392053E-10   -3.7836997E-11    1.3005215E-10    1.0610113E-11
    6.3500000E+00    0.0000000E+00   -4.1103053E-11   -1.8428122E-10   -3.7925540E-11    1.3028144E-10    1.0628875E-11
    6.4500000E+00    0.0000000E+00   -4.1115290E-11   -1.8464227E-10   -3.8014186E-11    1.3051091E-10    1.0647653E-11
    6.5500000E+00    0.0000000E+00   -4.1127324E-11   -1.8500368E-10   -3.8102936E-11    1.3074053E-10    1.0666447E-11
    6.6500000E+00    0.0000000E+00   -4.1139147E-11   -1.8536544E-10   -3.8191790E-11    1.3097031E-10    1.0685256E-11
    6.7500000E+00    0.0000000E+00   -4.1150754E-11   -1.8572755E-10   -3.8280747E-11    1.3120023E-10    1.0704081E-11
    6.8500000E+00    0.0000000E+00   -4.1162138E-11   -1.8609001E-10   -3.8369807E-11    1.3143031E-10    1.0722920E-11
    6.9500000E+00    0.0000000E+00   -4.1173292E-11   -1.8645283E-10   -3.8458972E-11    1.3166053E-10    1.0741773E-11
    7.0500000E+00    0.0000000E+00   -4.1184210E-11   -1.8681600E-10   -3.8548239E-11    1.3189088E-10    1.0760639E-11
    7.1500000E+00    0.0000000E+00   -4.1194884E-11   -1.8717952E-10   -3.8637611E-11    1.3212137E-10    1.0779518E-11
    7.2500000E+00    0.0000000E+00   -4.1205308E-11   -1.8754340E-10   -3.8727086E-11    1.3235199E-10    1.0798410E-11
    7.3500000E+00    0.0000000E+00   -4.1215474E-11   -1.8790763E-10   -3.8816664E-11    1.3258273E-10    1.0817314E-11
    7.4500000E+00    0.0000000E+00   -4.1225375E-11   -1.8827222E-10   -3.8906346E-11    1.3281359E-10    1.0836229E-11
    7.5500000E+00    0.0000000E+00   -4.1235003E-11   -1.8863716E-10   -3.8996132E-11    1.3304457E-10    1.0855155E-11
    7.6500000E+00    0.0000000E+00   -4.1244350E-11   -1.8900245E-10   -3.9086021E-11    1.3327566E-10    1.0874092E-11
    7.7500000E+00    0.0000000E+00   -4.1253408E-11   -1.8936810E-10   -3.9176014E-11    1.3350686E-10    1.0893040E-11
    7.8500000E+00    0.0000000E+00   -4.1262170E-11   -1.8973410E-10   -3.9266110E-11    1.3373817E-10    1.0911997E-11
    7.9500000E+00    0.0000000E+00   -4.1270627E-11   -1.9010045E-10   -3.9356310E-11    1.3396957E-10    1.0930963E-11
    8.0500000E+00    0.0000000E+00   -4.1278770E-11   -1.9046716E-10   -3.9446613E-11    1.3420106E-10    1.0949939E-11
    8.1500000E+00    0.0000000E+00   -4.1286590E-11   -1.9083422E-10   -3.9537020E-11    1.3443264E-10    1.0968923E-11
    8.2500000E+00    0.0000000E+00   -4.1294080E-11   -1.9120163E-10   -3.9627531E-11    1.3466431E-10    1.0987915E-11
