# Time          3.5000E+00
# Units: Mol/m**3 Porous Medium/s
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.7384123E-14   -4.0115102E-11   -1.6226743E-10   -3.2554258E-11    1.0017216E-10    8.2768687E-12
    1.5000000E-01   -9.3574295E-15   -4.0129323E-11   -1.6260344E-10   -3.2635724E-11    1.2045725E-10    9.9425550E-12
    2.5000000E-01   -7.6972525E-16   -4.0143951E-11   -1.6294016E-10   -3.2717377E-11    1.1735184E-10    9.6767892E-12
    3.5000000E-01   -2.1202387E-15   -4.0161756E-11   -1.6327755E-10   -3.2799209E-11    1.1703430E-10    9.6382170E-12
    4.5000000E-01   -6.2673648E-15   -4.0180416E-11   -1.6361557E-10   -3.2881210E-11    1.1724618E-10    9.6412075E-12
    5.5000000E-01   -8.9342210E-15   -4.0198502E-11   -1.6395419E-10   -3.2963372E-11    1.1751628E-10    9.6500734E-12
    6.5000000E-01   -9.5779979E-15   -4.0216034E-11   -1.6429338E-10   -3.3045690E-11    1.1779677E-10    9.6630533E-12
    7.5000000E-01   -8.9816669E-15   -4.0233267E-11   -1.6463311E-10   -3.3128156E-11    1.1803690E-10    9.6756626E-12
    8.5000000E-01   -7.8409636E-15   -4.0250367E-11   -1.6497336E-10   -3.3210765E-11    1.1824398E-10    9.6873173E-12
    9.5000000E-01   -6.5073230E-15   -4.0267413E-11   -1.6531411E-10   -3.3293512E-11    1.1843941E-10    9.6989599E-12
    1.0500000E+00   -5.1144481E-15   -4.0284435E-11   -1.6565533E-10   -3.3376392E-11    1.1863350E-10    9.7110599E-12
    1.1500000E+00   -3.7041908E-15   -4.0301441E-11   -1.6599702E-10   -3.3459402E-11    1.1882935E-10    9.7237194E-12
    1.2500000E+00   -2.2878144E-15   -4.0318431E-11   -1.6633916E-10   -3.3542537E-11    1.1902757E-10    9.7369169E-12
    1.3500000E+00   -8.6799977E-16   -4.0335405E-11   -1.6668173E-10   -3.3625796E-11    1.1922809E-10    9.7506033E-12
    1.4500000E+00    0.0000000E+00   -4.0352360E-11   -1.6702473E-10   -3.3709175E-11    1.1943071E-10    9.7647283E-12
    1.5500000E+00    0.0000000E+00   -4.0369295E-11   -1.6736813E-10   -3.3792671E-11    1.1963523E-10    9.7792465E-12
    1.6500000E+00    0.0000000E+00   -4.0386208E-11   -1.6771195E-10   -3.3876283E-11    1.1984146E-10    9.7941177E-12
    1.7500000E+00    0.0000000E+00   -4.0403095E-11   -1.6805616E-10   -3.3960009E-11    1.2004924E-10    9.8093065E-12
    1.8500000E+00    0.0000000E+00   -4.0419956E-11   -1.6840076E-10   -3.4043847E-11    1.2025842E-10    9.8247816E-12
    1.9500000E+00    0.0000000E+00   -4.0436788E-11   -1.6874574E-10   -3.4127797E-11    1.2046889E-10    9.8405153E-12
