# Time          3.0000E+00
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.1315617E-01   -4.3979360E+00   -8.5716679E+00   -3.1720737E+01    3.8885878E-03   -1.0898867E-02
    1.5000000E-01   -4.8894105E-03   -3.7876394E+00   -8.0068109E+00   -3.0335310E+01    6.3179311E-03   -8.4752969E-03
    2.5000000E-01    1.3712561E-02   -3.7355965E+00   -7.9618588E+00   -3.0018604E+01    5.9475219E-03   -8.8526988E-03
    3.5000000E-01   -3.4530315E-02   -3.8801482E+00   -8.1009662E+00   -3.0088209E+01    5.8950827E-03   -8.9143322E-03
    4.5000000E-01   -7.7648923E-02   -4.0087804E+00   -8.2257176E+00   -3.0166648E+01    5.9348495E-03   -8.8839577E-03
    5.5000000E-01   -9.3612319E-02   -4.0565227E+00   -8.2744910E+00   -3.0140984E+01    6.0024005E-03   -8.8236392E-03
    6.5000000E-01   -9.0611499E-02   -4.0479085E+00   -8.2698763E+00   -3.0044006E+01    6.0576135E-03   -8.7733303E-03
    7.5000000E-01   -7.9858162E-02   -4.0161856E+00   -8.2431866E+00   -2.9921240E+01    6.0969329E-03   -8.7375476E-03
    8.5000000E-01   -6.6956613E-02   -3.9779106E+00   -8.2101354E+00   -2.9794266E+01    6.1291445E-03   -8.7081950E-03
    9.5000000E-01   -5.3793054E-02   -3.9386496E+00   -8.1760337E+00   -2.9669714E+01    6.1593930E-03   -8.6804205E-03
    1.0500000E+00   -4.0857816E-02   -3.8998575E+00   -8.1422784E+00   -2.9548898E+01    6.1894549E-03   -8.6525552E-03
    1.1500000E+00   -2.8246499E-02   -3.8618292E+00   -8.1091574E+00   -2.9431750E+01    6.2197983E-03   -8.6241779E-03
    1.2500000E+00   -1.5963112E-02   -3.8245903E+00   -8.0766998E+00   -2.9317953E+01    6.2505184E-03   -8.5952219E-03
    1.3500000E+00   -3.9941795E-03   -3.7881144E+00   -8.0448841E+00   -2.9207193E+01    6.2816248E-03   -8.5657004E-03
    1.4500000E+00    7.6758660E-03   -3.7523675E+00   -8.0136819E+00   -2.9099200E+01    6.3131114E-03   -8.5356388E-03
    1.5500000E+00    1.9061931E-02   -3.7173170E+00   -7.9830650E+00   -2.8993742E+01    6.3449706E-03   -8.5050617E-03
    1.6500000E+00    3.0177905E-02   -3.6829320E+00   -7.9530073E+00   -2.8890621E+01    6.3771961E-03   -8.4739907E-03
    1.7500000E+00    4.1036699E-02   -3.6491838E+00   -7.9234843E+00   -2.8789668E+01    6.4097827E-03   -8.4424441E-03
    1.8500000E+00    5.1650315E-02   -3.6160457E+00   -7.8944733E+00   -2.8690732E+01    6.4427266E-03   -8.4104376E-03
    1.9500000E+00    6.2029941E-02   -3.5834924E+00   -7.8659528E+00   -2.8593682E+01    6.4760249E-03   -8.3779847E-03
    2.0500000E+00    7.2186014E-02   -3.5515005E+00   -7.8379030E+00   -2.8498403E+01    6.5096757E-03   -8.3450966E-03
    2.1500000E+00    8.2128293E-02   -3.5200478E+00   -7.8103051E+00   -2.8404791E+01    6.5436778E-03   -8.3117827E-03
    2.2500000E+00    9.1865913E-02   -3.4891137E+00   -7.7831415E+00   -2.8312753E+01    6.5780309E-03   -8.2780509E-03
    2.3500000E+00    1.0140744E-01   -3.4586786E+00   -7.7563957E+00   -2.8222206E+01    6.6127352E-03   -8.2439074E-03
    2.4500000E+00    1.1076091E-01   -3.4287240E+00   -7.7300522E+00   -2.8133073E+01    6.6477915E-03   -8.2093575E-03
    2.5500000E+00    1.1993387E-01   -3.3992325E+00   -7.7040962E+00   -2.8045285E+01    6.6832010E-03   -8.1744050E-03
    2.6500000E+00    1.2893345E-01   -3.3701878E+00   -7.6785140E+00   -2.7958780E+01    6.7189656E-03   -8.1390530E-03
    2.7500000E+00    1.3776633E-01   -3.3415743E+00   -7.6532923E+00   -2.7873500E+01    6.7550874E-03   -8.1033035E-03
    2.8500000E+00    1.4643884E-01   -3.3133773E+00   -7.6284189E+00   -2.7789390E+01    6.7915689E-03   -8.0671578E-03
    2.9500000E+00    1.5495694E-01   -3.2855829E+00   -7.6038820E+00   -2.7706403E+01    6.8284131E-03   -8.0306163E-03
    3.0500000E+00    1.6332627E-01   -3.2581777E+00   -7.5796703E+00   -2.7624491E+01    6.8656231E-03   -7.9936789E-03
    3.1500000E+00    1.7155216E-01   -3.2311492E+00   -7.5557735E+00   -2.7543614E+01    6.9032026E-03   -7.9563447E-03
    3.2500000E+00    1.7963969E-01   -3.2044855E+00   -7.5321813E+00   -2.7463730E+01    6.9411553E-03   -7.9186125E-03
    3.3500000E+00    1.8759362E-01   -3.1781751E+00   -7.5088843E+00   -2.7384804E+01    6.9794853E-03   -7.8804805E-03
