 TITLE = "Isotope ratios" 
    Distance        Li7+            
    5.0000000E-02   -1.0253608E+01
    1.5000000E-01   -1.1436749E+01
    2.5000000E-01   -1.3222074E+01
    3.5000000E-01   -1.5103499E+01
    4.5000000E-01   -1.6395251E+01
    5.5000000E-01   -1.7192255E+01
    6.5000000E-01   -1.7775048E+01
    7.5000000E-01   -1.8265307E+01
    8.5000000E-01   -1.8698168E+01
    9.5000000E-01   -1.9084847E+01
    1.0500000E+00   -1.9431277E+01
    1.1500000E+00   -1.9742027E+01
    1.2500000E+00   -2.0021030E+01
    1.3500000E+00   -2.0271737E+01
    1.4500000E+00   -2.0497192E+01
    1.5500000E+00   -2.0700081E+01
    1.6500000E+00   -2.0882783E+01
    1.7500000E+00   -2.1047401E+01
    1.8500000E+00   -2.1195801E+01
    1.9500000E+00   -2.1329640E+01
    2.0500000E+00   -2.1450391E+01
    2.1500000E+00   -2.1559364E+01
    2.2500000E+00   -2.1657729E+01
    2.3500000E+00   -2.1746525E+01
    2.4500000E+00   -2.1826686E+01
    2.5500000E+00   -2.1899041E+01
    2.6500000E+00   -2.1964338E+01
    2.7500000E+00   -2.2023243E+01
    2.8500000E+00   -2.2076356E+01
    2.9500000E+00   -2.2124214E+01
    3.0500000E+00   -2.2167301E+01
    3.1500000E+00   -2.2206053E+01
    3.2500000E+00   -2.2240862E+01
    3.3500000E+00   -2.2272081E+01
    3.4500000E+00   -2.2300029E+01
    3.5500000E+00   -2.2324996E+01
    3.6500000E+00   -2.2347241E+01
    3.7500000E+00   -2.2367000E+01
    3.8500000E+00   -2.2384488E+01
    3.9500000E+00   -2.2399898E+01
    4.0500000E+00   -2.2413407E+01
    4.1500000E+00   -2.2425173E+01
    4.2500000E+00   -2.2435343E+01
    4.3500000E+00   -2.2444048E+01
    4.4500000E+00   -2.2451409E+01
    4.5500000E+00   -2.2457536E+01
    4.6500000E+00   -2.2462528E+01
    4.7500000E+00   -2.2466476E+01
    4.8500000E+00   -2.2469464E+01
    4.9500000E+00   -2.2471568E+01
    5.0500000E+00   -2.2472858E+01
    5.1500000E+00   -2.2473397E+01
    5.2500000E+00   -2.2473245E+01
    5.3500000E+00   -2.2472453E+01
    5.4500000E+00   -2.2471071E+01
    5.5500000E+00   -2.2469145E+01
    5.6500000E+00   -2.2466715E+01
    5.7500000E+00   -2.2463820E+01
    5.8500000E+00   -2.2460494E+01
    5.9500000E+00   -2.2456770E+01
    6.0500000E+00   -2.2452677E+01
    6.1500000E+00   -2.2448241E+01
    6.2500000E+00   -2.2443490E+01
    6.3500000E+00   -2.2438444E+01
    6.4500000E+00   -2.2433126E+01
    6.5500000E+00   -2.2427555E+01
    6.6500000E+00   -2.2421750E+01
    6.7500000E+00   -2.2415727E+01
    6.8500000E+00   -2.2409501E+01
    6.9500000E+00   -2.2403088E+01
    7.0500000E+00   -2.2396499E+01
    7.1500000E+00   -2.2389748E+01
    7.2500000E+00   -2.2382845E+01
    7.3500000E+00   -2.2375801E+01
    7.4500000E+00   -2.2368626E+01
    7.5500000E+00   -2.2361329E+01
    7.6500000E+00   -2.2353918E+01
    7.7500000E+00   -2.2346401E+01
    7.8500000E+00   -2.2338784E+01
    7.9500000E+00   -2.2331075E+01
    8.0500000E+00   -2.2323279E+01
    8.1500000E+00   -2.2315403E+01
    8.2500000E+00   -2.2307451E+01
    8.3500000E+00   -2.2299428E+01
    8.4500000E+00   -2.2291339E+01
    8.5500000E+00   -2.2283188E+01
    8.6500000E+00   -2.2274979E+01
    8.7500000E+00   -2.2266716E+01
    8.8500000E+00   -2.2258401E+01
    8.9500000E+00   -2.2250039E+01
    9.0500000E+00   -2.2241631E+01
    9.1500000E+00   -2.2233180E+01
    9.2500000E+00   -2.2224689E+01
    9.3500000E+00   -2.2216160E+01
    9.4500000E+00   -2.2207595E+01
    9.5500000E+00   -2.2198995E+01
    9.6500000E+00   -2.2190364E+01
    9.7500000E+00   -2.2181702E+01
    9.8500000E+00   -2.2173010E+01
    9.9500000E+00   -2.2164291E+01
    1.0050000E+01   -2.2155545E+01
    1.0150000E+01   -2.2146773E+01
    1.0250000E+01   -2.2137977E+01
    1.0350000E+01   -2.2129157E+01
    1.0450000E+01   -2.2120314E+01
    1.0550000E+01   -2.2111449E+01
    1.0650000E+01   -2.2102563E+01
