 TITLE = "Isotope ratios" 
    Distance        Kaolinite_Li7   
    5.0000000E-02    6.9023515E+00
    1.5000000E-01    6.8501803E+00
    2.5000000E-01    6.8040463E+00
    3.5000000E-01    6.7627914E+00
    4.5000000E-01    6.7258781E+00
    5.5000000E-01    6.6928359E+00
    6.5000000E-01    6.6632510E+00
    7.5000000E-01    6.6367595E+00
    8.5000000E-01    6.6130399E+00
    9.5000000E-01    6.5918085E+00
    1.0500000E+00    6.5728140E+00
    1.1500000E+00    6.5558335E+00
    1.2500000E+00    6.5406691E+00
    1.3500000E+00    6.5271445E+00
    1.4500000E+00    6.5151029E+00
    1.5500000E+00    6.5044040E+00
    1.6500000E+00    6.4949227E+00
    1.7500000E+00    6.4865469E+00
    1.8500000E+00    6.4791760E+00
    1.9500000E+00    6.4727198E+00
    2.0500000E+00    6.4670973E+00
    2.1500000E+00    6.4622354E+00
    2.2500000E+00    6.4580683E+00
    2.3500000E+00    6.4545367E+00
    2.4500000E+00    6.4515869E+00
    2.5500000E+00    6.4491704E+00
    2.6500000E+00    6.4472433E+00
    2.7500000E+00    6.4457656E+00
    2.8500000E+00    6.4447012E+00
    2.9500000E+00    6.4440172E+00
    3.0500000E+00    6.4436838E+00
    3.1500000E+00    6.4436736E+00
    3.2500000E+00    6.4439619E+00
    3.3500000E+00    6.4445259E+00
    3.4500000E+00    6.4453449E+00
    3.5500000E+00    6.4464000E+00
    3.6500000E+00    6.4476740E+00
    3.7500000E+00    6.4491507E+00
    3.8500000E+00    6.4508158E+00
    3.9500000E+00    6.4526559E+00
    4.0500000E+00    6.4546586E+00
    4.1500000E+00    6.4568126E+00
    4.2500000E+00    6.4591077E+00
    4.3500000E+00    6.4615340E+00
    4.4500000E+00    6.4640830E+00
    4.5500000E+00    6.4667464E+00
    4.6500000E+00    6.4695166E+00
    4.7500000E+00    6.4723868E+00
    4.8500000E+00    6.4753505E+00
    4.9500000E+00    6.4784017E+00
    5.0500000E+00    6.4815350E+00
    5.1500000E+00    6.4847453E+00
    5.2500000E+00    6.4880278E+00
    5.3500000E+00    6.4913781E+00
    5.4500000E+00    6.4947922E+00
    5.5500000E+00    6.4982662E+00
    5.6500000E+00    6.5017967E+00
    5.7500000E+00    6.5053803E+00
    5.8500000E+00    6.5090141E+00
    5.9500000E+00    6.5126952E+00
    6.0500000E+00    6.5164209E+00
    6.1500000E+00    6.5201887E+00
    6.2500000E+00    6.5239965E+00
    6.3500000E+00    6.5278420E+00
    6.4500000E+00    6.5317233E+00
    6.5500000E+00    6.5356384E+00
    6.6500000E+00    6.5395856E+00
    6.7500000E+00    6.5435634E+00
    6.8500000E+00    6.5475702E+00
    6.9500000E+00    6.5516045E+00
    7.0500000E+00    6.5556650E+00
    7.1500000E+00    6.5597506E+00
    7.2500000E+00    6.5638600E+00
    7.3500000E+00    6.5679921E+00
    7.4500000E+00    6.5721460E+00
    7.5500000E+00    6.5763207E+00
    7.6500000E+00    6.5805152E+00
    7.7500000E+00    6.5847289E+00
    7.8500000E+00    6.5889608E+00
    7.9500000E+00    6.5932103E+00
    8.0500000E+00    6.5974766E+00
    8.1500000E+00    6.6017592E+00
    8.2500000E+00    6.6060575E+00
    8.3500000E+00    6.6103709E+00
    8.4500000E+00    6.6146988E+00
    8.5500000E+00    6.6190409E+00
    8.6500000E+00    6.6233966E+00
    8.7500000E+00    6.6277655E+00
    8.8500000E+00    6.6321472E+00
    8.9500000E+00    6.6365415E+00
    9.0500000E+00    6.6409479E+00
    9.1500000E+00    6.6453660E+00
    9.2500000E+00    6.6497957E+00
    9.3500000E+00    6.6542367E+00
    9.4500000E+00    6.6586886E+00
    9.5500000E+00    6.6631514E+00
    9.6500000E+00    6.6676246E+00
    9.7500000E+00    6.6721082E+00
    9.8500000E+00    6.6766020E+00
    9.9500000E+00    6.6811057E+00
    1.0050000E+01    6.6856193E+00
    1.0150000E+01    6.6901425E+00
    1.0250000E+01    6.6946753E+00
    1.0350000E+01    6.6992176E+00
    1.0450000E+01    6.7037691E+00
    1.0550000E+01    6.7083299E+00
    1.0650000E+01    6.7128997E+00
    1.0750000E+01    6.7174786E+00
    1.0850000E+01    6.7220665E+00
    1.0950000E+01    6.7266633E+00
    1.1050000E+01    6.7312688E+00
    1.1150000E+01    6.7358831E+00
    1.1250000E+01    6.7405062E+00
    1.1350000E+01    6.7451378E+00
    1.1450000E+01    6.7497781E+00
    1.1550000E+01    6.7544269E+00
    1.1650000E+01    6.7590843E+00
    1.1750000E+01    6.7637501E+00
    1.1850000E+01    6.7684243E+00
    1.1950000E+01    6.7731070E+00
    1.2050000E+01    6.7777979E+00
    1.2150000E+01    6.7824973E+00
    1.2250000E+01    6.7872048E+00
    1.2350000E+01    6.7919207E+00
    1.2450000E+01    6.7966447E+00
    1.2550000E+01    6.8013768E+00
    1.2650000E+01    6.8061170E+00
    1.2750000E+01    6.8108652E+00
    1.2850000E+01    6.8156214E+00
    1.2950000E+01    6.8203854E+00
    1.3050000E+01    6.8251572E+00
    1.3150000E+01    6.8299368E+00
    1.3250000E+01    6.8347239E+00
    1.3350000E+01    6.8395185E+00
    1.3450000E+01    6.8443204E+00
    1.3550000E+01    6.8491296E+00
    1.3650000E+01    6.8539457E+00
    1.3750000E+01    6.8587688E+00
    1.3850000E+01    6.8635985E+00
    1.3950000E+01    6.8684346E+00
    1.4050000E+01    6.8732770E+00
    1.4150000E+01    6.8781253E+00
    1.4250000E+01    6.8829792E+00
    1.4350000E+01    6.8878384E+00
    1.4450000E+01    6.8927025E+00
    1.4550000E+01    6.8975711E+00
    1.4650000E+01    6.9024437E+00
    1.4750000E+01    6.9073199E+00
    1.4850000E+01    6.9121991E+00
    1.4950000E+01    6.9170806E+00
    1.5050000E+01    6.9219639E+00
    1.5150000E+01    6.9268480E+00
    1.5250000E+01    6.9317323E+00
    1.5350000E+01    6.9366157E+00
    1.5450000E+01    6.9414972E+00
    1.5550000E+01    6.9463757E+00
    1.5650000E+01    6.9512500E+00
    1.5750000E+01    6.9561185E+00
    1.5850000E+01    6.9609798E+00
    1.5950000E+01    6.9658322E+00
    1.6050000E+01    6.9706736E+00
    1.6150000E+01    6.9755018E+00
    1.6250000E+01    6.9803146E+00
    1.6350000E+01    6.9851091E+00
    1.6450000E+01    6.9898822E+00
    1.6550000E+01    6.9946306E+00
    1.6650000E+01    6.9993504E+00
    1.6750000E+01    7.0040372E+00
    1.6850000E+01    7.0086860E+00
    1.6950000E+01    7.0132911E+00
    1.7050000E+01    7.0178461E+00
    1.7150000E+01    7.0223435E+00
    1.7250000E+01    7.0267750E+00
    1.7350000E+01    7.0311307E+00
    1.7450000E+01    7.0353992E+00
    1.7550000E+01    7.0395672E+00
    1.7650000E+01    7.0436193E+00
    1.7750000E+01    7.0475372E+00
    1.7850000E+01    7.0512991E+00
    1.7950000E+01    7.0548793E+00
    1.8050000E+01    7.0582466E+00
    1.8150000E+01    7.0613633E+00
    1.8250000E+01    7.0641832E+00
    1.8350000E+01    7.0666494E+00
    1.8450000E+01    7.0686903E+00
    1.8550000E+01    7.0702156E+00
    1.8650000E+01    7.0711092E+00
    1.8750000E+01    7.0712191E+00
    1.8850000E+01    7.0703435E+00
    1.8950000E+01    7.0682076E+00
    1.9050000E+01    7.0644279E+00
    1.9150000E+01    7.0584531E+00
    1.9250000E+01    7.0494611E+00
    1.9350000E+01    7.0361701E+00
    1.9450000E+01    7.0164662E+00
    1.9550000E+01    6.9865992E+00
    1.9650000E+01    6.9392245E+00
    1.9750000E+01    6.8577513E+00
    1.9850000E+01    6.6951571E+00
    1.9950000E+01    6.2454582E+00
