# Time          1.0000E-01
# Units: Mol/kgw
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -2.0215471E-04    1.1160829E-04    2.9894035E-05    1.1798203E-04    5.0237535E-05    2.0965100E-08    3.3388238E-16    2.4460804E-07    1.2479409E-07    1.0016772E-08    7.3859296E-05    2.2393444E-03    1.0966755E-03    2.7647367E-04
    1.5000000E-01   -7.0104053E-05    3.7861507E-05    1.0402706E-05    3.8953210E-05    1.7039449E-05    4.1744478E-08    1.0987817E-16    3.3382675E-07    4.3546413E-08    3.4826834E-09    2.7742695E-05    7.3695131E-04    3.6090760E-04    9.0985393E-05
    2.5000000E-01   -6.5428080E-05    3.5028136E-05    9.7276018E-06    3.5613371E-05    1.5763362E-05    4.0562304E-08    1.0031161E-16    4.0848923E-07    4.0701079E-08    3.2509657E-09    2.6720100E-05    6.7278859E-04    3.2948515E-04    8.3063743E-05
    3.5000000E-01   -6.6256926E-05    3.5259576E-05    9.8659231E-06    3.5543441E-05    1.5866972E-05    3.7768500E-08    1.0000875E-16    4.8285743E-07    4.1243159E-08    3.2916509E-09    2.7648746E-05    6.7075728E-04    3.2849036E-04    8.2812954E-05
    4.5000000E-01   -6.7263777E-05    3.5589170E-05    1.0030339E-05    3.5577588E-05    1.6014828E-05    3.5180694E-08    1.0000053E-16    5.5739844E-07    4.1897786E-08    3.3415788E-09    2.8641508E-05    6.7070212E-04    3.2846334E-04    8.2806144E-05
    5.5000000E-01   -6.8278264E-05    3.5922104E-05    1.0195683E-05    3.5614642E-05    1.6164251E-05    3.2820312E-08    1.0000032E-16    6.3212514E-07    4.2560080E-08    3.3923025E-09    2.9638013E-05    6.7070073E-04    3.2846266E-04    8.2805972E-05
    6.5000000E-01   -6.9295672E-05    3.6255793E-05    1.0361269E-05    3.5651844E-05    1.6314076E-05    3.0663609E-08    1.0000031E-16    7.0703812E-07    4.3227051E-08    3.4435629E-09    3.0636592E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    7.5000000E-01   -7.0315821E-05    3.6590172E-05    1.0527081E-05    3.5689124E-05    1.6464275E-05    2.8688989E-08    1.0000031E-16    7.8213770E-07    4.3898514E-08    3.4953281E-09    3.1637186E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    8.5000000E-01   -7.1338655E-05    3.6925242E-05    1.0693119E-05    3.5726482E-05    1.6614848E-05    2.6877568E-08    1.0000031E-16    8.5742418E-07    4.4574370E-08    3.5475753E-09    3.2639776E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    9.5000000E-01   -7.2364128E-05    3.7261002E-05    1.0859381E-05    3.5763916E-05    1.6765796E-05    2.5212795E-08    1.0000031E-16    9.3289783E-07    4.5254534E-08    3.6002841E-09    3.3644348E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
