# Time          2.2500E+00
# Units: Weight % Component
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -1.0997759E+00    1.5964454E+00    3.9533278E+00    3.1028899E-01    6.2480032E-01    7.4338578E+00    0.0000000E+00    7.1781986E-01    9.2879006E-03    7.5582266E-04    7.4771643E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.5000000E-01   -1.0998428E+00    1.6005707E+00    3.9553731E+00    3.1109079E-01    6.2681971E-01    7.4297720E+00    0.0000000E+00    7.2013989E-01    9.2858177E-03    7.5562823E-04    7.4770772E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.5000000E-01   -1.0999173E+00    1.6046952E+00    3.9573977E+00    3.1189245E-01    6.2884065E-01    7.4257564E+00    0.0000000E+00    7.2246171E-01    9.2838789E-03    7.5544760E-04    7.4769732E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    3.5000000E-01   -1.0999925E+00    1.6088273E+00    3.9594227E+00    3.1269557E-01    6.3086629E-01    7.4217387E+00    0.0000000E+00    7.2478893E-01    9.2819534E-03    7.5526968E-04    7.4768676E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    4.5000000E-01   -1.1000684E+00    1.6129664E+00    3.9614483E+00    3.1350006E-01    6.3289645E-01    7.4177188E+00    0.0000000E+00    7.2712133E-01    9.2800401E-03    7.5509421E-04    7.4767604E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    5.5000000E-01   -1.1001449E+00    1.6171124E+00    3.9634743E+00    3.1430587E-01    6.3493095E-01    7.4136964E+00    0.0000000E+00    7.2945872E-01    9.2781383E-03    7.5492097E-04    7.4766518E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    6.5000000E-01   -1.1002221E+00    1.6212647E+00    3.9655008E+00    3.1511293E-01    6.3696963E-01    7.4096713E+00    0.0000000E+00    7.3180093E-01    9.2762475E-03    7.5474977E-04    7.4765420E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    7.5000000E-01   -1.1002997E+00    1.6254232E+00    3.9675279E+00    3.1592118E-01    6.3901236E-01    7.4056435E+00    0.0000000E+00    7.3414778E-01    9.2743671E-03    7.5458042E-04    7.4764310E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    8.5000000E-01   -1.1003779E+00    1.6295876E+00    3.9695554E+00    3.1673058E-01    6.4105901E-01    7.4016129E+00    0.0000000E+00    7.3649913E-01    9.2724967E-03    7.5441280E-04    7.4763190E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    9.5000000E-01   -1.1004565E+00    1.6337576E+00    3.9715833E+00    3.1754108E-01    6.4310946E-01    7.3975794E+00    0.0000000E+00    7.3885484E-01    9.2706359E-03    7.5424677E-04    7.4762059E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
