# Time          5.0000E-02
# Units: Log10 mol/kgw
    Distance      pH               H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-              Al(OH)2+         AlO2-            AlOH++           HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          KOH(aq)          NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            NaCO3-           NaHCO3(aq)   
    5.0000000E-02    5.5068439E+00   -5.5001371E+00   -4.4760361E+00   -5.0481571E+00   -4.4517847E+00   -4.8226439E+00   -7.5696795E+00   -1.5999998E+01   -7.1434310E+00   -7.4238074E+00   -8.5191611E+00   -4.6545438E+00   -3.2168868E+00   -3.4835140E+00   -4.0819468E+00   -8.2948312E+00   -1.0518576E+01   -7.5986667E+00   -4.1951695E+00   -1.6573382E+01   -9.1514753E+00   -8.9195047E+00   -9.3575807E+00   -1.0795185E+01   -1.4008222E+01   -1.5838486E+01   -9.3937140E+00   -1.2024625E+01   -1.4371948E+01   -9.1323343E+00   -9.1896169E+00   -1.2966715E+01   -8.3763677E+00
    1.5000000E-01    5.5138887E+00   -5.5071625E+00   -4.4717889E+00   -5.0402764E+00   -4.4513348E+00   -4.8184201E+00   -7.6096436E+00   -1.5999998E+01   -6.8374756E+00   -7.4166334E+00   -8.5125785E+00   -4.6357000E+00   -3.2175640E+00   -3.4835140E+00   -4.0819467E+00   -8.3208608E+00   -1.0530516E+01   -7.6316803E+00   -4.1887814E+00   -1.6540367E+01   -9.1704805E+00   -8.9265701E+00   -9.3316717E+00   -1.0787346E+01   -1.3993317E+01   -1.5846220E+01   -9.3895076E+00   -1.1994509E+01   -1.4360677E+01   -9.1252691E+00   -9.1761233E+00   -1.2949055E+01   -8.3657731E+00
    2.5000000E-01    5.5208752E+00   -5.5141295E+00   -4.4675741E+00   -5.0325258E+00   -4.4508844E+00   -4.8142265E+00   -7.6486523E+00   -1.5999998E+01   -6.6593902E+00   -7.4095088E+00   -8.5059777E+00   -4.6175990E+00   -3.2182454E+00   -3.4835140E+00   -4.0819467E+00   -8.3460517E+00   -1.0541734E+01   -7.6637969E+00   -4.1824559E+00   -1.6508211E+01   -9.1887055E+00   -8.9335772E+00   -9.3065637E+00   -1.0779636E+01   -1.3978600E+01   -1.5853264E+01   -9.3853338E+00   -1.1965228E+01   -1.4349496E+01   -9.1182621E+00   -9.1627503E+00   -1.2931549E+01   -8.3552737E+00
    3.5000000E-01    5.5278035E+00   -5.5210383E+00   -4.4633913E+00   -5.0249008E+00   -4.4504335E+00   -4.8100627E+00   -7.6867971E+00   -1.5999998E+01   -6.5331845E+00   -7.4024372E+00   -8.4993702E+00   -4.6001840E+00   -3.2189311E+00   -3.4835140E+00   -4.0819466E+00   -8.3704956E+00   -1.0552321E+01   -7.6951080E+00   -4.1761927E+00   -1.6476858E+01   -9.2062416E+00   -8.9405261E+00   -9.2821999E+00   -1.0772052E+01   -1.3964068E+01   -1.5859709E+01   -9.3811920E+00   -1.1936722E+01   -1.4338405E+01   -9.1113134E+00   -9.1494979E+00   -1.2914195E+01   -8.3448687E+00
    4.5000000E-01    5.5346738E+00   -5.5278891E+00   -4.4592398E+00   -5.0173974E+00   -4.4499822E+00   -4.8059281E+00   -7.7241300E+00   -1.5999998E+01   -6.4352975E+00   -7.3954205E+00   -8.4927657E+00   -4.5834045E+00   -3.2196209E+00   -3.4835140E+00   -4.0819465E+00   -8.3942436E+00   -1.0562328E+01   -7.7256652E+00   -4.1699916E+00   -1.6446256E+01   -9.2231398E+00   -8.9474171E+00   -9.2585295E+00   -1.0764590E+01   -1.3949715E+01   -1.5865606E+01   -9.3770817E+00   -1.1908941E+01   -1.4327404E+01   -9.1044225E+00   -9.1363654E+00   -1.2896993E+01   -8.3345571E+00
    5.5000000E-01    5.5414866E+00   -5.5346823E+00   -4.4551192E+00   -5.0100114E+00   -4.4495304E+00   -4.8018224E+00   -7.7606975E+00   -1.5999998E+01   -6.3552840E+00   -7.3884605E+00   -8.4861720E+00   -4.5672150E+00   -3.2203147E+00   -3.4835140E+00   -4.0819464E+00   -8.4173414E+00   -1.0571800E+01   -7.7555147E+00   -4.1638521E+00   -1.6416359E+01   -9.2394454E+00   -8.9542506E+00   -9.2355067E+00   -1.0757246E+01   -1.3935537E+01   -1.5870999E+01   -9.3730022E+00   -1.1881839E+01   -1.4316491E+01   -9.0975891E+00   -9.1233519E+00   -1.2879940E+01   -8.3243380E+00
    6.5000000E-01    5.5482425E+00   -5.5414186E+00   -4.4510290E+00   -5.0027392E+00   -4.4490782E+00   -4.7977450E+00   -7.7965421E+00   -1.5999998E+01   -6.2875875E+00   -7.3815582E+00   -8.4795958E+00   -4.5515751E+00   -3.2210125E+00   -3.4835140E+00   -4.0819464E+00   -8.4398304E+00   -1.0580778E+01   -7.7846984E+00   -4.1577734E+00   -1.6387125E+01   -9.2551992E+00   -8.9610272E+00   -9.2130903E+00   -1.0750015E+01   -1.3921530E+01   -1.5875927E+01   -9.3689532E+00   -1.1855373E+01   -1.4305666E+01   -9.0908127E+00   -9.1104562E+00   -1.2863036E+01   -8.3142102E+00
    7.5000000E-01    5.5549419E+00   -5.5480984E+00   -4.4469686E+00   -4.9955770E+00   -4.4486255E+00   -4.7936955E+00   -7.8317025E+00   -1.5999998E+01   -6.2288975E+00   -7.3747143E+00   -8.4730424E+00   -4.5364480E+00   -3.2217142E+00   -3.4835140E+00   -4.0819463E+00   -8.4617481E+00   -1.0589297E+01   -7.8132542E+00   -4.1517550E+00   -1.6358517E+01   -9.2704380E+00   -8.9677474E+00   -9.1912431E+00   -1.0742894E+01   -1.3907689E+01   -1.5880426E+01   -9.3649340E+00   -1.1829507E+01   -1.4294927E+01   -9.0840926E+00   -9.0976770E+00   -1.2846278E+01   -8.3041725E+00
    8.5000000E-01    5.5615857E+00   -5.5547227E+00   -4.4429375E+00   -4.9885216E+00   -4.4481723E+00   -4.7896735E+00   -7.8662139E+00   -1.5999998E+01   -6.1770813E+00   -7.3679293E+00   -8.4665165E+00   -4.5218006E+00   -3.2224197E+00   -3.4835140E+00   -4.0819462E+00   -8.4831282E+00   -1.0597389E+01   -7.8412168E+00   -4.1457961E+00   -1.6330499E+01   -9.2851949E+00   -8.9744120E+00   -9.1699312E+00   -1.0735880E+01   -1.3894010E+01   -1.5884529E+01   -9.3609443E+00   -1.1804205E+01   -1.4284272E+01   -9.0774282E+00   -9.0850130E+00   -1.2829665E+01   -8.2942237E+00
    9.5000000E-01    5.5681746E+00   -5.5612919E+00   -4.4389353E+00   -4.9815697E+00   -4.4477187E+00   -4.7856784E+00   -7.9001088E+00   -1.5999998E+01   -6.1306842E+00   -7.3612033E+00   -8.4600219E+00   -4.5076029E+00   -3.2231291E+00   -3.4835140E+00   -4.0819462E+00   -8.5040017E+00   -1.0605085E+01   -7.8686178E+00   -4.1398959E+00   -1.6303041E+01   -9.2995002E+00   -8.9810217E+00   -9.1491240E+00   -1.0728970E+01   -1.3880490E+01   -1.5888264E+01   -9.3569834E+00   -1.1779437E+01   -1.4273702E+01   -9.0708187E+00   -9.0724625E+00   -1.2813194E+01   -8.2843625E+00
