# Time          5.0000E-02
# Units: Bars
    Distance        CO2(g)           O2(g)           
    5.0000000E-02    9.9850481E-03    1.8000005E-01
    1.5000000E-01    9.9694944E-03    1.8000010E-01
    2.5000000E-01    9.9538659E-03    1.8000015E-01
    3.5000000E-01    9.9381657E-03    1.8000020E-01
    4.5000000E-01    9.9223963E-03    1.8000025E-01
    5.5000000E-01    9.9065598E-03    1.8000030E-01
    6.5000000E-01    9.8906584E-03    1.8000035E-01
    7.5000000E-01    9.8746937E-03    1.8000040E-01
    8.5000000E-01    9.8586674E-03    1.8000045E-01
    9.5000000E-01    9.8425808E-03    1.8000050E-01
    1.0500000E+00    9.8264352E-03    1.8000055E-01
    1.1500000E+00    9.8102318E-03    1.8000060E-01
    1.2500000E+00    9.7939716E-03    1.8000066E-01
    1.3500000E+00    9.7776557E-03    1.8000071E-01
    1.4500000E+00    9.7612849E-03    1.8000076E-01
    1.5500000E+00    9.7448601E-03    1.8000081E-01
    1.6500000E+00    9.7283819E-03    1.8000086E-01
    1.7500000E+00    9.7118511E-03    1.8000092E-01
    1.8500000E+00    9.6952684E-03    1.8000097E-01
    1.9500000E+00    9.6786343E-03    1.8000102E-01
    2.0500000E+00    9.6619494E-03    1.8000108E-01
    2.1500000E+00    9.6452143E-03    1.8000113E-01
    2.2500000E+00    9.6284294E-03    1.8000118E-01
    2.3500000E+00    9.6115952E-03    1.8000124E-01
    2.4500000E+00    9.5947121E-03    1.8000129E-01
    2.5500000E+00    9.5777806E-03    1.8000134E-01
    2.6500000E+00    9.5608009E-03    1.8000140E-01
    2.7500000E+00    9.5437735E-03    1.8000145E-01
    2.8500000E+00    9.5266988E-03    1.8000151E-01
    2.9500000E+00    9.5095769E-03    1.8000156E-01
    3.0500000E+00    9.4924083E-03    1.8000162E-01
    3.1500000E+00    9.4751932E-03    1.8000167E-01
    3.2500000E+00    9.4579319E-03    1.8000173E-01
    3.3500000E+00    9.4406247E-03    1.8000178E-01
    3.4500000E+00    9.4232717E-03    1.8000184E-01
    3.5500000E+00    9.4058732E-03    1.8000189E-01
    3.6500000E+00    9.3884295E-03    1.8000195E-01
    3.7500000E+00    9.3709407E-03    1.8000200E-01
    3.8500000E+00    9.3534070E-03    1.8000206E-01
    3.9500000E+00    9.3358286E-03    1.8000211E-01
    4.0500000E+00    9.3182058E-03    1.8000217E-01
    4.1500000E+00    9.3005386E-03    1.8000223E-01
    4.2500000E+00    9.2828272E-03    1.8000228E-01
    4.3500000E+00    9.2650718E-03    1.8000234E-01
    4.4500000E+00    9.2472726E-03    1.8000240E-01
    4.5500000E+00    9.2294296E-03    1.8000245E-01
    4.6500000E+00    9.2115430E-03    1.8000251E-01
    4.7500000E+00    9.1936129E-03    1.8000257E-01
    4.8500000E+00    9.1756395E-03    1.8000262E-01
    4.9500000E+00    9.1576228E-03    1.8000268E-01
    5.0500000E+00    9.1395630E-03    1.8000274E-01
    5.1500000E+00    9.1214602E-03    1.8000280E-01
    5.2500000E+00    9.1033144E-03    1.8000285E-01
    5.3500000E+00    9.0851258E-03    1.8000291E-01
    5.4500000E+00    9.0668944E-03    1.8000297E-01
    5.5500000E+00    9.0486204E-03    1.8000303E-01
    5.6500000E+00    9.0303038E-03    1.8000309E-01
    5.7500000E+00    9.0119448E-03    1.8000315E-01
    5.8500000E+00    8.9935432E-03    1.8000320E-01
    5.9500000E+00    8.9750994E-03    1.8000326E-01
    6.0500000E+00    8.9566132E-03    1.8000332E-01
    6.1500000E+00    8.9380848E-03    1.8000338E-01
    6.2500000E+00    8.9195143E-03    1.8000344E-01
    6.3500000E+00    8.9009017E-03    1.8000350E-01
    6.4500000E+00    8.8822470E-03    1.8000356E-01
    6.5500000E+00    8.8635504E-03    1.8000362E-01
    6.6500000E+00    8.8448118E-03    1.8000368E-01
    6.7500000E+00    8.8260313E-03    1.8000374E-01
    6.8500000E+00    8.8072090E-03    1.8000380E-01
    6.9500000E+00    8.7883448E-03    1.8000386E-01
    7.0500000E+00    8.7694390E-03    1.8000392E-01
    7.1500000E+00    8.7504914E-03    1.8000398E-01
    7.2500000E+00    8.7315021E-03    1.8000404E-01
    7.3500000E+00    8.7124713E-03    1.8000410E-01
    7.4500000E+00    8.6933988E-03    1.8000416E-01
    7.5500000E+00    8.6742847E-03    1.8000422E-01
    7.6500000E+00    8.6551291E-03    1.8000428E-01
    7.7500000E+00    8.6359320E-03    1.8000434E-01
    7.8500000E+00    8.6166934E-03    1.8000440E-01
    7.9500000E+00    8.5974134E-03    1.8000446E-01
    8.0500000E+00    8.5780920E-03    1.8000453E-01
    8.1500000E+00    8.5587291E-03    1.8000459E-01
    8.2500000E+00    8.5393249E-03    1.8000465E-01
    8.3500000E+00    8.5198794E-03    1.8000471E-01
    8.4500000E+00    8.5003925E-03    1.8000477E-01
    8.5500000E+00    8.4808643E-03    1.8000484E-01
    8.6500000E+00    8.4612948E-03    1.8000490E-01
    8.7500000E+00    8.4416840E-03    1.8000496E-01
    8.8500000E+00    8.4220321E-03    1.8000502E-01
    8.9500000E+00    8.4023388E-03    1.8000509E-01
    9.0500000E+00    8.3826044E-03    1.8000515E-01
    9.1500000E+00    8.3628288E-03    1.8000521E-01
    9.2500000E+00    8.3430119E-03    1.8000527E-01
    9.3500000E+00    8.3231539E-03    1.8000534E-01
    9.4500000E+00    8.3032548E-03    1.8000540E-01
    9.5500000E+00    8.2833145E-03    1.8000546E-01
    9.6500000E+00    8.2633331E-03    1.8000553E-01
    9.7500000E+00    8.2433106E-03    1.8000559E-01
    9.8500000E+00    8.2232470E-03    1.8000566E-01
    9.9500000E+00    8.2031422E-03    1.8000572E-01
    1.0050000E+01    8.1829964E-03    1.8000578E-01
    1.0150000E+01    8.1628096E-03    1.8000585E-01
    1.0250000E+01    8.1425816E-03    1.8000591E-01
    1.0350000E+01    8.1223127E-03    1.8000598E-01
    1.0450000E+01    8.1020027E-03    1.8000604E-01
    1.0550000E+01    8.0816516E-03    1.8000611E-01
    1.0650000E+01    8.0612596E-03    1.8000617E-01
    1.0750000E+01    8.0408265E-03    1.8000624E-01
    1.0850000E+01    8.0203524E-03    1.8000630E-01
    1.0950000E+01    7.9998374E-03    1.8000637E-01
    1.1050000E+01    7.9792814E-03    1.8000643E-01
    1.1150000E+01    7.9586844E-03    1.8000650E-01
    1.1250000E+01    7.9380464E-03    1.8000656E-01
    1.1350000E+01    7.9173675E-03    1.8000663E-01
    1.1450000E+01    7.8966476E-03    1.8000670E-01
    1.1550000E+01    7.8758869E-03    1.8000676E-01
    1.1650000E+01    7.8550852E-03    1.8000683E-01
    1.1750000E+01    7.8342425E-03    1.8000690E-01
    1.1850000E+01    7.8133590E-03    1.8000696E-01
    1.1950000E+01    7.7924346E-03    1.8000703E-01
    1.2050000E+01    7.7714693E-03    1.8000710E-01
    1.2150000E+01    7.7504632E-03    1.8000716E-01
