# Time          2.2500E+00
# Units: Bars
    Distance        CO2(g)           O2(g)           
    5.0000000E-02    5.0733188E-03    9.1907042E-02
    1.5000000E-01    7.9465626E-03    1.4358250E-01
    2.5000000E-01    9.3275556E-03    1.6857245E-01
    3.5000000E-01    9.7889331E-03    1.7711015E-01
    4.5000000E-01    9.9003826E-03    1.7938658E-01
    5.5000000E-01    9.9125822E-03    1.7988765E-01
    6.5000000E-01    9.9020011E-03    1.7998206E-01
    7.5000000E-01    9.8869563E-03    1.7999770E-01
    8.5000000E-01    9.8711064E-03    1.8000006E-01
    9.5000000E-01    9.8550837E-03    1.8000042E-01
    1.0500000E+00    9.8389860E-03    1.8000051E-01
    1.1500000E+00    9.8228277E-03    1.8000056E-01
    1.2500000E+00    9.8066116E-03    1.8000062E-01
    1.3500000E+00    9.7903389E-03    1.8000067E-01
    1.4500000E+00    9.7740107E-03    1.8000072E-01
    1.5500000E+00    9.7576278E-03    1.8000077E-01
    1.6500000E+00    9.7411910E-03    1.8000082E-01
    1.7500000E+00    9.7247011E-03    1.8000088E-01
    1.8500000E+00    9.7081587E-03    1.8000093E-01
    1.9500000E+00    9.6915645E-03    1.8000098E-01
    2.0500000E+00    9.6749190E-03    1.8000104E-01
    2.1500000E+00    9.6582229E-03    1.8000109E-01
    2.2500000E+00    9.6414767E-03    1.8000114E-01
    2.3500000E+00    9.6246808E-03    1.8000120E-01
    2.4500000E+00    9.6078356E-03    1.8000125E-01
    2.5500000E+00    9.5909417E-03    1.8000130E-01
    2.6500000E+00    9.5739995E-03    1.8000136E-01
    2.7500000E+00    9.5570092E-03    1.8000141E-01
    2.8500000E+00    9.5399712E-03    1.8000147E-01
    2.9500000E+00    9.5228859E-03    1.8000152E-01
    3.0500000E+00    9.5057537E-03    1.8000157E-01
    3.1500000E+00    9.4885747E-03    1.8000163E-01
    3.2500000E+00    9.4713493E-03    1.8000168E-01
    3.3500000E+00    9.4540777E-03    1.8000174E-01
    3.4500000E+00    9.4367603E-03    1.8000179E-01
    3.5500000E+00    9.4193972E-03    1.8000185E-01
