# Time          1.7500E+00
    Distance         pH
  5.0000E-02    5.5104E+00
  1.5000E-01    5.5135E+00
  2.5000E-01    5.5200E+00
  3.5000E-01    5.5269E+00
  4.5000E-01    5.5338E+00
  5.5000E-01    5.5406E+00
  6.5000E-01    5.5473E+00
  7.5000E-01    5.5541E+00
  8.5000E-01    5.5607E+00
  9.5000E-01    5.5673E+00
  1.0500E+00    5.5738E+00
  1.1500E+00    5.5803E+00
  1.2500E+00    5.5868E+00
  1.3500E+00    5.5931E+00
  1.4500E+00    5.5995E+00
  1.5500E+00    5.6058E+00
  1.6500E+00    5.6120E+00
  1.7500E+00    5.6182E+00
  1.8500E+00    5.6243E+00
  1.9500E+00    5.6304E+00
  2.0500E+00    5.6365E+00
  2.1500E+00    5.6425E+00
  2.2500E+00    5.6484E+00
  2.3500E+00    5.6543E+00
  2.4500E+00    5.6602E+00
  2.5500E+00    5.6660E+00
  2.6500E+00    5.6718E+00
  2.7500E+00    5.6776E+00
  2.8500E+00    5.6833E+00
  2.9500E+00    5.6889E+00
  3.0500E+00    5.6946E+00
  3.1500E+00    5.7002E+00
  3.2500E+00    5.7057E+00
  3.3500E+00    5.7112E+00
  3.4500E+00    5.7167E+00
  3.5500E+00    5.7222E+00
  3.6500E+00    5.7276E+00
  3.7500E+00    5.7330E+00
  3.8500E+00    5.7383E+00
  3.9500E+00    5.7436E+00
  4.0500E+00    5.7489E+00
  4.1500E+00    5.7542E+00
  4.2500E+00    5.7594E+00
  4.3500E+00    5.7646E+00
  4.4500E+00    5.7698E+00
  4.5500E+00    5.7749E+00
  4.6500E+00    5.7800E+00
  4.7500E+00    5.7851E+00
  4.8500E+00    5.7901E+00
  4.9500E+00    5.7952E+00
  5.0500E+00    5.8002E+00
  5.1500E+00    5.8051E+00
  5.2500E+00    5.8101E+00
  5.3500E+00    5.8150E+00
  5.4500E+00    5.8199E+00
  5.5500E+00    5.8248E+00
  5.6500E+00    5.8296E+00
  5.7500E+00    5.8344E+00
  5.8500E+00    5.8393E+00
  5.9500E+00    5.8440E+00
  6.0500E+00    5.8488E+00
  6.1500E+00    5.8535E+00
  6.2500E+00    5.8582E+00
  6.3500E+00    5.8629E+00
  6.4500E+00    5.8676E+00
  6.5500E+00    5.8723E+00
  6.6500E+00    5.8769E+00
  6.7500E+00    5.8815E+00
  6.8500E+00    5.8861E+00
  6.9500E+00    5.8907E+00
  7.0500E+00    5.8952E+00
  7.1500E+00    5.8998E+00
  7.2500E+00    5.9043E+00
  7.3500E+00    5.9088E+00
  7.4500E+00    5.9133E+00
  7.5500E+00    5.9178E+00
  7.6500E+00    5.9222E+00
  7.7500E+00    5.9266E+00
  7.8500E+00    5.9311E+00
  7.9500E+00    5.9355E+00
  8.0500E+00    5.9398E+00
  8.1500E+00    5.9442E+00
  8.2500E+00    5.9486E+00
  8.3500E+00    5.9529E+00
  8.4500E+00    5.9572E+00
  8.5500E+00    5.9616E+00
  8.6500E+00    5.9659E+00
  8.7500E+00    5.9701E+00
  8.8500E+00    5.9744E+00
  8.9500E+00    5.9787E+00
  9.0500E+00    5.9829E+00
  9.1500E+00    5.9872E+00
  9.2500E+00    5.9914E+00
  9.3500E+00    5.9956E+00
  9.4500E+00    5.9998E+00
  9.5500E+00    6.0040E+00
  9.6500E+00    6.0081E+00
  9.7500E+00    6.0123E+00
  9.8500E+00    6.0165E+00
  9.9500E+00    6.0206E+00
  1.0050E+01    6.0247E+00
  1.0150E+01    6.0288E+00
  1.0250E+01    6.0329E+00
  1.0350E+01    6.0370E+00
  1.0450E+01    6.0411E+00
  1.0550E+01    6.0452E+00
  1.0650E+01    6.0493E+00
  1.0750E+01    6.0533E+00
  1.0850E+01    6.0574E+00
  1.0950E+01    6.0614E+00
  1.1050E+01    6.0654E+00
  1.1150E+01    6.0695E+00
  1.1250E+01    6.0735E+00
  1.1350E+01    6.0775E+00
  1.1450E+01    6.0815E+00
  1.1550E+01    6.0855E+00
