# Time          5.0000E-02
# Units:           Transport Porosity  Mineral Porosity
    5.0000000E-02    9.9900000E-02    1.9824501E-01
    1.5000000E-01    9.9900000E-02    1.9784694E-01
    2.5000000E-01    9.9900000E-02    1.9744291E-01
    3.5000000E-01    9.9900000E-02    1.9703738E-01
    4.5000000E-01    9.9900000E-02    1.9663042E-01
    5.5000000E-01    9.9900000E-02    1.9622211E-01
    6.5000000E-01    9.9900000E-02    1.9581251E-01
    7.5000000E-01    9.9900000E-02    1.9540167E-01
    8.5000000E-01    9.9900000E-02    1.9498965E-01
    9.5000000E-01    9.9900000E-02    1.9457648E-01
    1.0500000E+00    9.9900000E-02    1.9416221E-01
    1.1500000E+00    9.9900000E-02    1.9374686E-01
    1.2500000E+00    9.9900000E-02    1.9333046E-01
    1.3500000E+00    9.9900000E-02    1.9291304E-01
    1.4500000E+00    9.9900000E-02    1.9249463E-01
    1.5500000E+00    9.9900000E-02    1.9207523E-01
    1.6500000E+00    9.9900000E-02    1.9165488E-01
    1.7500000E+00    9.9900000E-02    1.9123357E-01
    1.8500000E+00    9.9900000E-02    1.9081133E-01
    1.9500000E+00    9.9900000E-02    1.9038816E-01
    2.0500000E+00    9.9900000E-02    1.8996409E-01
    2.1500000E+00    9.9900000E-02    1.8953910E-01
    2.2500000E+00    9.9900000E-02    1.8911322E-01
    2.3500000E+00    9.9900000E-02    1.8868645E-01
    2.4500000E+00    9.9900000E-02    1.8825879E-01
    2.5500000E+00    9.9900000E-02    1.8783025E-01
    2.6500000E+00    9.9900000E-02    1.8740083E-01
    2.7500000E+00    9.9900000E-02    1.8697054E-01
    2.8500000E+00    9.9900000E-02    1.8653938E-01
    2.9500000E+00    9.9900000E-02    1.8610736E-01
    3.0500000E+00    9.9900000E-02    1.8567447E-01
    3.1500000E+00    9.9900000E-02    1.8524072E-01
    3.2500000E+00    9.9900000E-02    1.8480610E-01
    3.3500000E+00    9.9900000E-02    1.8437063E-01
    3.4500000E+00    9.9900000E-02    1.8393430E-01
    3.5500000E+00    9.9900000E-02    1.8349711E-01
    3.6500000E+00    9.9900000E-02    1.8305907E-01
    3.7500000E+00    9.9900000E-02    1.8262017E-01
    3.8500000E+00    9.9900000E-02    1.8218041E-01
    3.9500000E+00    9.9900000E-02    1.8173980E-01
    4.0500000E+00    9.9900000E-02    1.8129834E-01
    4.1500000E+00    9.9900000E-02    1.8085603E-01
    4.2500000E+00    9.9900000E-02    1.8041286E-01
    4.3500000E+00    9.9900000E-02    1.7996884E-01
    4.4500000E+00    9.9900000E-02    1.7952396E-01
    4.5500000E+00    9.9900000E-02    1.7907823E-01
    4.6500000E+00    9.9900000E-02    1.7863166E-01
    4.7500000E+00    9.9900000E-02    1.7818422E-01
    4.8500000E+00    9.9900000E-02    1.7773594E-01
    4.9500000E+00    9.9900000E-02    1.7728680E-01
    5.0500000E+00    9.9900000E-02    1.7683682E-01
    5.1500000E+00    9.9900000E-02    1.7638598E-01
    5.2500000E+00    9.9900000E-02    1.7593428E-01
    5.3500000E+00    9.9900000E-02    1.7548174E-01
    5.4500000E+00    9.9900000E-02    1.7502834E-01
    5.5500000E+00    9.9900000E-02    1.7457409E-01
    5.6500000E+00    9.9900000E-02    1.7411898E-01
    5.7500000E+00    9.9900000E-02    1.7366303E-01
    5.8500000E+00    9.9900000E-02    1.7320622E-01
    5.9500000E+00    9.9900000E-02    1.7274855E-01
    6.0500000E+00    9.9900000E-02    1.7229004E-01
    6.1500000E+00    9.9900000E-02    1.7183067E-01
    6.2500000E+00    9.9900000E-02    1.7137045E-01
    6.3500000E+00    9.9900000E-02    1.7090937E-01
    6.4500000E+00    9.9900000E-02    1.7044744E-01
    6.5500000E+00    9.9900000E-02    1.6998465E-01
    6.6500000E+00    9.9900000E-02    1.6952101E-01
    6.7500000E+00    9.9900000E-02    1.6905652E-01
    6.8500000E+00    9.9900000E-02    1.6859117E-01
    6.9500000E+00    9.9900000E-02    1.6812497E-01
    7.0500000E+00    9.9900000E-02    1.6765791E-01
    7.1500000E+00    9.9900000E-02    1.6719000E-01
    7.2500000E+00    9.9900000E-02    1.6672123E-01
    7.3500000E+00    9.9900000E-02    1.6625161E-01
    7.4500000E+00    9.9900000E-02    1.6578113E-01
    7.5500000E+00    9.9900000E-02    1.6530980E-01
    7.6500000E+00    9.9900000E-02    1.6483761E-01
    7.7500000E+00    9.9900000E-02    1.6436457E-01
    7.8500000E+00    9.9900000E-02    1.6389067E-01
    7.9500000E+00    9.9900000E-02    1.6341591E-01
    8.0500000E+00    9.9900000E-02    1.6294030E-01
    8.1500000E+00    9.9900000E-02    1.6246384E-01
    8.2500000E+00    9.9900000E-02    1.6198652E-01
    8.3500000E+00    9.9900000E-02    1.6150834E-01
    8.4500000E+00    9.9900000E-02    1.6102931E-01
    8.5500000E+00    9.9900000E-02    1.6054942E-01
    8.6500000E+00    9.9900000E-02    1.6006868E-01
    8.7500000E+00    9.9900000E-02    1.5958708E-01
    8.8500000E+00    9.9900000E-02    1.5910463E-01
    8.9500000E+00    9.9900000E-02    1.5862132E-01
    9.0500000E+00    9.9900000E-02    1.5813716E-01
    9.1500000E+00    9.9900000E-02    1.5765214E-01
    9.2500000E+00    9.9900000E-02    1.5716627E-01
    9.3500000E+00    9.9900000E-02    1.5667954E-01
    9.4500000E+00    9.9900000E-02    1.5619196E-01
    9.5500000E+00    9.9900000E-02    1.5570352E-01
    9.6500000E+00    9.9900000E-02    1.5521423E-01
    9.7500000E+00    9.9900000E-02    1.5472408E-01
    9.8500000E+00    9.9900000E-02    1.5423309E-01
    9.9500000E+00    9.9900000E-02    1.5374124E-01
    1.0050000E+01    9.9900000E-02    1.5324853E-01
    1.0150000E+01    9.9900000E-02    1.5275498E-01
    1.0250000E+01    9.9900000E-02    1.5226057E-01
    1.0350000E+01    9.9900000E-02    1.5176531E-01
    1.0450000E+01    9.9900000E-02    1.5126920E-01
    1.0550000E+01    9.9900000E-02    1.5077223E-01
    1.0650000E+01    9.9900000E-02    1.5027442E-01
    1.0750000E+01    9.9900000E-02    1.4977576E-01
    1.0850000E+01    9.9900000E-02    1.4927624E-01
    1.0950000E+01    9.9900000E-02    1.4877588E-01
    1.1050000E+01    9.9900000E-02    1.4827467E-01
    1.1150000E+01    9.9900000E-02    1.4777262E-01
    1.1250000E+01    9.9900000E-02    1.4726971E-01
    1.1350000E+01    9.9900000E-02    1.4676596E-01
    1.1450000E+01    9.9900000E-02    1.4626137E-01
    1.1550000E+01    9.9900000E-02    1.4575592E-01
    1.1650000E+01    9.9900000E-02    1.4524964E-01
    1.1750000E+01    9.9900000E-02    1.4474251E-01
    1.1850000E+01    9.9900000E-02    1.4423454E-01
    1.1950000E+01    9.9900000E-02    1.4372573E-01
    1.2050000E+01    9.9900000E-02    1.4321607E-01
    1.2150000E+01    9.9900000E-02    1.4270558E-01
    1.2250000E+01    9.9900000E-02    1.4219424E-01
    1.2350000E+01    9.9900000E-02    1.4168207E-01
    1.2450000E+01    9.9900000E-02    1.4116907E-01
    1.2550000E+01    9.9900000E-02    1.4065522E-01
    1.2650000E+01    9.9900000E-02    1.4014054E-01
    1.2750000E+01    9.9900000E-02    1.3962503E-01
    1.2850000E+01    9.9900000E-02    1.3910869E-01
    1.2950000E+01    9.9900000E-02    1.3859151E-01
    1.3050000E+01    9.9900000E-02    1.3807351E-01
    1.3150000E+01    9.9900000E-02    1.3755468E-01
    1.3250000E+01    9.9900000E-02    1.3703501E-01
    1.3350000E+01    9.9900000E-02    1.3651453E-01
    1.3450000E+01    9.9900000E-02    1.3599322E-01
    1.3550000E+01    9.9900000E-02    1.3547108E-01
    1.3650000E+01    9.9900000E-02    1.3494813E-01
    1.3750000E+01    9.9900000E-02    1.3442436E-01
    1.3850000E+01    9.9900000E-02    1.3389976E-01
    1.3950000E+01    9.9900000E-02    1.3337435E-01
    1.4050000E+01    9.9900000E-02    1.3284813E-01
    1.4150000E+01    9.9900000E-02    1.3232110E-01
    1.4250000E+01    9.9900000E-02    1.3179325E-01
    1.4350000E+01    9.9900000E-02    1.3126459E-01
    1.4450000E+01    9.9900000E-02    1.3073513E-01
    1.4550000E+01    9.9900000E-02    1.3020486E-01
    1.4650000E+01    9.9900000E-02    1.2967379E-01
    1.4750000E+01    9.9900000E-02    1.2914192E-01
    1.4850000E+01    9.9900000E-02    1.2860925E-01
    1.4950000E+01    9.9900000E-02    1.2807578E-01
    1.5050000E+01    9.9900000E-02    1.2754152E-01
    1.5150000E+01    9.9900000E-02    1.2700646E-01
    1.5250000E+01    9.9900000E-02    1.2647062E-01
    1.5350000E+01    9.9900000E-02    1.2593399E-01
    1.5450000E+01    9.9900000E-02    1.2539658E-01
    1.5550000E+01    9.9900000E-02    1.2485838E-01
    1.5650000E+01    9.9900000E-02    1.2431940E-01
    1.5750000E+01    9.9900000E-02    1.2377965E-01
    1.5850000E+01    9.9900000E-02    1.2323913E-01
    1.5950000E+01    9.9900000E-02    1.2269783E-01
    1.6050000E+01    9.9900000E-02    1.2215577E-01
    1.6150000E+01    9.9900000E-02    1.2161294E-01
    1.6250000E+01    9.9900000E-02    1.2106935E-01
    1.6350000E+01    9.9900000E-02    1.2052500E-01
    1.6450000E+01    9.9900000E-02    1.1997990E-01
    1.6550000E+01    9.9900000E-02    1.1943404E-01
    1.6650000E+01    9.9900000E-02    1.1888744E-01
    1.6750000E+01    9.9900000E-02    1.1834010E-01
    1.6850000E+01    9.9900000E-02    1.1779201E-01
    1.6950000E+01    9.9900000E-02    1.1724319E-01
    1.7050000E+01    9.9900000E-02    1.1669364E-01
    1.7150000E+01    9.9900000E-02    1.1614335E-01
    1.7250000E+01    9.9900000E-02    1.1559235E-01
    1.7350000E+01    9.9900000E-02    1.1504062E-01
    1.7450000E+01    9.9900000E-02    1.1448818E-01
    1.7550000E+01    9.9900000E-02    1.1393503E-01
    1.7650000E+01    9.9900000E-02    1.1338117E-01
    1.7750000E+01    9.9900000E-02    1.1282661E-01
    1.7850000E+01    9.9900000E-02    1.1227136E-01
    1.7950000E+01    9.9900000E-02    1.1171542E-01
    1.8050000E+01    9.9900000E-02    1.1115879E-01
    1.8150000E+01    9.9900000E-02    1.1060149E-01
    1.8250000E+01    9.9900000E-02    1.1004352E-01
    1.8350000E+01    9.9900000E-02    1.0948488E-01
    1.8450000E+01    9.9900000E-02    1.0892559E-01
    1.8550000E+01    9.9900000E-02    1.0836564E-01
    1.8650000E+01    9.9900000E-02    1.0780506E-01
    1.8750000E+01    9.9900000E-02    1.0724384E-01
    1.8850000E+01    9.9900000E-02    1.0668200E-01
    1.8950000E+01    9.9900000E-02    1.0611955E-01
    1.9050000E+01    9.9900000E-02    1.0555649E-01
    1.9150000E+01    9.9900000E-02    1.0499286E-01
    1.9250000E+01    9.9900000E-02    1.0442865E-01
    1.9350000E+01    9.9900000E-02    1.0386390E-01
    1.9450000E+01    9.9900000E-02    1.0329862E-01
    1.9550000E+01    9.9900000E-02    1.0273284E-01
    1.9650000E+01    9.9900000E-02    1.0216663E-01
    1.9750000E+01    9.9900000E-02    1.0160003E-01
    1.9850000E+01    9.9900000E-02    1.0103317E-01
    1.9950000E+01    9.9900000E-02    1.0046628E-01
