# Time          5.0000E-02
# Units: Mol/m**3 Porous Medium/s
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.1628822E-14   -4.0114451E-11   -1.6226743E-10   -3.2554258E-11    1.1835398E-10    9.7780485E-12
    1.5000000E-01   -2.0248899E-14   -4.0131504E-11   -1.6260344E-10   -3.2635724E-11    1.1719049E-10    9.6687491E-12
    2.5000000E-01   -1.8865782E-14   -4.0148569E-11   -1.6294017E-10   -3.2717377E-11    1.1732187E-10    9.6679250E-12
    3.5000000E-01   -1.7479555E-14   -4.0165642E-11   -1.6327755E-10   -3.2799209E-11    1.1746544E-10    9.6694129E-12
    4.5000000E-01   -1.6090283E-14   -4.0182722E-11   -1.6361557E-10   -3.2881210E-11    1.1761853E-10    9.6728308E-12
    5.5000000E-01   -1.4698020E-14   -4.0199805E-11   -1.6395419E-10   -3.2963372E-11    1.1777975E-10    9.6779229E-12
    6.5000000E-01   -1.3302813E-14   -4.0216889E-11   -1.6429338E-10   -3.3045690E-11    1.1794797E-10    9.6844727E-12
    7.5000000E-01   -1.1904702E-14   -4.0233972E-11   -1.6463311E-10   -3.3128156E-11    1.1812223E-10    9.6922958E-12
    8.5000000E-01   -1.0503721E-14   -4.0251052E-11   -1.6497336E-10   -3.3210765E-11    1.1830173E-10    9.7012345E-12
    9.5000000E-01   -9.0998986E-15   -4.0268127E-11   -1.6531411E-10   -3.3293512E-11    1.1848581E-10    9.7111536E-12
    1.0500000E+00   -7.6932606E-15   -4.0285194E-11   -1.6565533E-10   -3.3376392E-11    1.1867389E-10    9.7219366E-12
    1.1500000E+00   -6.2838285E-15   -4.0302251E-11   -1.6599702E-10   -3.3459402E-11    1.1886549E-10    9.7334830E-12
    1.2500000E+00   -4.8716211E-15   -4.0319297E-11   -1.6633916E-10   -3.3542537E-11    1.1906021E-10    9.7457057E-12
    1.3500000E+00   -3.4566546E-15   -4.0336330E-11   -1.6668173E-10   -3.3625796E-11    1.1925769E-10    9.7585289E-12
    1.4500000E+00   -2.0389431E-15   -4.0353346E-11   -1.6702473E-10   -3.3709175E-11    1.1945763E-10    9.7718868E-12
    1.5500000E+00   -6.1849863E-16   -4.0370345E-11   -1.6736813E-10   -3.3792671E-11    1.1965978E-10    9.7857216E-12
    1.6500000E+00    0.0000000E+00   -4.0387325E-11   -1.6771195E-10   -3.3876283E-11    1.1986390E-10    9.7999831E-12
    1.7500000E+00    0.0000000E+00   -4.0404282E-11   -1.6805616E-10   -3.3960009E-11    1.2006980E-10    9.8146270E-12
    1.8500000E+00    0.0000000E+00   -4.0421216E-11   -1.6840076E-10   -3.4043847E-11    1.2027731E-10    9.8296143E-12
    1.9500000E+00    0.0000000E+00   -4.0438125E-11   -1.6874574E-10   -3.4127797E-11    1.2048628E-10    9.8449108E-12
    2.0500000E+00    0.0000000E+00   -4.0455005E-11   -1.6909111E-10   -3.4211856E-11    1.2069658E-10    9.8604863E-12
    2.1500000E+00    0.0000000E+00   -4.0471856E-11   -1.6943685E-10   -3.4296024E-11    1.2090809E-10    9.8763139E-12
    2.2500000E+00    0.0000000E+00   -4.0488675E-11   -1.6978296E-10   -3.4380300E-11    1.2112072E-10    9.8923701E-12
    2.3500000E+00    0.0000000E+00   -4.0505459E-11   -1.7012945E-10   -3.4464683E-11    1.2133437E-10    9.9086336E-12
    2.4500000E+00    0.0000000E+00   -4.0522208E-11   -1.7047630E-10   -3.4549173E-11    1.2154896E-10    9.9250857E-12
    2.5500000E+00    0.0000000E+00   -4.0538918E-11   -1.7082351E-10   -3.4633769E-11    1.2176442E-10    9.9417099E-12
    2.6500000E+00    0.0000000E+00   -4.0555587E-11   -1.7117108E-10   -3.4718470E-11    1.2198069E-10    9.9584912E-12
    2.7500000E+00    0.0000000E+00   -4.0572213E-11   -1.7151902E-10   -3.4803277E-11    1.2219771E-10    9.9754162E-12
    2.8500000E+00    0.0000000E+00   -4.0588793E-11   -1.7186732E-10   -3.4888189E-11    1.2241544E-10    9.9924731E-12
    2.9500000E+00    0.0000000E+00   -4.0605326E-11   -1.7221597E-10   -3.4973206E-11    1.2263382E-10    1.0009651E-11
    3.0500000E+00    0.0000000E+00   -4.0621808E-11   -1.7256498E-10   -3.5058327E-11    1.2285282E-10    1.0026941E-11
    3.1500000E+00    0.0000000E+00   -4.0638237E-11   -1.7291435E-10   -3.5143552E-11    1.2307239E-10    1.0044334E-11
