# Time          1.7500E+00
# Units: Mol/m**3 Porous Medium/s
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.5255013E-14   -4.0114892E-11   -1.6226743E-10   -3.2554258E-11    7.8658907E-11    6.4990119E-12
    1.5000000E-01   -2.0863507E-14   -4.0131592E-11   -1.6260344E-10   -3.2635724E-11    1.1786496E-10    9.7258190E-12
    2.5000000E-01   -1.9091746E-14   -4.0148604E-11   -1.6294017E-10   -3.2717377E-11    1.1745849E-10    9.6806830E-12
    3.5000000E-01   -1.7667923E-14   -4.0165673E-11   -1.6327755E-10   -3.2799209E-11    1.1754495E-10    9.6773242E-12
    4.5000000E-01   -1.6276014E-14   -4.0182755E-11   -1.6361557E-10   -3.2881210E-11    1.1768526E-10    9.6795355E-12
    5.5000000E-01   -1.4883939E-14   -4.0199840E-11   -1.6395419E-10   -3.2963372E-11    1.1783844E-10    9.6838276E-12
    6.5000000E-01   -1.3489110E-14   -4.0216927E-11   -1.6429338E-10   -3.3045690E-11    1.1799995E-10    9.6897039E-12
    7.5000000E-01   -1.2091383E-14   -4.0234014E-11   -1.6463311E-10   -3.3128156E-11    1.1816842E-10    9.6969449E-12
    8.5000000E-01   -1.0690783E-14   -4.0251097E-11   -1.6497336E-10   -3.3210765E-11    1.1834291E-10    9.7053779E-12
    9.5000000E-01   -9.2873385E-15   -4.0268175E-11   -1.6531411E-10   -3.3293512E-11    1.1852261E-10    9.7148560E-12
    1.0500000E+00   -7.8810748E-15   -4.0285245E-11   -1.6565533E-10   -3.3376392E-11    1.1870688E-10    9.7252532E-12
    1.1500000E+00   -6.4720144E-15   -4.0302307E-11   -1.6599702E-10   -3.3459402E-11    1.1889514E-10    9.7364609E-12
    1.2500000E+00   -5.0601763E-15   -4.0319357E-11   -1.6633916E-10   -3.3542537E-11    1.1908692E-10    9.7483854E-12
    1.3500000E+00   -3.6455771E-15   -4.0336393E-11   -1.6668173E-10   -3.3625796E-11    1.1928181E-10    9.7609454E-12
    1.4500000E+00   -2.2282310E-15   -4.0353414E-11   -1.6702473E-10   -3.3709175E-11    1.1947946E-10    9.7740702E-12
    1.5500000E+00   -8.0815062E-16   -4.0370417E-11   -1.6736813E-10   -3.3792671E-11    1.1967957E-10    9.7876983E-12
    1.6500000E+00    0.0000000E+00   -4.0387401E-11   -1.6771195E-10   -3.3876283E-11    1.1988188E-10    9.8017759E-12
    1.7500000E+00    0.0000000E+00   -4.0404364E-11   -1.6805616E-10   -3.3960009E-11    1.2008617E-10    9.8162558E-12
    1.8500000E+00    0.0000000E+00   -4.0421303E-11   -1.6840076E-10   -3.4043847E-11    1.2029224E-10    9.8310966E-12
    1.9500000E+00    0.0000000E+00   -4.0438217E-11   -1.6874574E-10   -3.4127797E-11    1.2049992E-10    9.8462619E-12
    2.0500000E+00    0.0000000E+00   -4.0455103E-11   -1.6909111E-10   -3.4211856E-11    1.2070907E-10    9.8617197E-12
