# Time          5.0000E-02
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.2918466E-01   -4.4437118E+00   -8.6139089E+00   -3.1818460E+01    5.9869767E-03   -8.8002991E-03
    1.5000000E-01   -2.1034072E-01   -4.3912802E+00   -8.5685677E+00   -3.1408647E+01    5.9419018E-03   -8.8533578E-03
    2.5000000E-01   -1.9223958E-01   -4.3404852E+00   -8.5246158E+00   -3.1128768E+01    5.9667737E-03   -8.8355552E-03
    3.5000000E-01   -1.7482450E-01   -4.2912434E+00   -8.4819886E+00   -3.0902747E+01    5.9925117E-03   -8.8160849E-03
    4.5000000E-01   -1.5804484E-01   -4.2434493E+00   -8.4405943E+00   -3.0706913E+01    6.0189791E-03   -8.7951815E-03
    5.5000000E-01   -1.4185531E-01   -4.1970081E+00   -8.4003507E+00   -3.0530724E+01    6.0461070E-03   -8.7729992E-03
    6.5000000E-01   -1.2621524E-01   -4.1518343E+00   -8.3611837E+00   -3.0368531E+01    6.0738389E-03   -8.7496687E-03
    7.5000000E-01   -1.1108801E-01   -4.1078504E+00   -8.3230262E+00   -3.0216942E+01    6.1021281E-03   -8.7253011E-03
    8.5000000E-01   -9.6440494E-02   -4.0649862E+00   -8.2858176E+00   -3.0073748E+01    6.1309362E-03   -8.6999911E-03
    9.5000000E-01   -8.2242652E-02   -4.0231777E+00   -8.2495026E+00   -2.9937425E+01    6.1602314E-03   -8.6738197E-03
    1.0500000E+00   -6.8467162E-02   -3.9823664E+00   -8.2140309E+00   -2.9806871E+01    6.1899876E-03   -8.6468563E-03
    1.1500000E+00   -5.5089104E-02   -3.9424987E+00   -8.1793565E+00   -2.9681262E+01    6.2201827E-03   -8.6191603E-03
    1.2500000E+00   -4.2085683E-02   -3.9035256E+00   -8.1454369E+00   -2.9559961E+01    6.2507989E-03   -8.5907829E-03
    1.3500000E+00   -2.9436001E-02   -3.8654015E+00   -8.1122335E+00   -2.9442467E+01    6.2818211E-03   -8.5617680E-03
    1.4500000E+00   -1.7120851E-02   -3.8280848E+00   -8.0797103E+00   -2.9328373E+01    6.3132372E-03   -8.5321534E-03
    1.5500000E+00   -5.1225409E-03   -3.7915368E+00   -8.0478343E+00   -2.9217346E+01    6.3450372E-03   -8.5019715E-03
    1.6500000E+00    6.5752813E-03   -3.7557215E+00   -8.0165747E+00   -2.9109109E+01    6.3772129E-03   -8.4712503E-03
    1.7500000E+00    1.7987735E-02   -3.7206056E+00   -7.9859032E+00   -2.9003427E+01    6.4097580E-03   -8.4400136E-03
    1.8500000E+00    2.9128818E-02   -3.6861582E+00   -7.9557933E+00   -2.8900099E+01    6.4426674E-03   -8.4082820E-03
    1.9500000E+00    4.0011526E-02   -3.6523502E+00   -7.9262203E+00   -2.8798953E+01    6.4759372E-03   -8.3760730E-03
    2.0500000E+00    5.0647946E-02   -3.6191547E+00   -7.8971614E+00   -2.8699837E+01    6.5095648E-03   -8.3434015E-03
    2.1500000E+00    6.1049340E-02   -3.5865464E+00   -7.8685951E+00   -2.8602619E+01    6.5435483E-03   -8.3102800E-03
    2.2500000E+00    7.1226217E-02   -3.5545016E+00   -7.8405012E+00   -2.8507182E+01    6.5778866E-03   -8.2767193E-03
    2.3500000E+00    8.1188399E-02   -3.5229982E+00   -7.8128610E+00   -2.8413420E+01    6.6125796E-03   -8.2427280E-03
    2.4500000E+00    9.0945078E-02   -3.4920152E+00   -7.7856568E+00   -2.8321241E+01    6.6476275E-03   -8.2083133E-03
    2.5500000E+00    1.0050487E-01   -3.4615331E+00   -7.7588718E+00   -2.8230559E+01    6.6830312E-03   -8.1734813E-03
    2.6500000E+00    1.0987586E-01   -3.4315331E+00   -7.7324906E+00   -2.8141299E+01    6.7187923E-03   -8.1382363E-03
    2.7500000E+00    1.1906566E-01   -3.4019980E+00   -7.7064983E+00   -2.8053390E+01    6.7549124E-03   -8.1025820E-03
    2.8500000E+00    1.2808140E-01   -3.3729111E+00   -7.6808809E+00   -2.7966769E+01    6.7913941E-03   -8.0665209E-03
    2.9500000E+00    1.3692983E-01   -3.3442568E+00   -7.6556254E+00   -2.7881378E+01    6.8282399E-03   -8.0300546E-03
    3.0500000E+00    1.4561730E-01   -3.3160204E+00   -7.6307192E+00   -2.7797163E+01    6.8654529E-03   -7.9931839E-03
    3.1500000E+00    1.5414981E-01   -3.2881879E+00   -7.6061506E+00   -2.7714073E+01    6.9030365E-03   -7.9559089E-03
    3.2500000E+00    1.6253303E-01   -3.2607458E+00   -7.5819083E+00   -2.7632065E+01    6.9409943E-03   -7.9182291E-03
    3.3500000E+00    1.7077232E-01   -3.2336816E+00   -7.5579818E+00   -2.7551093E+01    6.9793303E-03   -7.8801433E-03
    3.4500000E+00    1.7887277E-01   -3.2069833E+00   -7.5343609E+00   -2.7471120E+01    7.0180488E-03   -7.8416498E-03
