# Time          1.7500E+00
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.8299303E-01   -4.6021150E+00   -8.7611406E+00   -3.2116595E+01    3.8377458E-03   -1.0949124E-02
    1.5000000E-01   -2.1863285E-01   -4.4152778E+00   -8.5905050E+00   -3.1478191E+01    5.9784367E-03   -8.8159652E-03
    2.5000000E-01   -1.9514573E-01   -4.3487315E+00   -8.5318632E+00   -3.1164503E+01    5.9741986E-03   -8.8272217E-03
    3.5000000E-01   -1.7715035E-01   -4.2978421E+00   -8.4877097E+00   -3.0930997E+01    5.9968469E-03   -8.8109221E-03
    4.5000000E-01   -1.6025092E-01   -4.2497497E+00   -8.4460517E+00   -3.0731745E+01    6.0226279E-03   -8.7907958E-03
    5.5000000E-01   -1.4398262E-01   -4.2031260E+00   -8.4056524E+00   -3.0553320E+01    6.0493250E-03   -8.7691260E-03
    6.5000000E-01   -1.2827130E-01   -4.1577874E+00   -8.3663455E+00   -3.0389491E+01    6.0766967E-03   -8.7462278E-03
    7.5000000E-01   -1.1307764E-01   -4.1136491E+00   -8.3280571E+00   -3.0236635E+01    6.1046749E-03   -8.7222346E-03
    8.5000000E-01   -9.8367923E-02   -4.0706394E+00   -8.2907253E+00   -3.0092421E+01    6.1332129E-03   -8.6972508E-03
    9.5000000E-01   -8.4111727E-02   -4.0286936E+00   -8.2542942E+00   -2.9955253E+01    6.1622727E-03   -8.6713646E-03
    1.0500000E+00   -7.0281384E-02   -3.9877526E+00   -8.2187129E+00   -2.9823982E+01    6.1918226E-03   -8.6446512E-03
    1.1500000E+00   -5.6851668E-02   -3.9477620E+00   -8.1839346E+00   -2.9697754E+01    6.2218367E-03   -8.6171752E-03
    1.2500000E+00   -4.3799516E-02   -3.9086723E+00   -8.1499167E+00   -2.9575910E+01    6.2522933E-03   -8.5889918E-03
    1.3500000E+00   -3.1103790E-02   -3.8704375E+00   -8.1166200E+00   -2.9457934E+01    6.2831745E-03   -8.5601486E-03
    1.4500000E+00   -1.8745066E-02   -3.8330155E+00   -8.0840080E+00   -2.9343407E+01    6.3144656E-03   -8.5306862E-03
    1.5500000E+00   -6.7054614E-03   -3.7963670E+00   -8.0520475E+00   -2.9231988E+01    6.3461545E-03   -8.5006397E-03
    1.6500000E+00    5.0315480E-03   -3.7604560E+00   -8.0207075E+00   -2.9123393E+01    6.3782312E-03   -8.4700391E-03
    1.7500000E+00    1.6481239E-02   -3.7252487E+00   -7.9899591E+00   -2.9017383E+01    6.4106879E-03   -8.4389102E-03
    1.8500000E+00    2.7657751E-02   -3.6907138E+00   -7.9597757E+00   -2.8913752E+01    6.4435181E-03   -8.4072751E-03
    1.9500000E+00    3.8574208E-02   -3.6568221E+00   -7.9301325E+00   -2.8812324E+01    6.4767169E-03   -8.3751527E-03
