# Time          5.0000E-02
# Units: Mol/kgw
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -6.0683204E-05    3.3421327E-05    8.9504242E-06    3.5335825E-05    1.5043747E-05    5.7939025E-08    1.0000031E-16    7.1873523E-08    3.7687082E-08    3.0257897E-09    2.2154644E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.5000000E-01   -6.1677006E-05    3.3749842E-05    9.1143202E-06    3.5372452E-05    1.5190773E-05    5.3400632E-08    1.0000031E-16    1.4538658E-07    3.8314798E-08    3.0720011E-09    2.3137090E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.5000000E-01   -6.2674369E-05    3.4079037E-05    9.2784386E-06    3.5409154E-05    1.5338167E-05    4.9327902E-08    1.0000031E-16    2.1908354E-07    3.8948528E-08    3.1190492E-09    2.4121810E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.5000000E-01   -6.3675109E-05    3.4408914E-05    9.4427797E-06    3.5445933E-05    1.5485930E-05    4.5658061E-08    1.0000031E-16    2.9296480E-07    3.9587926E-08    3.1668657E-09    2.5108744E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.5000000E-01   -6.4679082E-05    3.4739474E-05    9.6073440E-06    3.5482787E-05    1.5634061E-05    4.2341719E-08    1.0000031E-16    3.6703074E-07    4.0232721E-08    3.2153937E-09    2.6097847E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    5.5000000E-01   -6.5686166E-05    3.5070718E-05    9.7721317E-06    3.5519718E-05    1.5782563E-05    3.9336744E-08    1.0000031E-16    4.4128174E-07    4.0882688E-08    3.2645840E-09    2.7089079E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    6.5000000E-01   -6.6696255E-05    3.5402647E-05    9.9371434E-06    3.5556725E-05    1.5931436E-05    3.6607016E-08    1.0000031E-16    5.1571815E-07    4.1537632E-08    3.3143939E-09    2.8082407E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    7.5000000E-01   -6.7709260E-05    3.5735262E-05    1.0102379E-05    3.5593809E-05    1.6080681E-05    3.4121428E-08    1.0000031E-16    5.9034029E-07    4.2197389E-08    3.3647863E-09    2.9077803E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    8.5000000E-01   -6.8725103E-05    3.6068565E-05    1.0267840E-05    3.5630970E-05    1.6230297E-05    3.1853073E-08    1.0000031E-16    6.6514849E-07    4.2861817E-08    3.4157286E-09    3.0075242E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    9.5000000E-01   -6.9743718E-05    3.6402556E-05    1.0433525E-05    3.5668207E-05    1.6380286E-05    2.9778588E-08    1.0000031E-16    7.4014308E-07    4.3530792E-08    3.4671925E-09    3.1074704E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
