# Time          2.5000E+00
# Units: Mol/kgw
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -2.1888153E-05    1.1885520E-05    3.1829087E-06    1.2566786E-05    5.3499608E-06    1.2308522E-07    3.5564118E-17    2.5461916E-08    1.4042528E-08    1.1289458E-09    7.9804634E-06    2.3852804E-04    1.1681448E-04    2.9449120E-05
    1.5000000E-01   -3.8520724E-05    2.1063032E-05    5.6675431E-06    2.2160158E-05    9.4806814E-06    8.0134351E-08    6.2676691E-17    7.0941854E-08    2.4125881E-08    1.9361650E-09    1.4277336E-05    4.2037169E-04    2.0586887E-04    5.1899878E-05
    2.5000000E-01   -5.1415511E-05    2.8073873E-05    7.5926079E-06    2.9377948E-05    1.2635922E-05    6.1230168E-08    8.3038084E-17    1.3164332E-07    3.2019286E-08    2.5669816E-09    1.9375812E-05    5.5693527E-04    2.7274823E-04    6.8760274E-05
    3.5000000E-01   -5.8681428E-05    3.1912208E-05    8.6835859E-06    3.3177647E-05    1.4363008E-05    5.2325239E-08    9.3704984E-17    2.0050453E-07    3.6492643E-08    2.9228110E-09    2.2544854E-05    6.2847801E-04    3.0778490E-04    7.7593075E-05
    4.5000000E-01   -6.2230058E-05    3.3666386E-05    9.2245658E-06    3.4740039E-05    1.5151924E-05    4.7131581E-08    9.8029048E-17    2.7282085E-07    3.8694502E-08    3.0961946E-09    2.4423117E-05    6.5747945E-04    3.2198780E-04    8.1173647E-05
    5.5000000E-01   -6.4081781E-05    3.4470599E-05    9.5144676E-06    3.5283981E-05    1.5513260E-05    4.3346783E-08    9.9466205E-17    3.4642094E-07    3.9859039E-08    3.1864255E-09    2.5709357E-05    6.6711844E-04    3.2670831E-04    8.2363696E-05
    6.5000000E-01   -6.5328284E-05    3.4935725E-05    9.7146926E-06    3.5464303E-05    1.5722013E-05    4.0172610E-08    9.9872615E-17    4.2052010E-07    4.0655265E-08    3.2472918E-09    2.6784444E-05    6.6984423E-04    3.2804321E-04    8.2700226E-05
    7.5000000E-01   -6.6396917E-05    3.5300577E-05    9.8884128E-06    3.5536697E-05    1.5885689E-05    3.7351776E-08    9.9972953E-17    4.9488291E-07    4.1345358E-08    3.2998521E-09    2.7798081E-05    6.7051719E-04    3.2837278E-04    8.2783312E-05
    8.5000000E-01   -6.7422165E-05    3.5640277E-05    1.0055514E-05    3.5581538E-05    1.6038105E-05    3.4797467E-08    9.9994995E-17    5.6944872E-07    4.2011824E-08    3.3507164E-09    2.8797497E-05    6.7066503E-04    3.2844518E-04    8.2801563E-05
    9.5000000E-01   -6.8439809E-05    3.5974830E-05    1.0221294E-05    3.5620219E-05    1.6188267E-05    3.2470115E-08    9.9999366E-17    6.4420398E-07    4.2676561E-08    3.4016236E-09    2.9795278E-05    6.7069434E-04    3.2845953E-04    8.2805183E-05
    1.0500000E+00   -6.9458122E-05    3.6308890E-05    1.0386985E-05    3.5657714E-05    1.6338269E-05    3.0343281E-08    1.0000016E-16    7.1914615E-07    4.3344573E-08    3.4529564E-09    3.0794340E-05    6.7069965E-04    3.2846214E-04    8.2805839E-05
    1.1500000E+00   -7.0478773E-05    3.6643420E-05    1.0552844E-05    3.5695053E-05    1.6488546E-05    2.8395453E-08    1.0000029E-16    7.9427502E-07    4.4016813E-08    3.5047743E-09    3.1795274E-05    6.7070054E-04    3.2846257E-04    8.2805948E-05
    1.2500000E+00   -7.1502035E-05    3.6978604E-05    1.0718918E-05    3.5732430E-05    1.6639181E-05    2.6608087E-08    1.0000031E-16    8.6959077E-07    4.4693387E-08    3.5570707E-09    3.2798177E-05    6.7070068E-04    3.2846264E-04    8.2805965E-05
    1.3500000E+00   -7.2527917E-05    3.7314473E-05    1.0885216E-05    3.5769877E-05    1.6790187E-05    2.4964960E-08    1.0000031E-16    9.4509370E-07    4.5374247E-08    3.6098282E-09    3.3803056E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.4500000E+00   -7.3556389E-05    3.7651032E-05    1.1051740E-05    3.5807401E-05    1.6941568E-05    2.3451805E-08    1.0000031E-16    1.0207841E-06    4.6059325E-08    3.6630294E-09    3.4809903E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.5500000E+00   -7.4587416E-05    3.7988285E-05    1.1218490E-05    3.5845002E-05    1.7093324E-05    2.2056033E-08    1.0000031E-16    1.0966622E-06    4.6748561E-08    3.7166587E-09    3.5818706E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.6500000E+00   -7.5620970E-05    3.8326230E-05    1.1385466E-05    3.5882680E-05    1.7245457E-05    2.0766504E-08    1.0000031E-16    1.1727283E-06    4.7441900E-08    3.7707022E-09    3.6829458E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.7500000E+00   -7.6657022E-05    3.8664871E-05    1.1552668E-05    3.5920435E-05    1.7397965E-05    1.9573333E-08    1.0000031E-16    1.2489826E-06    4.8139293E-08    3.8251477E-09    3.7842152E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.8500000E+00   -7.7695549E-05    3.9004206E-05    1.1720098E-05    3.5958268E-05    1.7550851E-05    1.8467726E-08    1.0000031E-16    1.3254255E-06    4.8840699E-08    3.8799841E-09    3.8856782E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.9500000E+00   -7.8736530E-05    3.9344237E-05    1.1887754E-05    3.5996179E-05    1.7704114E-05    1.7441841E-08    1.0000031E-16    1.4020571E-06    4.9546081E-08    3.9352019E-09    3.9873343E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.0500000E+00   -7.9779947E-05    3.9684965E-05    1.2055637E-05    3.6034167E-05    1.7857755E-05    1.6488668E-08    1.0000031E-16    1.4788777E-06    5.0255406E-08    3.9907923E-09    4.0891829E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.1500000E+00   -8.0825784E-05    4.0026391E-05    1.2223748E-05    3.6072233E-05    1.8011775E-05    1.5601927E-08    1.0000031E-16    1.5558876E-06    5.0968647E-08    4.0467477E-09    4.1912237E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.2500000E+00   -8.1874025E-05    4.0368515E-05    1.2392086E-05    3.6110377E-05    1.8166174E-05    1.4775978E-08    1.0000031E-16    1.6330870E-06    5.1685779E-08    4.1030612E-09    4.2934562E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.3500000E+00   -8.2924660E-05    4.0711337E-05    1.2560652E-05    3.6148599E-05    1.8320952E-05    1.4005751E-08    1.0000031E-16    1.7104762E-06    5.2406779E-08    4.1597266E-09    4.3958802E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.4500000E+00   -8.3977675E-05    4.1054860E-05    1.2729445E-05    3.6186899E-05    1.8476111E-05    1.3286671E-08    1.0000031E-16    1.7880554E-06    5.3131629E-08    4.2167385E-09    4.4984954E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.5500000E+00   -8.5033062E-05    4.1399083E-05    1.2898467E-05    3.6225277E-05    1.8631650E-05    1.2614610E-08    1.0000031E-16    1.8658248E-06    5.3860312E-08    4.2740921E-09    4.6013015E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.6500000E+00   -8.6090811E-05    4.1744007E-05    1.3067716E-05    3.6263733E-05    1.8787569E-05    1.1985832E-08    1.0000031E-16    1.9437847E-06    5.4592814E-08    4.3317830E-09    4.7042983E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.7500000E+00   -8.7150916E-05    4.2089634E-05    1.3237194E-05    3.6302267E-05    1.8943871E-05    1.1396952E-08    1.0000031E-16    2.0219353E-06    5.5329122E-08    4.3898072E-09    4.8074858E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
