# Time          7.0000E+00
# Units: Volume % (m^3 mineral/m^3 porous medium)
    Distance        Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02    2.9999987E+01    2.0268858E+01    1.6424419E+01    4.0754042E+00    8.6966380E+00    7.1019183E-01
    1.5000000E-01    2.9999989E+01    2.0281927E+01    1.6475467E+01    4.0907131E+00    8.6600442E+00    7.0716683E-01
    2.5000000E-01    2.9999990E+01    2.0295019E+01    1.6526675E+01    4.1060765E+00    8.6237755E+00    7.0417292E-01
    3.5000000E-01    2.9999992E+01    2.0308135E+01    1.6578037E+01    4.1214926E+00    8.5874300E+00    7.0117640E-01
    4.5000000E-01    2.9999993E+01    2.0321272E+01    1.6629549E+01    4.1369600E+00    8.5510075E+00    6.9817685E-01
    5.5000000E-01    2.9999994E+01    2.0334430E+01    1.6681206E+01    4.1524772E+00    8.5145083E+00    6.9517393E-01
    6.5000000E-01    2.9999995E+01    2.0347608E+01    1.6733003E+01    4.1680431E+00    8.4779331E+00    6.9216737E-01
    7.5000000E-01    2.9999996E+01    2.0360805E+01    1.6784936E+01    4.1836565E+00    8.4412822E+00    6.8915693E-01
    8.5000000E-01    2.9999997E+01    2.0374020E+01    1.6837003E+01    4.1993165E+00    8.4045563E+00    6.8614241E-01
    9.5000000E-01    2.9999998E+01    2.0387253E+01    1.6889200E+01    4.2150221E+00    8.3677559E+00    6.8312364E-01
    1.0500000E+00    2.9999998E+01    2.0400503E+01    1.6941523E+01    4.2307727E+00    8.3308815E+00    6.8010047E-01
    1.1500000E+00    2.9999999E+01    2.0413769E+01    1.6993972E+01    4.2465675E+00    8.2939337E+00    6.7707277E-01
    1.2500000E+00    2.9999999E+01    2.0427051E+01    1.7046544E+01    4.2624059E+00    8.2569128E+00    6.7404043E-01
    1.3500000E+00    3.0000000E+01    2.0440349E+01    1.7099237E+01    4.2782874E+00    8.2198192E+00    6.7100334E-01
    1.4500000E+00    3.0000000E+01    2.0453662E+01    1.7152049E+01    4.2942115E+00    8.1826534E+00    6.6796141E-01
    1.5500000E+00    3.0000000E+01    2.0466989E+01    1.7204980E+01    4.3101779E+00    8.1454155E+00    6.6491456E-01
    1.6500000E+00    3.0000000E+01    2.0480331E+01    1.7258027E+01    4.3261862E+00    8.1081058E+00    6.6186272E-01
