# Time          7.0000E+00
# Units: Log10 mol/kgw
    Distance      pH               H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-              Al(OH)2+         AlO2-            AlOH++           HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          KOH(aq)          NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            NaCO3-           NaHCO3(aq)   
    5.0000000E-02    5.5154486E+00   -5.5095857E+00   -4.5998165E+00   -5.1719838E+00   -4.5755451E+00   -4.9464380E+00   -7.4788925E+00   -1.6123755E+01   -7.2711501E+00   -7.5448436E+00   -8.6401303E+00   -4.7777094E+00   -3.3413829E+00   -3.6072704E+00   -4.2057026E+00   -8.1801052E+00   -1.0386640E+01   -7.4951756E+00   -4.3119456E+00   -1.6682868E+01   -9.0272599E+00   -9.0509731E+00   -9.4730263E+00   -1.1040988E+01   -1.4122552E+01   -1.5828567E+01   -9.6394781E+00   -1.2262086E+01   -1.4486239E+01   -9.1246132E+00   -9.3004185E+00   -1.3197787E+01   -8.6151596E+00
    1.5000000E-01    5.5413424E+00   -5.5365012E+00   -4.7739161E+00   -5.3407348E+00   -4.7552874E+00   -5.1205875E+00   -7.4133938E+00   -1.6304165E+01   -7.0478394E+00   -7.7085469E+00   -8.8045447E+00   -4.9288152E+00   -3.5242562E+00   -3.7876810E+00   -4.3861123E+00   -8.0546667E+00   -1.0209414E+01   -7.3987974E+00   -4.4699886E+00   -1.6786431E+01   -8.8748642E+00   -9.2562054E+00   -9.5993018E+00   -1.1388012E+01   -1.4264338E+01   -1.5823318E+01   -9.9918578E+00   -1.2560339E+01   -1.4633382E+01   -9.0997818E+00   -9.4357342E+00   -1.3502977E+01   -8.9451802E+00
    2.5000000E-01    5.5677200E+00   -5.5635110E+00   -4.9003251E+00   -5.4607019E+00   -4.8886774E+00   -5.2470438E+00   -7.3971920E+00   -1.6438397E+01   -6.9355952E+00   -7.8236641E+00   -8.9204195E+00   -5.0289910E+00   -3.6611763E+00   -3.9219125E+00   -4.5203432E+00   -7.9806639E+00   -1.0082656E+01   -7.3531214E+00   -4.5811849E+00   -1.6836463E+01   -8.7738299E+00   -9.4161561E+00   -9.6737539E+00   -1.1640896E+01   -1.4357269E+01   -1.5821664E+01   -1.0251188E+01   -1.2759895E+01   -1.4732759E+01   -9.0740576E+00   -9.5225021E+00   -1.3713554E+01   -9.1814802E+00
    3.5000000E-01    5.5778505E+00   -5.5737373E+00   -4.9196483E+00   -5.4759594E+00   -4.9125256E+00   -5.2663896E+00   -7.4241743E+00   -1.6462799E+01   -6.8508109E+00   -7.8393228E+00   -8.9365811E+00   -5.0331911E+00   -3.6866664E+00   -3.9463148E+00   -4.5447453E+00   -7.9866202E+00   -1.0068352E+01   -7.3695030E+00   -4.5966433E+00   -1.6820797E+01   -8.7695569E+00   -9.4505894E+00   -9.6679223E+00   -1.1680358E+01   -1.4362297E+01   -1.5826485E+01   -1.0294716E+01   -1.2773190E+01   -1.4741853E+01   -9.0640258E+00   -9.5281247E+00   -1.3738106E+01   -9.2160645E+00
    4.5000000E-01    5.5748729E+00   -5.5705446E+00   -4.8717105E+00   -5.4266592E+00   -4.8661317E+00   -5.2184526E+00   -7.4658258E+00   -1.6416596E+01   -6.7724601E+00   -7.7934306E+00   -8.8909145E+00   -4.9810681E+00   -3.6401625E+00   -3.9001119E+00   -4.4985425E+00   -8.0359440E+00   -1.0123630E+01   -7.4151872E+00   -4.5528951E+00   -1.6773742E+01   -8.8220802E+00   -9.4016322E+00   -9.6185549E+00   -1.1585300E+01   -1.4316198E+01   -1.5834269E+01   -1.0201020E+01   -1.2676327E+01   -1.4697115E+01   -9.0667816E+00   -9.4866922E+00   -1.3649619E+01   -9.1248216E+00
    5.5000000E-01    5.5707799E+00   -5.5661872E+00   -4.8164257E+00   -5.3704646E+00   -4.8118861E+00   -5.1631652E+00   -7.5095218E+00   -1.6362480E+01   -6.6978427E+00   -7.7402318E+00   -8.8378680E+00   -4.9231728E+00   -3.5856316E+00   -3.8459953E+00   -4.4444261E+00   -8.0899362E+00   -1.0185809E+01   -7.4642716E+00   -4.5021839E+00   -1.6722942E+01   -8.8804387E+00   -9.3436977E+00   -9.5644793E+00   -1.1475538E+01   -1.4264371E+01   -1.5841708E+01   -1.0092166E+01   -1.2567513E+01   -1.4646196E+01   -9.0706015E+00   -9.4392592E+00   -1.3547988E+01   -9.0193713E+00
    6.5000000E-01    5.5700610E+00   -5.5652748E+00   -4.7775664E+00   -5.3300958E+00   -4.7747566E+00   -5.1243072E+00   -7.5498654E+00   -1.6325566E+01   -6.6287834E+00   -7.7018180E+00   -8.7996402E+00   -4.8792798E+00   -3.5486617E+00   -3.8090812E+00   -4.4075121E+00   -8.1332622E+00   -1.0230572E+01   -7.5062814E+00   -4.4657324E+00   -1.6679686E+01   -8.9246840E+00   -9.3062666E+00   -9.5211047E+00   -1.1398658E+01   -1.4224923E+01   -1.5848013E+01   -1.0016794E+01   -1.2485679E+01   -1.4608256E+01   -9.0711201E+00   -9.4029292E+00   -1.3473596E+01   -8.9444604E+00
    7.5000000E-01    5.5722218E+00   -5.5673158E+00   -4.7537239E+00   -5.3041664E+00   -4.7533275E+00   -5.1004698E+00   -7.5865837E+00   -1.6304438E+01   -6.5662620E+00   -7.6771778E+00   -8.7752255E+00   -4.8482086E+00   -3.5277818E+00   -3.7879539E+00   -4.3863849E+00   -8.1666153E+00   -1.0259604E+01   -7.5414250E+00   -4.4425674E+00   -1.6643798E+01   -8.9560006E+00   -9.2874251E+00   -9.4877486E+00   -1.1351851E+01   -1.4196958E+01   -1.5853450E+01   -9.9720728E+00   -1.2428728E+01   -1.4582377E+01   -9.0688352E+00   -9.3772333E+00   -1.3424552E+01   -8.8977011E+00
    8.5000000E-01    5.5751557E+00   -5.5701507E+00   -4.7342298E+00   -5.2824875E+00   -4.7363899E+00   -5.0809806E+00   -7.6217560E+00   -1.6287822E+01   -6.5094375E+00   -7.6565170E+00   -8.7547911E+00   -4.8211564E+00   -3.5114964E+00   -3.7713380E+00   -4.3697690E+00   -8.1967102E+00   -1.0283831E+01   -7.5741476E+00   -4.4232454E+00   -1.6610467E+01   -8.9832643E+00   -9.2738466E+00   -9.4576597E+00   -1.1313762E+01   -1.4172448E+01   -1.5858388E+01   -9.9361686E+00   -1.2379350E+01   -1.4560052E+01   -9.0657986E+00   -9.3546711E+00   -1.3382904E+01   -8.8590900E+00
    9.5000000E-01    5.5768011E+00   -5.5716613E+00   -4.7089424E+00   -5.2554673E+00   -4.7131543E+00   -5.0556944E+00   -7.6569114E+00   -1.6264847E+01   -6.4564557E+00   -7.6304557E+00   -8.7289108E+00   -4.7899696E+00   -3.4887161E+00   -3.7483624E+00   -4.3467934E+00   -8.2296497E+00   -1.0313480E+01   -7.6083158E+00   -4.3986798E+00   -1.6575431E+01   -9.0146984E+00   -9.2526573E+00   -9.4246875E+00   -1.1264048E+01   -1.4143923E+01   -1.5863028E+01   -9.8881857E+00   -1.2321370E+01   -1.4533259E+01   -9.0640134E+00   -9.3280434E+00   -1.3331545E+01   -8.8095162E+00
