# Time series at grid cell: 184   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                1.04041612675633E-04   4.17915032539087E-05   4.32093811864775E-05   4.78109140142161E-05   2.28462882977952E-10   1.00000313914823E-16   1.64554570072021E-05   2.29490742224938E-04   6.70700700809600E-04   6.33304523316056E+00   2.17263849453372E-07   1.72436032106700E-08
  2.00000E-02                1.04041623599023E-04   4.17915065915487E-05   4.32093824043417E-05   4.78109201119589E-05   2.28462812430404E-10   1.00000313914823E-16   1.64554600560735E-05   2.29490770831093E-04   6.70700700809601E-04   6.33304532580188E+00   2.17263909981767E-07   1.72436080696594E-08
  3.00000E-02                1.04041634522375E-04   4.17915099292315E-05   4.32093836222019E-05   4.78109262096777E-05   2.28462741883526E-10   1.00000313914823E-16   1.64554631049329E-05   2.29490799437260E-04   6.70700700809600E-04   6.33304541844298E+00   2.17263970509553E-07   1.72436129285951E-08
  4.00000E-02                1.04041645445691E-04   4.17915132669571E-05   4.32093848400579E-05   4.78109323073724E-05   2.28462671336769E-10   1.00000313914823E-16   1.64554661537802E-05   2.29490828043438E-04   6.70700700809601E-04   6.33304551108389E+00   2.17264031036732E-07   1.72436177874771E-08
  5.00000E-02                1.04041656368970E-04   4.17915166047255E-05   4.32093860579097E-05   4.78109384050429E-05   2.28462600790134E-10   1.00000313914823E-16   1.64554692026155E-05   2.29490856649628E-04   6.70700700809600E-04   6.33304560372459E+00   2.17264091563304E-07   1.72436226463053E-08
  5.00011E-02                1.04041656370190E-04   4.17915166050986E-05   4.32093860580458E-05   4.78109384057245E-05   2.28462600804126E-10   1.00000313914823E-16   1.64554692029563E-05   2.29490856652825E-04   6.70700700809600E-04   6.33304560324233E+00   2.17264091570069E-07   1.72436226468484E-08
  5.00034E-02                1.04041656372632E-04   4.17915166058446E-05   4.32093860583181E-05   4.78109384070874E-05   2.28462600829344E-10   1.00000313914823E-16   1.64554692036378E-05   2.29490856659220E-04   6.70700700809601E-04   6.33304560326308E+00   2.17264091583599E-07   1.72436226479345E-08
  5.00078E-02                1.04041656377516E-04   4.17915166073369E-05   4.32093860588625E-05   4.78109384098135E-05   2.28462600870030E-10   1.00000313914823E-16   1.64554692050008E-05   2.29490856672009E-04   6.70700700809599E-04   6.33304560330461E+00   2.17264091610659E-07   1.72436226501067E-08
  5.00168E-02                1.04041656387282E-04   4.17915166103212E-05   4.32093860599515E-05   4.78109384152656E-05   2.28462600920675E-10   1.00000313914823E-16   1.64554692077269E-05   2.29490856697587E-04   6.70700700809601E-04   6.33304560338766E+00   2.17264091664778E-07   1.72436226544512E-08
  5.00346E-02                1.04041656406816E-04   4.17915166162901E-05   4.32093860621294E-05   4.78109384261698E-05   2.28462600942099E-10   1.00000313914823E-16   1.64554692131790E-05   2.29490856748742E-04   6.70700700809600E-04   6.33304560355377E+00   2.17264091773017E-07   1.72436226631402E-08
  5.00704E-02                1.04041656445884E-04   4.17915166282277E-05   4.32093860664851E-05   4.78109384479784E-05   2.28462600831208E-10   1.00000313914823E-16   1.64554692240833E-05   2.29490856851054E-04   6.70700700809600E-04   6.33304560388599E+00   2.17264091989494E-07   1.72436226805181E-08
  5.01419E-02                1.04041656524019E-04   4.17915166521031E-05   4.32093860751965E-05   4.78109384915955E-05   2.28462600414566E-10   1.00000313914823E-16   1.64554692458918E-05   2.29490857055676E-04   6.70700700809599E-04   6.33304560455041E+00   2.17264092422445E-07   1.72436227152736E-08
  5.02850E-02                1.04041656680289E-04   4.17915166998537E-05   4.32093860926193E-05   4.78109385788297E-05   2.28462599434544E-10   1.00000313914823E-16   1.64554692895089E-05   2.29490857464921E-04   6.70700700809599E-04   6.33304560587927E+00   2.17264093288347E-07   1.72436227847848E-08
  5.05711E-02                1.04041656992829E-04   4.17915167953550E-05   4.32093861274648E-05   4.78109387532981E-05   2.28462597413511E-10   1.00000313914823E-16   1.64554693767431E-05   2.29490858283409E-04   6.70700700809598E-04   6.33304560853698E+00   2.17264095020151E-07   1.72436229238070E-08
  5.11434E-02                1.04041657617909E-04   4.17915169863578E-05   4.32093861971558E-05   4.78109391022347E-05   2.28462593358075E-10   1.00000313914823E-16   1.64554695512114E-05   2.29490859920387E-04   6.70700700809599E-04   6.33304561385240E+00   2.17264098483756E-07   1.72436232018511E-08
  5.22879E-02                1.04041658868069E-04   4.17915173683640E-05   4.32093863365379E-05   4.78109398001077E-05   2.28462585245696E-10   1.00000313914823E-16   1.64554699001479E-05   2.29490863194343E-04   6.70700700809600E-04   6.33304562448325E+00   2.17264105410958E-07   1.72436237579388E-08
  5.45769E-02                1.04041661368386E-04   4.17915181323783E-05   4.32093866153018E-05   4.78109411958523E-05   2.28462569020857E-10   1.00000313914823E-16   1.64554705980202E-05   2.29490869742256E-04   6.70700700809600E-04   6.33304564574492E+00   2.17264119265331E-07   1.72436248701112E-08
  5.91548E-02                1.04041666369013E-04   4.17915196604161E-05   4.32093871728288E-05   4.78109439873365E-05   2.28462536571200E-10   1.00000313914823E-16   1.64554719937623E-05   2.29490882838084E-04   6.70700700809601E-04   6.33304568826823E+00   2.17264146973948E-07   1.72436270944448E-08
  6.83108E-02                1.04041676370236E-04   4.17915227165274E-05   4.32093882878794E-05   4.78109495702847E-05   2.28462471671981E-10   1.00000313914823E-16   1.64554747852365E-05   2.29490909029749E-04   6.70700700809600E-04   6.33304577331467E+00   2.17264202390674E-07   1.72436315430670E-08
  7.83108E-02                1.04041687293410E-04   4.17915260544167E-05   4.32093895057197E-05   4.78109556678870E-05   2.28462401068083E-10   1.00000313914823E-16   1.64554778340376E-05   2.29490937635970E-04   6.70700700809600E-04   6.33304586599638E+00   2.17264262915527E-07   1.72436364017432E-08
  8.83108E-02                1.04041698216548E-04   4.17915293923488E-05   4.32093907235558E-05   4.78109617654653E-05   2.28462330521711E-10   1.00000313914823E-16   1.64554808828267E-05   2.29490966242203E-04   6.70700700809601E-04   6.33304595863631E+00   2.17264323439773E-07   1.72436412603657E-08
  9.83108E-02                1.04041709139648E-04   4.17915327303234E-05   4.32093919413878E-05   4.78109678630194E-05   2.28462259975652E-10   1.00000313914823E-16   1.64554839316038E-05   2.29490994848447E-04   6.70700700809600E-04   6.33304605127603E+00   2.17264383963412E-07   1.72436461189346E-08
  1.08311E-01                1.04041720062712E-04   4.17915360683407E-05   4.32093931592157E-05   4.78109739605494E-05   2.28462189429710E-10   1.00000313914823E-16   1.64554869803688E-05   2.29491023454702E-04   6.70700700809600E-04   6.33304614391556E+00   2.17264444486445E-07   1.72436509774499E-08
  1.18311E-01                1.04041730985739E-04   4.17915394064005E-05   4.32093943770394E-05   4.78109800580554E-05   2.28462118883891E-10   1.00000313914823E-16   1.64554900291217E-05   2.29491052060967E-04   6.70700700809601E-04   6.33304623655487E+00   2.17264505008872E-07   1.72436558359116E-08
  1.28311E-01                1.04041741908728E-04   4.17915427445029E-05   4.32093955948592E-05   4.78109861555372E-05   2.28462048338192E-10   1.00000313914823E-16   1.64554930778626E-05   2.29491080667244E-04   6.70700700809601E-04   6.33304632919399E+00   2.17264565530693E-07   1.72436606943197E-08
  1.38311E-01                1.04041752831681E-04   4.17915460826478E-05   4.32093968126747E-05   4.78109922529949E-05   2.28461977792612E-10   1.00000313914823E-16   1.64554961265915E-05   2.29491109273531E-04   6.70700700809601E-04   6.33304642183290E+00   2.17264626051909E-07   1.72436655526742E-08
  1.48311E-01                1.04041763754597E-04   4.17915494208352E-05   4.32093980304861E-05   4.78109983504285E-05   2.28461907247152E-10   1.00000313914823E-16   1.64554991753083E-05   2.29491137879829E-04   6.70700700809601E-04   6.33304651447161E+00   2.17264686572518E-07   1.72436704109752E-08
  1.58311E-01                1.04041774677477E-04   4.17915527590649E-05   4.32093992482933E-05   4.78110044478380E-05   2.28461836701814E-10   1.00000313914823E-16   1.64555022240130E-05   2.29491166486138E-04   6.70700700809601E-04   6.33304660711011E+00   2.17264747092523E-07   1.72436752692226E-08
  1.68311E-01                1.04041785600319E-04   4.17915560973371E-05   4.32094004660965E-05   4.78110105452233E-05   2.28461766156596E-10   1.00000313914823E-16   1.64555052727057E-05   2.29491195092457E-04   6.70700700809601E-04   6.33304669974842E+00   2.17264807611922E-07   1.72436801274166E-08
  1.78311E-01                1.04041796523124E-04   4.17915594356517E-05   4.32094016838956E-05   4.78110166425846E-05   2.28461695611499E-10   1.00000313914823E-16   1.64555083213863E-05   2.29491223698787E-04   6.70700700809601E-04   6.33304679238652E+00   2.17264868130717E-07   1.72436849855570E-08
  1.88311E-01                1.04041807445893E-04   4.17915627740085E-05   4.32094029016905E-05   4.78110227399218E-05   2.28461625066521E-10   1.00000313914823E-16   1.64555113700549E-05   2.29491252305127E-04   6.70700700809602E-04   6.33304688502441E+00   2.17264928648906E-07   1.72436898436439E-08
  1.98311E-01                1.04041818368625E-04   4.17915661124077E-05   4.32094041194814E-05   4.78110288372349E-05   2.28461554521666E-10   1.00000313914823E-16   1.64555144187115E-05   2.29491280911478E-04   6.70700700809601E-04   6.33304697766211E+00   2.17264989166492E-07   1.72436947016773E-08
  2.08311E-01                1.04041829291319E-04   4.17915694508491E-05   4.32094053372681E-05   4.78110349345238E-05   2.28461483976931E-10   1.00000313914823E-16   1.64555174673559E-05   2.29491309517839E-04   6.70700700809602E-04   6.33304707029960E+00   2.17265049683472E-07   1.72436995596573E-08
  2.18311E-01                1.04041840213977E-04   4.17915727893328E-05   4.32094065550507E-05   4.78110410317887E-05   2.28461413432318E-10   1.00000313914823E-16   1.64555205159884E-05   2.29491338124210E-04   6.70700700809601E-04   6.33304716293688E+00   2.17265110199849E-07   1.72437044175839E-08
  2.28311E-01                1.04041851136598E-04   4.17915761278587E-05   4.32094077728292E-05   4.78110471290294E-05   2.28461342887824E-10   1.00000313914823E-16   1.64555235646088E-05   2.29491366730592E-04   6.70700700809602E-04   6.33304725557396E+00   2.17265170715622E-07   1.72437092754570E-08
  2.38311E-01                1.04041862059182E-04   4.17915794664268E-05   4.32094089906036E-05   4.78110532262460E-05   2.28461272343451E-10   1.00000313914823E-16   1.64555266132171E-05   2.29491395336983E-04   6.70700700809600E-04   6.33304734821084E+00   2.17265231230791E-07   1.72437141332767E-08
  2.48311E-01                1.04041872981729E-04   4.17915828050370E-05   4.32094102083739E-05   4.78110593234386E-05   2.28461201799202E-10   1.00000313914823E-16   1.64555296618134E-05   2.29491423943385E-04   6.70700700809601E-04   6.33304744084752E+00   2.17265291745357E-07   1.72437189910430E-08
  2.58311E-01                1.04041883904240E-04   4.17915861436893E-05   4.32094114261401E-05   4.78110654206070E-05   2.28461131255072E-10   1.00000313914823E-16   1.64555327103976E-05   2.29491452549797E-04   6.70700700809601E-04   6.33304753348399E+00   2.17265352259319E-07   1.72437238487560E-08
  2.68311E-01                1.04041894826713E-04   4.17915894823837E-05   4.32094126439022E-05   4.78110715177514E-05   2.28461060711065E-10   1.00000313914823E-16   1.64555357589698E-05   2.29491481156219E-04   6.70700700809600E-04   6.33304762612025E+00   2.17265412772678E-07   1.72437287064156E-08
