# Time series at grid cell:  85   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                6.21206800846031E-05   2.28725630388437E-05   3.85355568533497E-05   2.81048051485595E-05   1.51800842747496E-09   1.00000313914797E-16   6.60240257437576E-06   1.07529683152719E-04   6.70700700809431E-04   5.94267116004528E+00   1.01478881013441E-07   8.04643436416890E-09
  2.00000E-02                6.21206900567259E-05   2.28725663269780E-05   3.85355579651558E-05   2.81048106249195E-05   1.51800734754005E-09   1.00000313914797E-16   6.60240531255576E-06   1.07529709747816E-04   6.70700700809431E-04   5.94267127753521E+00   1.01478932847189E-07   8.04643852704202E-09
  3.00000E-02                6.21207000288117E-05   2.28725696150980E-05   3.85355590769579E-05   2.81048161012554E-05   1.51800626762777E-09   1.00000313914797E-16   6.60240805072371E-06   1.07529736342809E-04   6.70700700809430E-04   5.94267139502459E+00   1.01478984680684E-07   8.04644268988645E-09
  4.00000E-02                6.21207100008608E-05   2.28725729032036E-05   3.85355601887558E-05   2.81048215775672E-05   1.51800518772103E-09   1.00000313914797E-16   6.60241078887962E-06   1.07529762937700E-04   6.70700700809431E-04   5.94267151251346E+00   1.01479036513925E-07   8.04644685270221E-09
  5.00000E-02                6.21207199728729E-05   2.28725761912949E-05   3.85355613005496E-05   2.81048270538549E-05   1.51800410781970E-09   1.00000313914797E-16   6.60241352702346E-06   1.07529789532488E-04   6.70700700809430E-04   5.94267163000184E+00   1.01479088346915E-07   8.04645101548928E-09
  5.00011E-02                6.21207199739874E-05   2.28725761916624E-05   3.85355613006739E-05   2.81048270544670E-05   1.51800410786507E-09   1.00000313914797E-16   6.60241352732950E-06   1.07529789535461E-04   6.70700700809430E-04   5.94267162946596E+00   1.01479088352709E-07   8.04645101595461E-09
  5.00034E-02                6.21207199762165E-05   2.28725761923974E-05   3.85355613009224E-05   2.81048270556911E-05   1.51800410794537E-09   1.00000313914797E-16   6.60241352794156E-06   1.07529789541406E-04   6.70700700809430E-04   5.94267162949225E+00   1.01479088364298E-07   8.04645101688531E-09
  5.00078E-02                6.21207199806746E-05   2.28725761938674E-05   3.85355613014195E-05   2.81048270581394E-05   1.51800410806665E-09   1.00000313914797E-16   6.60241352916570E-06   1.07529789553296E-04   6.70700700809430E-04   5.94267162954490E+00   1.01479088387474E-07   8.04645101874668E-09
  5.00168E-02                6.21207199895909E-05   2.28725761968074E-05   3.85355613024135E-05   2.81048270630359E-05   1.51800410817005E-09   1.00000313914797E-16   6.60241353161397E-06   1.07529789577076E-04   6.70700700809430E-04   5.94267162965020E+00   1.01479088433826E-07   8.04645102246933E-09
  5.00346E-02                6.21207200074236E-05   2.28725762026874E-05   3.85355613044018E-05   2.81048270728290E-05   1.51800410793473E-09   1.00000313914797E-16   6.60241353651051E-06   1.07529789624637E-04   6.70700700809429E-04   5.94267162986081E+00   1.01479088526529E-07   8.04645102991434E-09
  5.00704E-02                6.21207200430888E-05   2.28725762144474E-05   3.85355613083781E-05   2.81048270924152E-05   1.51800410629955E-09   1.00000313914797E-16   6.60241354630358E-06   1.07529789719756E-04   6.70700700809430E-04   5.94267163028201E+00   1.01479088711925E-07   8.04645104480383E-09
  5.01419E-02                6.21207201144194E-05   2.28725762379673E-05   3.85355613163308E-05   2.81048271315874E-05   1.51800410074252E-09   1.00000313914797E-16   6.60241356588973E-06   1.07529789909993E-04   6.70700700809430E-04   5.94267163112439E+00   1.01479089082704E-07   8.04645107458166E-09
  5.02850E-02                6.21207202570806E-05   2.28725762850072E-05   3.85355613322363E-05   2.81048272099321E-05   1.51800408665320E-09   1.00000313914797E-16   6.60241360506203E-06   1.07529790290463E-04   6.70700700809430E-04   5.94267163280913E+00   1.01479089824243E-07   8.04645113413581E-09
  5.05711E-02                6.21207205424028E-05   2.28725763790871E-05   3.85355613640473E-05   2.81048273666212E-05   1.51800405616297E-09   1.00000313914797E-16   6.60241368340661E-06   1.07529791051401E-04   6.70700700809429E-04   5.94267163617860E+00   1.01479091307306E-07   8.04645125324291E-09
  5.11434E-02                6.21207211130469E-05   2.28725765672467E-05   3.85355614276692E-05   2.81048276799995E-05   1.51800399418797E-09   1.00000313914797E-16   6.60241384009573E-06   1.07529792573277E-04   6.70700700809430E-04   5.94267164291753E+00   1.01479094273426E-07   8.04645149145648E-09
  5.22879E-02                6.21207222543349E-05   2.28725769435658E-05   3.85355615549130E-05   2.81048283067557E-05   1.51800387001191E-09   1.00000313914797E-16   6.60241415347383E-06   1.07529795617026E-04   6.70700700809430E-04   5.94267165639538E+00   1.01479100205661E-07   8.04645196788313E-09
  5.45769E-02                6.21207245369089E-05   2.28725776962032E-05   3.85355618094005E-05   2.81048295602668E-05   1.51800362163361E-09   1.00000313914797E-16   6.60241478022939E-06   1.07529801704519E-04   6.70700700809430E-04   5.94267168335107E+00   1.01479112070116E-07   8.04645292073495E-09
  5.91548E-02                6.21207291020489E-05   2.28725792014750E-05   3.85355623183744E-05   2.81048320672839E-05   1.51800312487652E-09   1.00000313914797E-16   6.60241603373790E-06   1.07529813879483E-04   6.70700700809430E-04   5.94267173726234E+00   1.01479135798973E-07   8.04645482643246E-09
  6.83108E-02                6.21207382322984E-05   2.28725822120066E-05   3.85355633363188E-05   2.81048370812979E-05   1.51800213136666E-09   1.00000313914797E-16   6.60241854074490E-06   1.07529838229326E-04   6.70700700809430E-04   5.94267184508445E+00   1.01479183256477E-07   8.04645863780347E-09
  7.83108E-02                6.21207482042060E-05   2.28725855000573E-05   3.85355644481010E-05   2.81048425575174E-05   1.51800105057160E-09   1.00000313914797E-16   6.60242127885463E-06   1.07529864823822E-04   6.70700700809430E-04   5.94267196261776E+00   1.01479235088745E-07   8.04646280050888E-09
  8.83108E-02                6.21207581760768E-05   2.28725887880937E-05   3.85355655598790E-05   2.81048480337127E-05   1.51799997068475E-09   1.00000313914797E-16   6.60242401695232E-06   1.07529891418217E-04   6.70700700809431E-04   5.94267208010421E+00   1.01479286920766E-07   8.04646696318608E-09
  9.83108E-02                6.21207681479106E-05   2.28725920761157E-05   3.85355666716529E-05   2.81048535098840E-05   1.51799889080956E-09   1.00000313914797E-16   6.60242675503796E-06   1.07529918012508E-04   6.70700700809430E-04   5.94267219759016E+00   1.01479338752534E-07   8.04647112583461E-09
  1.08311E-01                6.21207781197075E-05   2.28725953641234E-05   3.85355677834227E-05   2.81048589860311E-05   1.51799781093986E-09   1.00000313914797E-16   6.60242949311153E-06   1.07529944606697E-04   6.70700700809431E-04   5.94267231507560E+00   1.01479390584050E-07   8.04647528845446E-09
  1.18311E-01                6.21207880914676E-05   2.28725986521168E-05   3.85355688951884E-05   2.81048644621542E-05   1.51799673107556E-09   1.00000313914797E-16   6.60243223117307E-06   1.07529971200783E-04   6.70700700809431E-04   5.94267243256055E+00   1.01479442415312E-07   8.04647945104564E-09
  1.28311E-01                6.21207980631908E-05   2.28726019400959E-05   3.85355700069500E-05   2.81048699382531E-05   1.51799565121668E-09   1.00000313914797E-16   6.60243496922255E-06   1.07529997794767E-04   6.70700700809431E-04   5.94267255004499E+00   1.01479494246322E-07   8.04648361360816E-09
  1.38311E-01                6.21208080348770E-05   2.28726052280606E-05   3.85355711187075E-05   2.81048754143280E-05   1.51799457136323E-09   1.00000313914797E-16   6.60243770725997E-06   1.07530024388647E-04   6.70700700809431E-04   5.94267266752893E+00   1.01479546077079E-07   8.04648777614199E-09
  1.48311E-01                6.21208180065263E-05   2.28726085160110E-05   3.85355722304609E-05   2.81048808903788E-05   1.51799349151520E-09   1.00000313914797E-16   6.60244044528537E-06   1.07530050982425E-04   6.70700700809431E-04   5.94267278501236E+00   1.01479597907584E-07   8.04649193864715E-09
  1.58311E-01                6.21208279781387E-05   2.28726118039471E-05   3.85355733422101E-05   2.81048863664054E-05   1.51799241167259E-09   1.00000313914797E-16   6.60244318329870E-06   1.07530077576100E-04   6.70700700809430E-04   5.94267290249529E+00   1.01479649737835E-07   8.04649610112365E-09
  1.68311E-01                6.21208379497142E-05   2.28726150918688E-05   3.85355744539552E-05   2.81048918424080E-05   1.51799133183541E-09   1.00000313914797E-16   6.60244592129998E-06   1.07530104169672E-04   6.70700700809430E-04   5.94267301997773E+00   1.01479701567834E-07   8.04650026357149E-09
  1.78311E-01                6.21208479212529E-05   2.28726183797762E-05   3.85355755656962E-05   2.81048973183864E-05   1.51799025200363E-09   1.00000313914797E-16   6.60244865928921E-06   1.07530130763141E-04   6.70700700809430E-04   5.94267313745965E+00   1.01479753397581E-07   8.04650442599066E-09
