 TITLE = "Isotope ratios" 
    Distance        Li7+            
    5.0000000E-02   -9.9062104E+00
    1.5000000E-01   -1.1526029E+01
    2.5000000E-01   -1.3248871E+01
    3.5000000E-01   -1.4390865E+01
    4.5000000E-01   -1.4902591E+01
    5.5000000E-01   -1.5248056E+01
    6.5000000E-01   -1.5669490E+01
    7.5000000E-01   -1.6180698E+01
    8.5000000E-01   -1.6693556E+01
    9.5000000E-01   -1.7103241E+01
    1.0500000E+00   -1.7361011E+01
    1.1500000E+00   -1.7498160E+01
    1.2500000E+00   -1.7586152E+01
    1.3500000E+00   -1.7687120E+01
    1.4500000E+00   -1.7834378E+01
    1.5500000E+00   -1.8036151E+01
    1.6500000E+00   -1.8285477E+01
    1.7500000E+00   -1.8568434E+01
    1.8500000E+00   -1.8869473E+01
    1.9500000E+00   -1.9174516E+01
    2.0500000E+00   -1.9472499E+01
    2.1500000E+00   -1.9755795E+01
    2.2500000E+00   -2.0019931E+01
    2.3500000E+00   -2.0262919E+01
    2.4500000E+00   -2.0484499E+01
    2.5500000E+00   -2.0685473E+01
    2.6500000E+00   -2.0867202E+01
    2.7500000E+00   -2.1031275E+01
    2.8500000E+00   -2.1179311E+01
    2.9500000E+00   -2.1312857E+01
    3.0500000E+00   -2.1433340E+01
    3.1500000E+00   -2.1542054E+01
    3.2500000E+00   -2.1640165E+01
    3.3500000E+00   -2.1728715E+01
    3.4500000E+00   -2.1808638E+01
    3.5500000E+00   -2.1880769E+01
    3.6500000E+00   -2.1945853E+01
    3.7500000E+00   -2.2004561E+01
    3.8500000E+00   -2.2057491E+01
    3.9500000E+00   -2.2105184E+01
    4.0500000E+00   -2.2148122E+01
    4.1500000E+00   -2.2186741E+01
    4.2500000E+00   -2.2221432E+01
    4.3500000E+00   -2.2252549E+01
    4.4500000E+00   -2.2280411E+01
    4.5500000E+00   -2.2305305E+01
    4.6500000E+00   -2.2327491E+01
    4.7500000E+00   -2.2347205E+01
    4.8500000E+00   -2.2364660E+01
    4.9500000E+00   -2.2380049E+01
    5.0500000E+00   -2.2393548E+01
    5.1500000E+00   -2.2405314E+01
    5.2500000E+00   -2.2415493E+01
    5.3500000E+00   -2.2424217E+01
    5.4500000E+00   -2.2431605E+01
    5.5500000E+00   -2.2437766E+01
    5.6500000E+00   -2.2442799E+01
    5.7500000E+00   -2.2446796E+01
    5.8500000E+00   -2.2449839E+01
    5.9500000E+00   -2.2452003E+01
    6.0500000E+00   -2.2453357E+01
    6.1500000E+00   -2.2453966E+01
    6.2500000E+00   -2.2453887E+01
    6.3500000E+00   -2.2453173E+01
    6.4500000E+00   -2.2451873E+01
    6.5500000E+00   -2.2450031E+01
    6.6500000E+00   -2.2447689E+01
    6.7500000E+00   -2.2444883E+01
    6.8500000E+00   -2.2441650E+01
    6.9500000E+00   -2.2438019E+01
    7.0500000E+00   -2.2434022E+01
    7.1500000E+00   -2.2429684E+01
    7.2500000E+00   -2.2425031E+01
    7.3500000E+00   -2.2420086E+01
    7.4500000E+00   -2.2414869E+01
    7.5500000E+00   -2.2409400E+01
    7.6500000E+00   -2.2403697E+01
    7.7500000E+00   -2.2397777E+01
    7.8500000E+00   -2.2391655E+01
    7.9500000E+00   -2.2385344E+01
    8.0500000E+00   -2.2378860E+01
    8.1500000E+00   -2.2372212E+01
    8.2500000E+00   -2.2365413E+01
    8.3500000E+00   -2.2358473E+01
    8.4500000E+00   -2.2351402E+01
    8.5500000E+00   -2.2344208E+01
    8.6500000E+00   -2.2336899E+01
    8.7500000E+00   -2.2329484E+01
    8.8500000E+00   -2.2321970E+01
    8.9500000E+00   -2.2314362E+01
    9.0500000E+00   -2.2306667E+01
    9.1500000E+00   -2.2298891E+01
    9.2500000E+00   -2.2291038E+01
    9.3500000E+00   -2.2283114E+01
    9.4500000E+00   -2.2275123E+01
    9.5500000E+00   -2.2267070E+01
    9.6500000E+00   -2.2258958E+01
    9.7500000E+00   -2.2250790E+01
    9.8500000E+00   -2.2242570E+01
    9.9500000E+00   -2.2234301E+01
    1.0050000E+01   -2.2225986E+01
    1.0150000E+01   -2.2217627E+01
